create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2021/02/08 14:00:21,122,부산광역시 기장군,90497,"Observe COVID-19 prevention rules such as wearing a mask,",cbs,Gijang-gun,,,"[('rules wearing', 0.3833)]"
2021/02/08 14:00:12,122,부산광역시 기장군,90496,Note that the Level 2 social distancing scheme is until Feb 14.,cbs,Gijang-gun,,,"[('note level', 0.2777)]"
2021/02/01 13:57:55,122,부산광역시 기장군,89039,"Observe COVID-19 prevention rules such as wearing a mask,",cbs,Gijang-gun,,,"[('rules wearing', 0.3833)]"
2021/02/01 13:57:41,122,부산광역시 기장군,89038,Note that the Level 2 social distancing scheme is until Feb 14.,cbs,Gijang-gun,,,"[('note level', 0.2777)]"
2021/01/31 13:55:44,122,부산광역시 기장군,88783,"Observe COVID-19 prevention rules such as wearing a mask,",cbs,Gijang-gun,,,"[('rules wearing', 0.3833)]"
2021/01/31 13:55:33,122,부산광역시 기장군,88782,Note that the Level 2 social distancing scheme is until Jan 31.,cbs,Gijang-gun,,,"[('scheme jan', 0.2327)]"
2021/01/30 13:32:15,122,부산광역시 기장군,88592,"Observe COVID-19 prevention rules such as wearing a mask,",cbs,Gijang-gun,,,"[('rules wearing', 0.3833)]"
2021/01/30 13:32:04,122,부산광역시 기장군,88591,Note that the Level 2 social distancing scheme is until Jan 31.,cbs,Gijang-gun,,,"[('scheme jan', 0.2327)]"
2021/01/29 13:57:21,122,부산광역시 기장군,88338,"Observe COVID-19 prevention rules such as wearing a mask,",cbs,Gijang-gun,,,"[('rules wearing', 0.3833)]"
2021/01/29 13:57:11,122,부산광역시 기장군,88337,Note that the Level 2 social distancing scheme is until Jan 31.,cbs,Gijang-gun,,,"[('scheme jan', 0.2327)]"
2021/01/28 13:55:06,122,부산광역시 기장군,87972,"Observe COVID-19 prevention rules such as wearing a mask,",cbs,Gijang-gun,,,"[('rules wearing', 0.3833)]"
2021/01/28 13:54:54,122,부산광역시 기장군,87971,Note that the Level 2 social distancing scheme is until Jan 31.,cbs,Gijang-gun,,,"[('scheme jan', 0.2327)]"
2021/01/27 14:00:12,122,부산광역시 기장군,87543,"Observe COVID-19 prevention rules such as wearing a mask,",cbs,Gijang-gun,,,"[('rules wearing', 0.3833)]"
2021/01/27 13:59:55,122,부산광역시 기장군,87542,Note that the Level 2 social distancing scheme is until Jan 31.,cbs,Gijang-gun,,,"[('scheme jan', 0.2327)]"
2021/01/26 14:03:27,122,부산광역시 기장군,87292,"Observe COVID-19 prevention rules such as wearing a mask,",cbs,Gijang-gun,,,"[('rules wearing', 0.3833)]"
2021/01/26 14:03:15,122,부산광역시 기장군,87290,Note that the Level 2 social distancing scheme is until Jan 31.,cbs,Gijang-gun,,,"[('scheme jan', 0.2327)]"
2021/01/25 14:06:53,122,부산광역시 기장군,87070,"Observe COVID-19 prevention rules such as wearing a mask,",cbs,Gijang-gun,,,"[('rules wearing', 0.3833)]"
2021/01/25 14:06:43,122,부산광역시 기장군,87069,Note that the Level 2 social distancing scheme is until Jan 31.,cbs,Gijang-gun,,,"[('scheme jan', 0.2327)]"
2021/01/24 13:36:08,122,부산광역시 기장군,86863,staying at home as much as possible.,cbs,Gijang-gun,,,"[('home possible', 0.5408)]"
2021/01/24 13:35:37,122,부산광역시 기장군,86862,"wearing a mask, avoiding gatherings of more than five people and",cbs,Gijang-gun,,,"[('gatherings people', 0.5477)]"
2021/01/24 13:35:00,122,부산광역시 기장군,86861,for another 2 weeks until Jan 31. Observe COVID-19 prevention rules such as,cbs,Gijang-gun,,,"[('31 observe', 0.149)]"
2021/01/24 13:34:29,122,부산광역시 기장군,86860,Note that the Level 2.5 social distancing scheme has been extended,cbs,Gijang-gun,,,"[('scheme extended', 0.2508)]"
2021/01/23 13:57:07,122,부산광역시 기장군,86655,staying at home as much as possible.,cbs,Gijang-gun,,,"[('home possible', 0.5408)]"
2021/01/23 13:56:57,122,부산광역시 기장군,86654,"wearing a mask, avoiding gatherings of more than five people and",cbs,Gijang-gun,,,"[('gatherings people', 0.5477)]"
2021/01/23 13:56:45,122,부산광역시 기장군,86653,for another 2 weeks until Jan 31. Observe COVID-19 prevention rules such as,cbs,Gijang-gun,,,"[('31 observe', 0.149)]"
