create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2021/02/08 14:00:32,122,부산광역시 기장군,90498,avoiding gatherings of more than 5 people and staying at home as much as possible.,cbs,Gijang,,,"[('home possible', 0.3095)]"
2021/02/01 13:58:05,122,부산광역시 기장군,89040,avoiding gatherings of more than 5 people and staying at home as much as possible.,cbs,Gijang,,,"[('home possible', 0.3095)]"
2021/01/31 13:55:55,122,부산광역시 기장군,88784,avoiding gatherings of more than 5 people and staying at home as much as possible.,cbs,Gijang,,,"[('home possible', 0.3095)]"
2021/01/30 13:32:26,122,부산광역시 기장군,88593,avoiding gatherings of more than 5 people and staying at home as much as possible.,cbs,Gijang,,,"[('home possible', 0.3095)]"
2021/01/29 13:57:32,122,부산광역시 기장군,88339,avoiding gatherings of more than 5 people and staying at home as much as possible.,cbs,Gijang,,,"[('home possible', 0.3095)]"
2021/01/28 13:55:17,122,부산광역시 기장군,87973,avoiding gatherings of more than 5 people and staying at home as much as possible.,cbs,Gijang,,,"[('home possible', 0.3095)]"
2021/01/27 14:00:21,122,부산광역시 기장군,87544,avoiding gatherings of more than 5 people and staying at home as much as possible.,cbs,Gijang,,,"[('home possible', 0.3095)]"
2021/01/26 14:03:36,122,부산광역시 기장군,87293,avoiding gatherings of more than 5 people and staying at home as much as possible.,cbs,Gijang,,,"[('home possible', 0.3095)]"
2021/01/25 14:07:02,122,부산광역시 기장군,87071,avoiding gatherings of more than 5 people and staying at home as much as possible.,cbs,Gijang,,,"[('home possible', 0.3095)]"
2021/01/04 18:59:55,122,부산광역시 기장군,80996,Private gatherings more than or equal to 5persons are prohibited. Plz stay at home,cbs,Gijang,,,"[('plz stay', 0.1997)]"
2021/01/04 14:00:44,122,부산광역시 기장군,80847,Private gatherings more than or equal to 5persons are prohibited. Plz stay at home,cbs,Gijang,,,"[('plz stay', 0.1997)]"
2021/01/04 10:02:31,122,부산광역시 기장군,80756,Private gatherings more than or equal to 5persons are prohibited. Plz stay at home,cbs,Gijang,,,"[('plz stay', 0.1997)]"
2021/01/03 19:05:12,122,부산광역시 기장군,80670,Private gatherings more than or equal to 5persons are prohibited. Plz stay at home,cbs,Gijang,,,"[('plz stay', 0.1997)]"
2021/01/03 14:49:39,122,부산광역시 기장군,80503,Private gatherings more than or equal to 5persons are prohibited. Plz stay at home,cbs,Gijang,,,"[('plz stay', 0.1997)]"
