create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2021/12/12 14:30:37,76,경상북도 경주시,133444,at the Seonggeon-dong community service center(370 Geumseong-ro),cbs,Gyeongju,370 Geumseong-ro,,"[('370 geumseong', 0.3705)]"
2021/12/12 14:30:07,76,경상북도 경주시,133443,Foreigner must be tested today(12.12) from 14:00 to 17:00,cbs,Gyeongju,12.12,,"[('12 12', 0.1209)]"
2021/08/13 18:09:26,76,경상북도 경주시,117450,8 new cases(8.13)/Up to 4 people OK for meeting/Wear a mask/Fine for violation,cbs,Gyeongju,8.13,,"[('people ok meeting', 0.3597)]"
2021/08/08 14:01:21,76,경상북도 경주시,116546,Screening Clinic/Civic Stadium/Aug7~8/6pm-9pm/For Foreigners in Gyeongju,cbs,Gyeongju,,,"[('clinic civic', 0.3938)]"
2021/08/08 08:24:06,76,경상북도 경주시,116440,Screening Clinic/Oedong-eup Gym/Aug7~11/10am-2pm/For Foreigners living at Oedong,cbs,Gyeongju,,,"[('10am 2pm foreigners', 0.3747)]"
2021/06/22 12:06:28,76,경상북도 경주시,109676,New patient. facebook.com/gyeongju.korea for details and get tested.,cbs,Gyeongju,,,"[('details tested', 0.3315)]"
2021/06/21 11:38:44,76,경상북도 경주시,109599,New patient. facebook.com/gyeongju.korea for details and get tested.,cbs,Gyeongju,,,"[('details tested', 0.3315)]"
2021/05/31 11:33:32,76,경상북도 경주시,107622,New patient. facebook.com/gyeongju.korea for details and get tested.,cbs,Gyeongju,,,"[('details tested', 0.3315)]"
2021/05/18 19:38:04,76,경상북도 경주시,106023,New Confirmed patient. facebook.com/gyeongju.korea for details and get tested.,cbs,Gyeongju,,,"[('details tested', 0.3204)]"
2021/05/16 12:41:32,76,경상북도 경주시,105683,New Confirmed patient. facebook.com/gyeongju.korea for details and get tested.,cbs,Gyeongju,,,"[('details tested', 0.3204)]"
2021/05/14 09:20:59,76,경상북도 경주시,105334,facebook.com/gyeongju.korea for details and get tested,cbs,Gyeongju,,,"[('details tested', 0.339)]"
2021/05/12 21:48:37,76,경상북도 경주시,105151,New Confirmed patient. facebook.com/gyeongju.korea for details and get tested.,cbs,Gyeongju,,,"[('details tested', 0.3204)]"
2021/05/04 13:45:04,76,경상북도 경주시,104174,New Confirmed patient. facebook.com/gyeongju.korea for details and get tested.,cbs,Gyeongju,,,"[('details tested', 0.3204)]"
2021/05/02 18:57:56,76,경상북도 경주시,103979,New Confirmed patient. facebook.com/gyeongju.korea for details and get tested.,cbs,Gyeongju,,,"[('details tested', 0.3204)]"
2021/05/01 18:18:44,76,경상북도 경주시,103887,New Confirmed patient. facebook.com/gyeongju.korea for details and get tested.,cbs,Gyeongju,,,"[('details tested', 0.3204)]"
2021/05/01 16:28:34,76,경상북도 경주시,103859,facebook.com/gyeongju.korea for details and get tested,cbs,Gyeongju,,,"[('details tested', 0.339)]"
2021/04/29 08:50:30,76,경상북도 경주시,103607,facebook.com/gyeongju.korea for details and get tested.,cbs,Gyeongju,,,"[('details tested', 0.3206)]"
2021/04/27 14:13:58,76,경상북도 경주시,103453,New Confirmed patient. facebook.com/gyeongju.korea for details and get tested.,cbs,Gyeongju,,,"[('details tested', 0.3204)]"
2021/04/23 18:26:48,76,경상북도 경주시,103115,facebook.com/gyeongju.korea for details and get tested,cbs,Gyeongju,,,"[('details tested', 0.339)]"
2021/04/22 11:20:23,76,경상북도 경주시,102941,"▲Tue.4.13~Wed.4,21/Two Shot/66,Daean-gil ※Screening Recommendation",cbs,Gyeongju,,,"[('wed 21', 0.3832)]"
2021/04/17 17:41:24,76,경상북도 경주시,102477,"▲Wed.4.14, Fri.4.16/Taxi/Gyeongbuk11Ba5451 ※Screening Recommendation",cbs,Gyeongju,,,"[('wed 14', 0.2699)]"
2021/04/16 20:19:28,76,경상북도 경주시,102388,▲Tue.4.13~Thu.4.15/Taxi/Gyeongbuk11Ba5703 ※Screening Recommendation,cbs,Gyeongju,,,"[('tue 13', 0.2824)]"
2021/04/15 21:42:48,76,경상북도 경주시,102280,"▲Tue.4.13/19:30~20:09/Manrijangseong/193,Bulguk-ro ※screening recommendation",cbs,Gyeongju,,,"[('tue 13 19 30', 0.3079)]"
