create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2021/04/21 09:49:00,76,경상북도 경주시,102812,"▲Mon.4.12/22:00~Tue.4.13/02:00, Tue.4.13/22:30~23:20",cbs,Gyeongju①,,,"[('13 02', 0.3478)]"
2021/04/18 15:57:08,76,경상북도 경주시,102555,"▲Mon.4.12~Thu.4.15/Romantic House(28,Hwangseong-ro)",cbs,Gyeongju①,"28,Hwangseong-ro",,"[('mon 12 thu', 0.2665)]"
2021/04/14 20:19:42,76,경상북도 경주시,102175,Gyeongju Intercity Bus Terminal→Pohang Intercity Bus Terminal,cbs,Gyeongju①,,,"[('terminal pohang', 0.4561)]"
2021/04/09 19:12:56,76,경상북도 경주시,101689,"Mugunghwa-ho No.1754 Car2/ Seat17,18(Gyeongju→Yeongcheon),19(Gyeongju→Hayang)/",cbs,Gyeongju①,Gyeongju→Yeongcheon,,"[('1754 car2 seat17 18', 0.5493)]"
2021/03/29 17:47:24,76,경상북도 경주시,100722,Pohang Express Bus Terminal,cbs,Gyeongju①,,,"[('express bus', 0.56)]"
2021/03/29 17:10:16,76,경상북도 경주시,100707,Gyeongju Intercity Bus Terminal→Dong Seoul Bus Terminal,cbs,Gyeongju①,,,"[('terminal dong', 0.3879)]"
2021/03/26 16:02:27,76,경상북도 경주시,100024,Daerim Nongjang Sikyuk Sikdang,cbs,Gyeongju①,,,"[('daerim nongjang', 0.6989)]"
2021/03/23 10:02:43,76,경상북도 경주시,99334,"No.238, 239 Patient(contacted with patient from other city).",cbs,Gyeongju①,contacted with patient from other city,,"[('patient city', 0.3631)]"
2021/03/22 17:29:02,76,경상북도 경주시,99249,"Bus No.41_Gyeongbuk70Ja2483/Express Bus Terminal,Intercity Bus Terminal",cbs,Gyeongju①,,,"[('terminal intercity', 0.574)]"
2021/03/22 16:20:53,76,경상북도 경주시,99229,"Daejin Diner /1832, Danseok-ro,Geoncheon-eup",cbs,Gyeongju①,,,"[('ro geoncheon', 0.3809)]"
2021/03/19 20:31:58,76,경상북도 경주시,98742,"DaeguBank->Andong Girimsa, Golgulsa Temple Entrance",cbs,Gyeongju①,,,"[('daegubank andong', 0.5341)]"
2021/03/18 21:31:39,76,경상북도 경주시,98521,Gyeongju Express Terminal→Busan Exspress Bus Terminal,cbs,Gyeongju①,,,"[('express terminal', 0.4882)]"
2021/03/06 20:45:14,76,경상북도 경주시,96356,"Gyeongju National Museum,Silla History Gallery Sat.2.27",cbs,Gyeongju①,,,"[('sat 27', 0.2217)]"
2021/03/05 20:08:35,76,경상북도 경주시,96169,"Cafe The Klamp/ 23-8, Cheomseong-ro 99beon-gil",cbs,Gyeongju①,,,"[('99beon gil', 0.398)]"
2021/02/24 19:54:28,76,경상북도 경주시,94428,Bus No.51_Gyeongbuk70Ja2529,cbs,Gyeongju①,,,"[('bus 51_gyeongbuk70ja2529', 0.9717)]"
