create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2021/04/21 09:49:12,76,경상북도 경주시,102813,"Dongcheon Yukhoe sutbulgui(63,Daean-gil)",cbs,Gyeongju②,"63,Daean-gil",,"[('daean gil', 0.3693)]"
2021/04/18 15:57:43,76,경상북도 경주시,102556,"▲Wed.4.14/12:00~12:24 Jangteo Dwaejigukbap(2314,Gyeonggam-ro)",cbs,Gyeongju②,"2314,Gyeonggam-ro",,"[('12 00 12 24', 0.3554)]"
2021/04/14 20:20:06,76,경상북도 경주시,102176,Chunma Express/Gyeongbuk 72ah7269/Wed.4.7/18:04~18:45/screening recommendation,cbs,Gyeongju②,,,"[('wed 18 04', 0.2129)]"
2021/04/09 19:13:35,76,경상북도 경주시,101690,Thu.4.1/12:11~13:21/Gyeongju Station→DongDaegu Station※Screening Recommendation,cbs,Gyeongju②,,,"[('thu 12 11 13', 0.3172)]"
2021/03/29 17:47:44,76,경상북도 경주시,100723,→Gyeongju Intercity Bus Terminal→Dong Seoul Bus Terminal,cbs,Gyeongju②,,,"[('terminal dong', 0.3888)]"
2021/03/29 17:10:47,76,경상북도 경주시,100708,(Gueui-dong645-1) New Seoul Express /Chungbuk 70Ah1815 /Mon.3.22/11:40~15:30,cbs,Gyeongju②,Gueui-dong645-1,,"[('70ah1815 mon 22', 0.385)]"
2021/03/26 16:03:00,76,경상북도 경주시,100025,"/2021,Danseok-ro,Geoncheon-eup/Fri.3.19/18:13~21:36 (screening recommendation)",cbs,Gyeongju②,screening recommendation,,"[('eup fri 19', 0.3764)]"
2021/03/23 10:03:15,76,경상북도 경주시,99335,Traces won’t be disclosed if all people are identified after contact tracing.,cbs,Gyeongju②,,,"[('won disclosed', 0.1928)]"
2021/03/22 17:29:34,76,경상북도 경주시,99251,Bus Stop→Gyeongju Tax Office/Wed.3.17/21:13~21:28,cbs,Gyeongju②,,,"[('21 13 21', 0.2058)]"
2021/03/22 16:21:14,76,경상북도 경주시,99230,Mon.3.15/12:34~12:58/Those who were there at the time need to get tested.,cbs,Gyeongju②,,,"[('12 34 12', 0.1952)]"
2021/03/19 20:32:11,76,경상북도 경주시,98743,Bus No.100-1_ Gyeongbuk 70Ja2512 Tue.3.9/11:12~12:40,cbs,Gyeongju②,,,"[('11 12 12', 0.2945)]"
2021/03/18 21:32:37,76,경상북도 경주시,98522,Kumho Buslines/Jeonnam 74sa1607/Wed.3.10/20:30~21:20/ screening recommendation,cbs,Gyeongju②,,,"[('wed 10', 0.2283)]"
2021/03/06 20:46:00,76,경상북도 경주시,96357,"10:11~10:29,14:54~15:00. Wolji Gallery 10:45~12:03. Silla Storage 12:08~12:36.",cbs,Gyeongju②,,,"[('03 silla', 0.3697)]"
2021/03/05 20:09:03,76,경상북도 경주시,96170,Sun.02.28/16:40~17:10/Those who were there at the time need to get tested.,cbs,Gyeongju②,,,"[('28 16', 0.1477)]"
2021/02/24 19:56:53,76,경상북도 경주시,94429,-Got on : Singyeongju Station / Got off : Valeo Apt. Mon.2.22 / 14:15~14:55,cbs,Gyeongju②,,,"[('apt mon 22', 0.3521)]"
