create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2022/01/21 17:37:04,104,대구광역시 전체,139216,(외국인안내)Visitors to Onyx(Jung-gu) on 1/15~1/17 should be tested for COVID19.,cbs,Daegu,외국인안내,,"[('gu 15', 0.2623)]"
2022/01/05 13:55:30,104,대구광역시 전체,136980,(외국인안내)Visitors to ITCHY(Myeongdeok-ro) on Dec 30 should be tested for COVID19.,cbs,Daegu,외국인안내,,"[('ro dec 30', 0.2228)]"
2022/01/02 10:48:18,104,대구광역시 전체,136584,외국인안내Visitors to MollyLounge(dongseong-ro)from Dec 17 to 30 should get COVID19 test,cbs,Daegu,dongseong-ro,,"[('17 30', 0.2663)]"
2021/12/27 17:51:37,104,대구광역시 전체,135812,(외국인안내) Vistors to Molly lounge(dongseong-ro) on 12/17 should get COVID19 test.,cbs,Daegu,외국인안내,,"[('dongseong ro 12', 0.3022)]"
2021/10/22 14:44:23,104,대구광역시 전체,127002,외국인안내Visitors to MASJIDAL-HIKMAH(Nongong-ro) since Oct. 15 should get COVID19 test.,cbs,Daegu,Nongong-ro,,"[('oct 15', 0.2031)]"
2021/10/20 14:27:59,104,대구광역시 전체,126804,외국인안내Visitors to ITCHY(Myeongdeok-ro) from Oct 15 to 19 should get COVID 19 test.,cbs,Daegu,Myeongdeok-ro,,"[('oct 15 19', 0.2636)]"
2021/10/17 12:25:51,104,대구광역시 전체,126504,외국인안내Visitors to Res-Cafe Yeon(Seodaegu-ro) during Oct should be tested for COVID19,cbs,Daegu,Seodaegu-ro,,"[('ro oct', 0.2813)]"
2021/10/14 11:40:25,104,대구광역시 전체,126172,외국인안내Visitors to SEPNOIR(Igokseo-ro) from Oct 1 to 13 should be tested for COVID19.,cbs,Daegu,Igokseo-ro,,"[('oct 13', 0.28)]"
2021/10/10 10:50:35,104,대구광역시 전체,125741,외국인안내 Visitors to Samarkand(dongsung-ro) from Oct 4~6 should be tested for COVID19,cbs,Daegu,dongsung-ro,,"[('ro oct', 0.2445)]"
2021/10/06 18:06:01,104,대구광역시 전체,125339,외국인안내_Visitors to Kaerom billiardroom(Nongong)from Oct 1~2 should get COVID 19 test,cbs,Daegu,Nongong,,"[('oct covid', 0.3964)]"
2021/10/05 15:20:35,104,대구광역시 전체,125182,외국인안내Visitors to Fotima Zuhra(seodaeguro)since Sept.18 should be tested for COVID19,cbs,Daegu,seodaeguro,,"[('sept 18', 0.1784)]"
2021/10/02 17:25:05,104,대구광역시 전체,124860,외국인안내 Visitors to HAI LUA(Nongong-eup) on 9/18~22 should be tested for COVID19.,cbs,Daegu,Nongong-eup,,"[('18 22 tested', 0.3706)]"
2021/10/02 13:58:51,104,대구광역시 전체,124826,"외국인안내Visitors to ""NOURVER pub""(Yongsan-ro) on 9/18~23 should be tested for COVID19",cbs,Daegu,Yongsan-ro,,"[('ro 18', 0.2951)]"
2021/10/02 11:46:46,104,대구광역시 전체,124808,"Visitors to ""Moda thai club""(dalseo-daero) on 9/18~21 should be tested for COVID19",cbs,Daegu,dalseo-daero,,"[('dalseo daero 18 21', 0.3034)]"
2021/10/02 11:22:45,104,대구광역시 전체,124803,외국인안내Visitors to V club(seongseogongdan-ro) on 9/18~21 should be tested for COVID19,cbs,Daegu,seongseogongdan-ro,,"[('seongseogongdan ro', 0.2753)]"
2021/10/01 16:35:14,104,대구광역시 전체,124711,"외국인안내Visitors to ""Moon club""(Dalseo-daero) on 9/20~22 should be tested for COVID19",cbs,Daegu,Dalseo-daero,,"[('dalseo daero', 0.2745)]"
2021/10/01 15:59:34,104,대구광역시 전체,124704,Visitors to YEN-DRAGON karaoke(Hyeonpung) on 9/20~22 should be tested for COVID19,cbs,Daegu,Hyeonpung,,"[('20 22 tested', 0.2891)]"
2021/10/01 10:53:35,104,대구광역시 전체,124656,"외국인안내_Visitors to ""AYUTTHAYA""(Dong-gu) on 9/17~23 should be tested for COVID19",cbs,Daegu,Dong-gu,,"[('17 23', 0.224)]"
2021/09/29 16:52:55,104,대구광역시 전체,124426,"외국인안내Visitors to ""HA LONG""(Igokseo-ro) on 9/20, 9/21 should be tested for COVID19",cbs,Daegu,Igokseo-ro,,"[('ha long', 0.2771)]"
