create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2023/11/23 22:08:34,138,서울특별시 강동구,206960,"서울 전역에 한파로 급격한 기온 하강이 예상되오니 가급적 외출을 삼가시고, 수도관 동파 사고, 난방기 화재 사고 등 안전에 유의하시기 바랍니다.",cbs,강동구청,,,"[('동파 사고 난방기', 0.7608)]"
2023/01/26 07:12:14,138,서울특별시 강동구,191881,"서울 전역 강설에 따른 출근길 교통 혼잡 예상 되오니 대중교통 이용 및 미끄럼 사고유의. 내집, 내점포 앞 눈치우기에 적극 동참하여 주시기 바랍니다.",cbs,강동구청,,,"[('내점포 눈치우기에', 0.752)]"
2022/12/21 08:17:26,138,서울특별시 강동구,186256,"서울전역 강설에 따른 출근길 교통혼잡이 예상되오니 대중교통 이용 및 미끄럼 사고 유의. 내집, 내점포 앞 눈치우기에 적극 동참 바랍니다.",cbs,강동구청,,,"[('출근길 교통혼잡이', 0.7635)]"
2022/12/15 18:19:17,138,서울특별시 강동구,185328,현재 이면도로 등 3cm 정도 내린 눈이 얼어 통행불편(미끄럼 사고 등) 발생. 대중교통 이용 및 내집·내점포 앞 눈치우기에 적극 동참 바랍니다.,cbs,강동구청,미끄럼 사고 등,,"[('눈치우기에 적극 동참 바랍니다', 0.6909)]"
2022/12/14 06:01:30,138,서울특별시 강동구,184972,"눈이 내려 도로가 얼어 미끄러운 곳이 있겠습니다. 교통정체가 예상되오니 대중교통을 이용해주시고, 보행시 낙상사고에 주의하시기 바랍니다.",cbs,강동구청,,,"[('대중교통을 이용해주시고 보행시', 0.7133)]"
2022/12/13 20:24:52,138,서울특별시 강동구,184953,"금일 한파주의보가 발효(21시) 예정입니다. 도로 결빙에 따른 미끄럼 사고주의와 수도 동파 방지, 온열기 화재예방 등 안전에 유의하시기 바랍니다.",cbs,강동구청,21시,,"[('21시 예정입니다 도로 결빙에', 0.6989)]"
2022/09/05 21:34:56,138,서울특별시 강동구,171415,"9월 6일까지 강풍과 많은 비가 예상되오니 외출을 자제해 주시고, 창문파손, 낙하물 주의와 함께 기상정보를 수시로 확인하여 안전사고에 유의 바랍니다.",cbs,강동구청,,,"[('강풍과 많은 비가', 0.6877)]"
2021/10/16 16:10:04,138,서울특별시 강동구,126420,"(한파주의보)일기예보 2021.10.17.(일) 오전 7시 체감온도 0도(기온 2도). 야외활동 자제, 보온유지 및 노약자 건강관리 등 유의 바랍니다.",cbs,강동구청,한파주의보,,"[('오전 7시 체감온도', 0.6291)]"
2021/10/03 14:39:51,138,서울특별시 강동구,124957,"9/22~9/23 오투여성사우나(양재대로 1477, 천호동) 방문자는 가까운 선별진료소에서 검사받으시기 바랍니다.(02-3425-6713)",cbs,강동구청,"양재대로 1477, 천호동",,"[('1477 천호동 방문자는 가까운', 0.5263)]"
2021/10/01 18:36:32,138,서울특별시 강동구,124744,"9/24~9/28 오투여성사우나(강동구 양재대로 1477, 천호동) 방문자는 가까운 선별진료소에서 검사받으시기 바랍니다.(02-3425-6713)",cbs,강동구청,"강동구 양재대로 1477, 천호동",,"[('1477 천호동 방문자는', 0.4834)]"
2021/09/24 11:27:25,138,서울특별시 강동구,123557,9.11(토)~9.18(토)]방문자는 가까운 선별진료소에서 검사바랍니다(02-3425-6713),cbs,강동구청,토,,"[('02 3425 6713', 0.1326)]"
2021/09/18 15:51:23,138,서울특별시 강동구,122741,9.8(수)14:30~16:30]방문자는 가까운 선별진료소에서 검사받으시기 바랍니다(02-3425-6713),cbs,강동구청,수,,"[('가까운 선별진료소에서', 0.539)]"
2021/09/10 18:01:50,138,서울특별시 강동구,121765,9.4(토) 18:20~19:20 피자스쿨천호점]방문자는 가까운 선별진료소에서 검사받으시기 바랍니다.(02-3425-6713),cbs,강동구청,토,,"[('검사받으시기 바랍니다', 0.5495)]"
2021/09/10 17:16:29,138,서울특별시 강동구,121754,8.31(화)20:00~22:00 비나이더PT필라] 방문자는 가까운선별진료소에서 검사받으시기 바랍니다.(02-3425-6713),cbs,강동구청,화,,"[('00 22 00 비나이더pt필라', 0.5554)]"
2021/09/08 15:33:57,138,서울특별시 강동구,121469,9.2(목)11:50~12:50]방문자는인근선별진료소에서검사바랍니다.(02-3425-6713),cbs,강동구청,목,,"[('02 3425 6713', 0.1011)]"
2021/07/27 17:14:43,138,서울특별시 강동구,114777,"7/19(월)19:40~21:50,7/20(화)20:00~21:50호미도반점(진황도로 36)방문자는가까운선별진료소검사바랍니다.(02-3425-6713)",cbs,강동구청,월,,"[('40 21 50', 0.3885)]"
2021/07/25 16:40:50,138,서울특별시 강동구,114469,"7/17(토)~7/20 (화) 한국경혈마사지(양재대로 1474, 길동) 방문자는 가까운 선별진료소에서 검사받으시기 바랍니다.(02-3425-6713)",cbs,강동구청,토,,"[('가까운 선별진료소에서 검사받으시기 바랍니다', 0.5222)]"
2021/07/23 11:00:16,138,서울특별시 강동구,114071,7/15(목) ~ 7/19(월)] 방문자는 가까운 선별진료소에서 검사 바랍니다(02-3425-6713),cbs,강동구청,목,,"[('선별진료소에서 검사', 0.4456)]"
2021/07/15 11:49:26,138,서울특별시 강동구,112755,7/11(일)14:00~7/14(수)]방문자는 가까운 선별진료소에서 검사바랍니다.(02-3425-6713),cbs,강동구청,일,,"[('가까운 선별진료소에서 검사바랍니다 02', 0.4155)]"
2021/07/07 21:00:59,138,서울특별시 강동구,111512,7/1~7/4] 방문자는 가까운 선별진료소에서 검사받으시기 바랍니다.(02-3425-6713),cbs,강동구청,"복권판매점 토토프로토 풍성로37가길 26,성내동",,"[('02 3425 6713', 0.172)]"
2021/07/05 16:24:26,138,서울특별시 강동구,111027,6/26~7/4 일식 긴자 올림픽점(강동구 강동대로 223) 방문자는 가까운 선별진료소에서 검사 받으시기 바랍니다.(02-3425-6713),cbs,강동구청,강동구 강동대로 223,,"[('바랍니다 02 3425', 0.5037)]"
2021/06/30 11:23:05,138,서울특별시 강동구,110420,6.26(토)10:30~13:00안말어린이공원(풍성로45길11)도시재생플리마켓 풍선나눔행사 방문자는 인근 선별진료소에서 검사바랍니다(3425-6713),cbs,강동구청,토,,"[('13 00안말어린이공원 풍성로45길11 도시재생플리마켓', 0.4987)]"
2021/06/27 16:40:17,138,서울특별시 강동구,110159,6/19~6/20 대박당구장] 방문자는 가까운 선별진료소에서 검사받으시기 바랍니다.(02-3425-6713),cbs,강동구청,성내동,,"[('선별진료소에서 검사받으시기', 0.5313)]"
2021/06/02 14:19:01,138,서울특별시 강동구,107939,"5/14~5/30 길동우동집(구천면로 198, 천호동) 방문자는 가까운 선별진료소에서 검사 받으시기 바랍니다.(02-3425-6713)",cbs,강동구청,"구천면로 198, 천호동",,"[('14 30', 0.49)]"
2021/06/02 14:17:58,138,서울특별시 강동구,107938,5/14~5/29 만화보이] 방문자는 가까운 선별진료소에서 검사 받으시기 바랍니다.(02-3425-6713),cbs,강동구청,천호동,,"[('만화보이 방문자는 가까운 선별진료소에서', 0.5513)]"
2021/06/01 16:16:32,138,서울특별시 강동구,107811,60~74세 어르신 대상 코로나19 예방접종 사전예약(ncvr.kdca.go.kr)을 6.3.까지 접수하니 많은 참여바랍니다.(자녀 등 대리예약 가능),cbs,강동구청,ncvr.kdca.go.kr,74세,"[('어르신 대상 코로나19', 0.6146)]"
2021/05/28 15:08:47,138,서울특별시 강동구,107290,60~74세 어르신 대상 코로나19 예방접종 사전예약(ncvr.kdca.go.kr)을 6.3.까지 접수하니 많은 참여바랍니다.(자녀 등 대리예약 가능),cbs,강동구청,ncvr.kdca.go.kr,74세,"[('어르신 대상 코로나19', 0.6146)]"
2021/05/19 17:58:08,138,서울특별시 강동구,106122,5/1~5/14 관내 노래연습장 25개소(홈페이지 참조 c19.gd.go.kr) 방문자는 가까운 선별진료소에서 검사 바랍니다(02-3425-6713),cbs,강동구청,홈페이지 참조 c19.gd.go.kr,,"[('가까운 선별진료소에서 검사 바랍니다', 0.518)]"
