create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2023/04/11 17:28:41,3,강원도 강릉시,194366,"오늘 난곡동 산불로 강릉아레나에 임시대피시설이 마련되어 있으니, 자택거주가 힘드신 주민께서는 강릉아레나로 대피하여 주시기 바랍니다.",cbs,강릉시청,,,"[('강릉아레나에 임시대피시설이 마련되어 있으니', 0.6377)]"
2023/04/11 14:27:15,3,강원도 강릉시,194356,"금일 강풍으로 낙하물이 다수 발생하고 있습니다. 건물주변 통행시 강풍에 의한 낙하물에 유의하시고, 안전을 위하여 야외통행을 자제하여 주시기 바랍니다.",cbs,강릉시청,,,"[('건물주변 통행시 강풍에 의한', 0.754)]"
2023/04/11 10:22:12,3,강원도 강릉시,194331,오늘 08:30경 난곡동4번지 산불발생 / 사근진에서 순포방향으로 산불확산중 / 산대월리 및 순포리 주민분은 즉시 사천중학교 체육관으로 대피바랍니다.,cbs,강릉시청,,,"[('즉시 사천중학교', 0.6878)]"
2023/04/11 09:35:20,3,강원도 강릉시,194320,오늘 08:30경 난곡동4번지에서 바다 방향으로 산불 확산 중/ 경포동 15통 및 17통 인근 주민분들은 즉시 강릉아레나로 대피바랍니다.,cbs,강릉시청,,,"[('오늘 08 30경 난곡동4번지에서', 0.5598)]"
2023/04/11 08:57:35,3,강원도 강릉시,194315,오늘 08:30경 시 난곡동4번지 인근 산불 확산 중. 인근 경포동 10통/11통/13통 주민분들께서는 즉시 경포동 주민센터로 대피하기 바랍니다.,cbs,강릉시청,,,"[('인근 경포동', 0.6205)]"
2022/12/27 10:30:07,3,강원도 강릉시,187604,12.26.(월) 확진자 400명 발생 / 코로나19·독감 동시 유행 / 60세 이상 코로나 접종 집중기간(12월31일까지) / 추가접종 참여바랍니다,cbs,강릉시청,월,60세,"[('확진자 400명', 0.6064)]"
2022/12/24 12:06:28,3,강원도 강릉시,187197,"강릉시 해변 일원에 강한 파도가 지속되고 있습니다. 관광객 및 시민 여러분께서는 해안가 접근을 삼가시고, 시설물 안전사고에 유의하시기 바랍니다.",cbs,강릉시청,,,"[('유의하시기 바랍니다', 0.7649)]"
2022/12/23 11:10:05,3,강원도 강릉시,186966,"어제 12.22.(목) 확진자 249명 발생 / 주기적 환기, 실내마스크 착용 등 생활 방역수칙 준수 / 유증상시 병ㆍ의원 진료바랍니다.",cbs,강릉시청,목,,"[('발생 주기적 환기 실내마스크', 0.6441)]"
2022/12/21 11:06:17,3,강원도 강릉시,186371,"어제 12.20.(화) 확진자 300명 발생 / 연말행사 및 축제 등 관광객 급증 / 개인방역수칙(주기적 환기, 실내마스크착용, 손씻기)준수바랍니다.",cbs,강릉시청,화,,"[('발생 연말행사 축제', 0.6433)]"
2022/12/16 10:14:42,3,강원도 강릉시,185410,어제 12.15.(목) 확진자 264명 발생 / 코로나19·독감 동시 유행 / 12세 이상 기초접종완료자 동절기 추가접종(2가백신) 적극 참여바랍니다,cbs,강릉시청,목,12세,"[('추가접종 2가백신 적극', 0.637)]"
