create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2023/11/25 23:38:10,120,부산광역시 강서구,207005,"대저1동 대저중앙로 348번길 주변 멧돼지가 출몰하여 현재 수색 중이니, 인근 거주민께서는 외출을 자제해주시길 바랍니다.",cbs,강서구,,,"[('주변 멧돼지가 출몰하여 현재', 0.6122)]"
2023/11/23 17:36:24,120,부산광역시 강서구,206931,"오늘 21:00부로 한파주의보 발효 예정이니 농작물 피해 및 동파사고 예방, 외출 시 체온유지 등 건강관리에 유의하시기 바랍니다.",cbs,강서구,,,"[('외출 체온유지 건강관리에', 0.6044)]"
2023/09/20 20:44:08,120,부산광역시 강서구,205544,"호우경보 발령중, 밤 사이 많은 비가 예상되오니, 저지대 및 하천변 산책로 출입을 삼가주시기 바랍니다.",cbs,강서구,,,"[('삼가주시기 바랍니다', 0.7357)]"
2023/09/17 07:50:38,120,부산광역시 강서구,205284,강서구 산사태주의보 발령. 산림연접부 주민들께서는 비상상황시 즉시 가까운 마을회관 등 대피소로 대피하여 주시기 바랍니다.,cbs,강서구,,,"[('주민들께서는 비상상황시', 0.7749)]"
2023/09/01 02:18:35,120,부산광역시 강서구,204755,"00시30분 호우경보 발효에 따라 많은 비가 예상되니 유사시 하천변, 지하차도 진입금지 등 안전에 주의 바랍니다.",cbs,강서구,,,"[('호우경보 발효에', 0.7078)]"
2023/08/24 05:21:26,120,부산광역시 강서구,204310,"부산지역에 호우경보 발령중, 상습침수우려지, 산사태 우려지역, 하천변 산책로, 급경사지 위험지 등 출입 및 접근을 삼가주시기 바랍니다.",cbs,강서구,,,"[('부산지역에 호우경보 발령중', 0.738)]"
2023/08/23 09:32:06,120,부산광역시 강서구,204088,"오늘 14시부터 20분간 전국 민방위 훈련 실시로, 일부구간(녹산 119센터~명지 지하차도)차량 이동 통제하오니 훈련에 협조하여 주시기 바랍니다",cbs,강서구,녹산 119센터~명지 지하차도,,"[('실시로 일부구간 녹산', 0.662)]"
2023/08/23 07:53:06,120,부산광역시 강서구,204067,고장 차량 견인 완료되어 가락대로~가락요금소 구간 진입 가능 알림,cbs,강서구,,,"[('가능 알림', 0.5266)]"
2023/08/23 07:27:18,120,부산광역시 강서구,204063,"고장차량 견인에 따라 가락대로~가락요금소 구간 진입 전면 통제 중입니다. 교통정보를 미리 확인하시고, 우회도로를 이용해주세요.",cbs,강서구,,,"[('가락요금소 구간', 0.7159)]"
2023/08/11 13:38:27,120,부산광역시 강서구,203054,"현재 낙동강 수위 상승으로 대저·맥도생태공원 차량 진출입로 및 하천변 산책로,파크골프장 등 일대 주민 출입을 통제중이오니,출입금지 등 협조바랍니다.",cbs,강서구,,,"[('산책로 파크골프장 일대', 0.6155)]"
2023/08/11 07:04:01,120,부산광역시 강서구,203032,"낙동강 수위 상승에 따른 산책로 침수로 위험하오니, 대저 생태공원 및 맥도 생태공원 등 산책로 출입하지 마시기 바랍니다.",cbs,강서구,,,"[('출입하지 마시기 바랍니다', 0.7461)]"
2023/08/10 17:43:23,120,부산광역시 강서구,202972,금일 18시부로 강서구 산사태 경보가 해제됨을 알려드립니다.,cbs,강서구,,,"[('경보가 해제됨을', 0.5075)]"
2023/08/10 17:00:08,120,부산광역시 강서구,202954,"금일 17시부로 태풍북상에 따라 통제되었던 마을버스(강서구3번, 강서구15번) 구간 운행재개됨을 알려드립니다. (강서구 마을버스 전노선 정상운행)",cbs,강서구,"강서구3번, 강서구15번",,"[('마을버스 전노선 정상운행', 0.5525)]"
2023/08/10 16:42:13,120,부산광역시 강서구,202940,금일 17시부로 에코델타 내부도로 통제 해제됨을 알려드립니다. 통행시 안전 운행하여 주시기 바랍니다.,cbs,강서구,,,"[('안전 운행하여 주시기', 0.5109)]"
2023/08/10 13:19:03,120,부산광역시 강서구,202783,"태풍북상으로 통제되었던 창원~부산간도로(지1030호)부산방향,14시 정상운행 예정(통제해제 구간:성주사교차로~미음교차로),통행 시 안전운행하시기 바랍니다",cbs,강서구,지1030호,,"[('미음교차로 통행 안전운행하시기', 0.6916)]"
2023/08/10 11:13:29,120,부산광역시 강서구,202673,"태풍으로 인해 중단되었던 강서구 마을버스11:30부터 운행재개,강서구3번 금호~하단 우회운행,강서구15번 강서구청~중곡 부분운행,그외 노선 정상운행합니다",cbs,강서구,,,"[('운행재개 강서구3번', 0.6914)]"
2023/08/10 09:11:31,120,부산광역시 강서구,202509,"(송정동,구량동,지사동,미음동,범밤동,성북동) 산사태경보 발령. 해당지역 산림연접부 주민들께서는 즉시 가까운 마을회관 등 대피소로 대피 바랍니다.",cbs,강서구,"송정동,구량동,지사동,미음동,범밤동,성북동",,"[('산림연접부 주민들께서는 즉시 가까운', 0.6855)]"
2023/08/10 08:41:54,120,부산광역시 강서구,202473,"태풍 카눈 영향, 에코델타 내부도로 통제중, 별도 안내시까지 통행이 중단되오니 인근 차량은 우회하여 주시기 바랍니다.",cbs,강서구,,,"[('에코델타 내부도로', 0.5844)]"
2023/08/10 08:29:02,120,부산광역시 강서구,202457,"태풍 영향으로 8.10.(목)08시30분부터 별도 해제 시까지 창원~부산간도로(지1030호, 불모산터널)부산방향으로 차량통제,우회도로 이용바랍니다.",cbs,강서구,목,,"[('시까지 창원 부산간도로', 0.6932)]"
2023/08/10 08:23:58,120,부산광역시 강서구,202454,태풍 카눈으로 강서구 화전천의 수위가 빠르게 상승하는 상황입니다. 화전천 주변 주민들께서는 즉시 인근 대피소로 대피하여 주시기 바랍니다.,cbs,강서구,,,"[('강서구 화전천의 수위가 빠르게', 0.5674)]"
2023/08/10 08:15:37,120,부산광역시 강서구,202440,"태풍 카눈 영향, 8.10.(목) 08:00부터 특보 해제시까지 성주사교차로~미음교차로 부산방향 차단중이니, 인근 통행차량은 우회하시기 바랍니다.",cbs,강서구,목,,"[('성주사교차로 미음교차로 부산방향', 0.6329)]"
2023/08/10 08:07:55,120,부산광역시 강서구,202432,"태풍 카눈영향, 8.10.(목) 08:00부터 특보 해제시까지 강서구 마을버스 전체노선 운행중단합니다.",cbs,강서구,목,,"[('08 00부터', 0.5237)]"
2023/08/10 08:03:59,120,부산광역시 강서구,202428,"(송정동,구량동,지사동,미음동,범밤동,성북동) 산사태경보 발령. 해당지역 산림연접부 주민들께서는 즉시 가까운 마을회관 등 대피소로 대피 바랍니다.",cbs,강서구,"송정동,구량동,지사동,미음동,범밤동,성북동",,"[('산림연접부 주민들께서는 즉시 가까운', 0.6855)]"
2023/08/10 07:53:19,120,부산광역시 강서구,202416,"태풍영향, 8.10.(목) 07:30부터 가덕대교~천성IC구간 통제, 마을버스 강서구20번 가덕도구간 운행중단(하단~경자청운행),20-1번 운행중단됩니다",cbs,강서구,목,,"[('천성ic구간 통제', 0.6426)]"
2023/08/09 18:16:13,120,부산광역시 강서구,202160,"태풍북상으로 인하여 현재부로 강서구3번 강동동~하단 운행중단 및 금호~하단 우회운행,강서구15번 중곡~하단 운행중단하오니 대중교통 이용시 참고바랍니다.",cbs,강서구,,,"[('하단 운행중단', 0.6732)]"
2023/08/09 17:50:14,120,부산광역시 강서구,202135,"태풍북상중, 현재부로 에코델타 내부도로 전면통제 중이오니,인근 통행차량은 우회하여 주시기 바랍니다.(20시 도로통제 예정이었으나, 현재 통행 제한중)",cbs,강서구,"20시 도로통제 예정이었으나, 현재 통행 제한중",,"[('우회하여 주시기', 0.4993)]"
2023/08/09 17:05:16,120,부산광역시 강서구,202106,"태풍 카눈 북상중,강한 비바람 예상되오니,쓰레기 배출을 금지하여 주시고,간판·유리창 등 고정,해안가 출입금지,외출 자제 등 안전에 유의하시기 바랍니다.",cbs,강서구,,,"[('쓰레기 배출을 금지하여', 0.6812)]"
2023/08/09 16:59:51,120,부산광역시 강서구,202100,"태풍 카눈의 북상으로 8. 10.(목) 09시부터 13시까지 강서구 보건소 선별진료소 운영을 중단하오니, 참고하시기 바랍니다.",cbs,강서구,목,,"[('북상으로 10 09시부터 13시까지', 0.4656)]"
2023/08/09 16:52:40,120,부산광역시 강서구,202094,"태풍북상에 따라,금일20시 에코델타내부도로 통제예정,금일20시부터 10일 12시까지 강서구3번 강동동~하단 운행중단,금호~하단 우회운행하오니 참고바랍니다",cbs,강서구,,,"[('12시까지 강서구3번 강동동', 0.5594)]"
2023/08/09 16:38:22,120,부산광역시 강서구,202085,"태풍북상에 따라, 9일(수) 20시 에코델타 내부도로 통제예정, 금일 20시부터 10일 12시까지 마을버스 강서구 15번 중곡~ 하단 운행 중단합니다.",cbs,강서구,수,,"[('15번 중곡 하단 운행', 0.6542)]"
2023/08/09 16:12:28,120,부산광역시 강서구,202067,"태풍 카눈 북상중,강한 비바람 예상되오니, 외출 자제하여 주시고 간판·유리창 등 고정, 해안가출입금지, 배수로 점검, 어선 결박 등 안전에 유의바랍니다.",cbs,강서구,,,"[('북상중 강한 비바람', 0.6919)]"
2023/08/09 10:04:32,120,부산광역시 강서구,201876,"태풍 카눈 북상중,강한 비바람 예상되오니, 간판·유리창 등 고정, 해안가 출입금지, 배수로 점검, 쓰레기배출 자제, 어선 결박 등 안전에 유의바랍니다.",cbs,강서구,,,"[('예상되오니 간판 유리창', 0.6384)]"
2023/08/08 08:29:16,120,부산광역시 강서구,201663,금일 06:55경 구랑동 1184-4 인근에 출몰한 멧돼지 3마리를 08:10경 포획 완료 하였음을 알려드립니다.,cbs,강서구,,,"[('금일 06 55경', 0.5777)]"
2023/08/08 07:39:35,120,부산광역시 강서구,201662,금일 6시 55분 구랑동 1184-4 인근에서 멧돼지 3마리가 출몰하였으니 인근 주민께서는 통행 시 안전에 유의하여 주시기 바랍니다.,cbs,강서구,,,"[('인근에서 멧돼지 3마리가 출몰하였으니', 0.5644)]"
2023/07/26 08:42:29,120,부산광역시 강서구,199795,"금일 07:40 명지오션시티 인근 야생멧돼지 출몰했으니, 인근 주민 및 산책자께서는 외출을 자제하고 통행 시 안전에 유의하여 주시기 바랍니다.",cbs,강서구,,,"[('자제하고 통행 안전에', 0.6392)]"
2023/07/20 11:08:31,120,부산광역시 강서구,199045,7월20일(목) 10시 42분 부로 강서구 산사태 주의보가 해제되었음을 알려드립니다.,cbs,강서구,목,,"[('42분 부로', 0.5425)]"
2023/07/19 06:28:18,120,부산광역시 강서구,198946,"집중호우에 따라 통제되었던 강서구 지하차도(명지, 명지동진) 정상 통행 가능함을 알려드리오니, 통행 시 안전운행하여 주시기 바랍니다",cbs,강서구,"명지, 명지동진",,"[('알려드리오니 통행 안전운행하여 주시기', 0.6356)]"
