create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2023/10/25 18:07:04,120,부산광역시 강서구,206255,금일 18시경 가락대로 373번길 10 인근에 멧돼지 2마리가 출몰했다는 신고가 접수되었으니 인근 주민께서는 안전에 유의하시기 바랍니다.,cbs,강서구청,,,"[('유의하시기 바랍니다', 0.5896)]"
2023/08/09 17:31:13,140,서울특별시 강서구,202124,"태풍 카눈 북상에 따라 금일 18:00부터 산림이용을 통제하오니 산사태 뿐만 아니라 간판, 전력설비 등 시설물 낙하 안전사고에도 유의하시기 바랍니다.",cbs,강서구청,,,"[('산사태 뿐만 아니라', 0.5883)]"
2023/07/17 08:07:12,140,서울특별시 강서구,198378,한강 수위 상승으로 개화나들목 교통통제 / 차량 침수 주의,cbs,강서구청,,,"[('차량 침수', 0.3806)]"
2023/07/14 10:35:15,140,서울특별시 강서구,197360,한강 수위 상승으로 개화나들목 교통통제 / 올림픽대로 진출입 불가 / 차량 침수 주의,cbs,강서구청,,,"[('불가 차량 침수 주의', 0.6115)]"
2023/04/04 11:32:59,140,서울특별시 강서구,194138,금일 발생한 마곡동71-19 쓰레기집하장 인근은 주택가가 아니고 초진 완료되었음. 다만 연기 지속 발생중이므로 인근 주민들께서는 안전에 유의바랍니다.,cbs,강서구청,,,"[('지속 발생중이므로 인근 주민들께서는', 0.6581)]"
2023/04/04 11:15:24,140,서울특별시 강서구,194135,금일 10:45경 서울시 강서구 마곡동 71-19 화재 발생하여 연기 확산 중. 이 지역을 우회하여 주시고 인근 주민은 안전사고 발생에 유의 바랍니다,cbs,강서구청,,,"[('강서구 마곡동', 0.6541)]"
2023/03/29 10:16:15,140,서울특별시 강서구,193879,금일 강서구 발산역~마곡역 공항대로 집회로 인해 13:30~17:30 2개차선 도로 통제예정. 인근 주민 및 운전자는 안전에 유의하시고 우회바랍니다.,cbs,강서구청,,,"[('30 2개차선 도로 통제예정', 0.6424)]"
2023/03/22 08:59:36,120,부산광역시 강서구,193721,"오늘 08:15경 녹산산단290로 42(국도화학)에서 화재 발생(진화중),인근주차 차량은 차량 대피해주시고,인근주민들께서는 안전에 유의하시기 바랍니다.",cbs,강서구청,국도화학,,"[('발생 진화중', 0.6067)]"
2023/01/25 18:14:14,140,서울특별시 강서구,191854,"내일 새벽부터 2~7cm 눈 예보에 따라 내 집, 내 점포 앞 눈치우기에 동참하여 주시고, 도로 결빙 우려로 출근길 대중교통을 이용하여 주시기바랍니다.",cbs,강서구청,,,"[('우려로 출근길 대중교통을', 0.6651)]"
2023/01/24 14:03:52,140,서울특별시 강서구,191652,"기온 급강하로 인한 계량기, 수도관 동파 사고에 유의하시고 외출 시 방한용품 착용, 도로 결빙에 따른 감속 운행 등 안전사고에 유의하시기 바랍니다.",cbs,강서구청,,,"[('계량기 수도관 동파 사고에', 0.7034)]"
2023/01/23 14:07:58,140,서울특별시 강서구,191399,"금일 21시부로 한파 경보 발령 예정(최저기온-17도). 강추위로 인한 건강관리, 계량기 동파, 온열기기 화재 등 한파 안전사고에 유의하시기 바랍니다",cbs,강서구청,최저기온-17도,,"[('최저기온 17도 강추위로 인한', 0.6859)]"
2023/01/20 10:45:46,120,부산광역시 강서구,191014,2023.1.20. 현재 명지지하차도 신호동 방면 전광판 철거작업으로 교통통제 중이오니 우회하시기 바랍니다.통제시간 10:00 ~ 12:30,cbs,강서구청,,,"[('교통통제 중이오니 우회하시기', 0.5202)]"
2023/01/08 09:27:51,120,부산광역시 강서구,189327,"녹산동 산61-5 봉화산 정상 산불 발생(진화중),화재로 인한 연기 발생 및 연기 주변 확산 우려로 인근주민 및 통행차량은 안전에 유의하시기 바랍니다.",cbs,강서구청,진화중,,"[('인한 연기 발생 연기', 0.6078)]"
2023/01/06 18:20:00,140,서울특별시 강서구,189123,"금일 18시부터 내일 새벽까지 1cm 내외의 눈이 예보돼있어 대중교통을 이용해 주시고 내집, 내 점포 앞 눈치우기를 생활화하여 주시기 바랍니다.",cbs,강서구청,,,"[('대중교통을 이용해', 0.6606)]"
2023/01/01 07:03:10,120,부산광역시 강서구,188267,"해맞이 명소 방문, 이동시 위험행동 자제 등 안전사고에 각별히 유의하시기 바랍니다.",cbs,강서구청,,,"[('유의하시기 바랍니다', 0.5895)]"
2022/12/31 19:04:34,120,부산광역시 강서구,188244,"해맞이 명소 방문, 이동시 위험행동 자제 등 안전사고에 각별히 유의하시기 바랍니다.",cbs,강서구청,,,"[('유의하시기 바랍니다', 0.5895)]"
2022/12/29 16:19:09,120,부산광역시 강서구,187930,"녹산동 산25 5부 능선 산불 발생(진화중), 화재로 인한 연기 발생 및 연기 주변 확산 우려로 인근 주민 및 통행차량은 안전에 유의하시기 바랍니다.",cbs,강서구청,진화중,,"[('녹산동 산25', 0.688)]"
2022/12/29 15:12:37,120,부산광역시 강서구,187917,"오늘 14:19경 녹산동 산25 봉화산 5부 능선 산불 발생(진화중), 인근 주민 및 통행차량은 안전에 유의하시기 바랍니다.",cbs,강서구청,진화중,,"[('발생 진화중 인근', 0.6241)]"
2022/12/26 17:52:05,120,부산광역시 강서구,187519,"봉림지하차도 보수 및 도로결빙으로 인하여 3차선 통제중이오니, 안전운전에 유의하시기 바랍니다.",cbs,강서구청,,,"[('도로결빙으로 인하여', 0.6445)]"
2022/12/23 17:28:52,120,부산광역시 강서구,187026,봉림지하차도 도로결빙에 따른 안전운전에 유의하시기 바랍니다.,cbs,강서구청,,,"[('따른 안전운전에', 0.5434)]"
2022/12/21 19:16:35,140,서울특별시 강서구,186467,"오늘 밤부터 기온이 영하로 떨어질 것으로 예상되오니, 내린 눈으로 인한 빙판길 미끄럼 사고에 유의하여 주시기 바랍니다.",cbs,강서구청,,,"[('눈으로 인한', 0.6645)]"
2022/12/20 18:21:49,140,서울특별시 강서구,186195,"내일(21일) 새벽부터 최대 8cm 눈 예보가 있으니 출근길에 대중교통을 이용하여주시고 '내 집,내 점포앞 눈치우기'에 적극 동참하여 주시기 바랍니다.",cbs,강서구청,21일,,"[('점포앞 눈치우기', 0.6358)]"
2022/12/15 16:29:34,140,서울특별시 강서구,185287,"내일 새벽까지 기온이 영하권으로 떨어질 예정으로 빙판길에 유의하여 주시고, 내 집, 내 점포 앞 눈치우기를 생활하하여 주시기 바랍니다.",cbs,강서구청,,,"[('영하권으로 떨어질 예정으로 빙판길에', 0.7053)]"
2022/12/13 19:10:37,140,서울특별시 강서구,184944,금일 내린 눈과 기온 강하로 도로 결빙이 우려되오니 출근 시 대중교통을 이용하여 주시고 운전 시 감속 운행 및 미끄럼 사고에 주의하시기 바랍니다.,cbs,강서구청,,,"[('눈과 기온 강하로 도로', 0.7144)]"
2022/12/02 19:20:02,140,서울특별시 강서구,183417,내일(12. 3.) 오전 5시부터 1cm 이상의 눈 예보가 있으니 기온 저하 시 도로결빙으로 인한 미끄럼 사고에 유의하여 주시기 바랍니다.,cbs,강서구청,12. 3.,,"[('내일 12 오전', 0.6146)]"
2022/11/18 22:02:49,120,부산광역시 강서구,181473,오늘 21:20경 대저2동 1514-2 고물상 화재 발생 및 진화 중. 인근 주민은 외출을 자제하는 등 안전사고 발생에 유의 바랍니다.,cbs,강서구청,,,"[('자제하는 안전사고 발생에 유의', 0.5897)]"
2022/11/17 18:16:49,140,서울특별시 강서구,181328,인천수도권매립지 부취제 유출로 인해 강서구에 악취 발생. 수도권매립지공사에 따르면 현재 방재 작업 완료하였으니 참고하시기 바랍니다.,cbs,강서구청,,,"[('현재 방재 작업 완료하였으니', 0.7016)]"
2022/11/14 10:50:47,120,부산광역시 강서구,180897,"신호동에 출몰했던 멧돼지를 금일 포획 완료 하였음을 알려드립니다. 향후 멧돼지 출몰 시 112, 119에 신고하여 주시기 바랍니다.",cbs,강서구청,,,"[('금일 포획 완료 하였음을', 0.5577)]"
2022/11/14 07:20:21,120,부산광역시 강서구,180827,"현재 신호동, 송정동 일대 멧돼지가 출몰해 포획 활동중에 있으니 인근 시민분들은 각별히 주의하시고, 멧돼지 발견 시 119로 신고바랍니다.",cbs,강서구청,,,"[('송정동 일대', 0.716)]"
2022/11/13 21:26:41,120,부산광역시 강서구,180826,"현재 신호동, 송정동 일대 멧돼지가 출몰해 포획 활동중에 있으니 인근 시민분들은 외출에 각별히 주의하시고, 멧돼지 발견 시 119로 신고바랍니다.",cbs,강서구청,,,"[('송정동 일대 멧돼지가', 0.7056)]"
2022/11/13 17:31:59,120,부산광역시 강서구,180816,"현재 신호동,송정동 일대 멧돼지 출몰로 포획 활동중이니, 인근 시민분들은 각별히 주의하시고 멧돼지 발견 시 119로 신고바랍니다.",cbs,강서구청,,,"[('각별히 주의하시고 멧돼지 발견', 0.6295)]"
