create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2023/04/21 20:16:54,"4,7,9","강원도 고성군,강원도 속초시,강원도 양양군",194586,"오늘 20시 영동북부권역 미세먼지 경보. 어린이, 노약자 실외활동 금지, 대중교통 이용하기, 보건용 마스크 착용하기 등 건강관리에 유의 바랍니다.",cbs,강원도,,,"[('유의 바랍니다', 0.6233)]"
2023/04/21 15:01:43,"3,5,6,16","강원도 강릉시,강원도 동해시,강원도 삼척시,강원도 태백시",194569,"오늘 15시 영동남부권역 미세먼지 경보. 어린이, 노약자 실외활동 금지, 대중교통 이용하기, 보건용 마스크 착용하기 등 건강관리에 유의 바랍니다.",cbs,강원도,,,"[('미세먼지 경보 어린이', 0.6082)]"
2023/04/13 15:03:26,"4,7,9","강원도 고성군,강원도 속초시,강원도 양양군",194426,"오늘 15시 영동북부권역 미세먼지 경보. 어린이, 노약자 실외활동 금지, 대중교통 이용하기, 보건용 마스크 착용하기 등 건강관리에 유의 바랍니다.",cbs,강원도,,,"[('미세먼지 경보', 0.6172)]"
2023/04/12 12:01:37,"10,11,13,17,20","강원도 영월군,강원도 원주시,강원도 정선군,강원도 평창군,강원도 횡성군",194403,"오늘 12시 영서남부권역 미세먼지 경보. 어린이, 노약자 실외활동 금지, 대중교통 이용하기, 보건용 마스크 착용하기 등 건강관리에 유의 바랍니다.",cbs,강원도,,,"[('미세먼지 경보', 0.5651)]"
2023/04/12 07:07:38,"3,5,6,16","강원도 강릉시,강원도 동해시,강원도 삼척시,강원도 태백시",194380,"어제 22시부터 영동남부권역 미세먼지 경보. 어린이, 노약자 실외활동 금지, 대중교통 이용하기, 보건용 마스크 착용하기 등 건강관리에 유의 바랍니다.",cbs,강원도,,,"[('대중교통 이용하기', 0.7143)]"
2023/04/12 07:07:24,"4,7,9","강원도 고성군,강원도 속초시,강원도 양양군",194379,"오늘 01시 영동북부권역 미세먼지 경보. 어린이, 노약자 실외활동 금지, 대중교통 이용하기, 보건용 마스크 착용하기 등 건강관리에 유의 바랍니다.",cbs,강원도,,,"[('실외활동 금지 대중교통 이용하기', 0.6487)]"
2023/04/12 07:07:06,"8,12,14,15,18,19","강원도 양구군,강원도 인제군,강원도 철원군,강원도 춘천시,강원도 홍천군,강원도 화천군",194378,"오늘 02시 영서북부권역 미세먼지 경보. 어린이, 노약자 실외활동 금지, 대중교통 이용하기, 보건용 마스크 착용하기 등 건강관리에 유의 바랍니다.",cbs,강원도,,,"[('02시 영서북부권역 미세먼지 경보', 0.6503)]"
2023/03/30 10:57:19,2,강원도 전체,193908,"강원도 전역 강풍이 예상됩니다. 작은 불씨가 큰불로 번질 수 있으니, 산림인접 논밭두렁 소각금지, 입산시 화기소지 금지 등 산불예방 주의 바랍니다",cbs,강원도,,,"[('예상됩니다 작은 불씨가', 0.6713)]"
2023/03/14 13:34:02,2,강원도 전체,193522,"강풍 및 건조로 인하여 산불발생 위험이 높으니 산림연접지에서 소각, 취사, 담배꽁초투기 행위를 일체 금지하오며, 산불예방에 협조하여 주시기 바랍니다.",cbs,강원도,,,"[('산불예방에 협조하여 주시기', 0.7714)]"
2023/02/06 18:05:52,2,강원도 전체,192759,"내일(2월7일 06~21시) 영서지역에 미세먼지 비상저감조치 발령. 외출 시 마스크 착용, 야외활동 자제, 5등급 노후차량 운행제한 실시",cbs,강원도,2월7일 06~21시,,"[('06 21시 영서지역에', 0.6602)]"
2023/02/03 15:13:20,2,강원도 전체,192617,2월 3일부터 코로나19 확진자 수 문자안내 중단합니다. 앞으로는 시군 홈페이지를 참고해 주세요.,cbs,강원도,,,"[('홈페이지를 참고해', 0.5791)]"
2023/01/07 18:15:35,2,강원도 전체,189291,"1.8(일) 06~21시 영서 11개 시군(춘천,원주,홍천,횡성,영월,평창,정선,철원,화천,양구,인제) 미세먼지 비상저감조치 시행. 도민 건강관리 유의",cbs,강원도,일,,"[('미세먼지 비상저감조치', 0.6316)]"
2023/01/06 18:38:18,2,강원도 전체,189127,내일(7일)은 전국(강원 영동제외)에 고농도의 미세먼지가 발생하오니 도민들께서는 건강을 위해 외출 등 야외활동을 자제하여 주시기 바랍니다.,cbs,강원도,7일,,"[('자제하여 주시기 바랍니다', 0.6837)]"
2022/01/09 10:19:16,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,18,19,20","강원도 강릉시,강원도 고성군,강원도 동해시,강원도 삼척시,강원도 속초시,강원도 양구군,강원도 양양군,강원도 영월군,강원도 원주시,강원도 인제군,강원도 정선군,강원도 철원군,강원도 춘천시,강원도 태백시,강원도 홍천군,강원도 화천군,강원도 횡성군",137491,"1.8.(토)코로나19확진77명(원주23<해외2>,동해17,춘천11,강릉7,태백3,속초3,고성3,양양<해외3>,홍천<해외2>,평창2,횡성1,정선1,철원1",cbs,강원도,토,,"[('코로나19확진77명 원주23', 0.5237)]"
2020/05/09 12:10:34,2,강원도 전체,34756,"5.2.새벽(00시~05시) 서울 이태원 클럽(킹클럽,트렁크,퀸)을 방문 또는 방문자와 접촉한 분은 즉시 보건소로 문의 후 진단검사를 받으시기 바랍니다",cbs,강원도,00시~05시,,"[('보건소로 문의 진단검사를 받으시기', 0.6346)]"
2020/05/01 16:03:10,2,강원도 전체,34331,"코로나19 청정지역인 강원도를 지켜주세요! 관광객 및 도민분께서는 마스크 착용, 손씻기, 2m 거리두기 등 방역수칙을 반드시 준수해 주시기 바랍니다.",cbs,강원도,,,"[('지켜주세요 관광객', 0.679)]"
2020/04/30 10:23:43,2,강원도 전체,34275,황금연휴(4.30~5.5)에 도내 많은 관광객 유입이 예상되니 코로나19 예방을 위해 사회적 거리두기 동참과 방역수칙을 반드시 지켜 주시기 바랍니다.,cbs,강원도,4.30~5.5,,"[('도내 많은 관광객', 0.6689)]"
2020/04/22 19:07:11,2,강원도 전체,33889,"신규 확진자는 감소하고 있지만 무증상 감염자를 통한 전파위험은 여전히 남아있으니, 5월5일까지 연장된 '사회적 거리두기'에 적극 동참해 주시기 바랍니다.",cbs,강원도,,,"[('여전히 남아있으니 5월5일까지', 0.7272)]"
2020/03/27 18:07:07,2,강원도 전체,31534,"코로나19 예방을 위해 각종 모임, 행사, 예배 활동 중단 등 사회적 거리두기캠페인에 적극 동참해 주시기 바랍니다.",cbs,강원도,,,"[('중단 사회적 거리두기캠페인에', 0.6278)]"
2019/03/18 10:26:21,"3,9","강원도 강릉시,강원도 양양군",24319,"금일(09:30) 강릉시, 양양군 대형산불주의보 발령, 소각금지 등 산불이 발생하지 않도록 주의바랍니다.(634-8500)",cbs,강원도,09:30,,"[('양양군 대형산불주의보', 0.7123)]"
2014/01/21 12:24:30,3,강원도 강릉시,1010,"21일12시20분 강릉지역 대설경보, 대중교통이용, 비닐하우스 와 내집앞 눈치우기, 눈길 미끄럼 등 주의하세요",cbs,강원도,,,"[('내집앞 눈치우기 눈길 미끄럼', 0.4801)]"
2014/01/21 10:46:24,"8,12","강원도 양구군,강원도 인제군",1008,"21일10시40분 양구,인제지역 대설경보, 대중교통이용, 비닐하우스 와 내집앞 눈치우기, 눈길 미끄럼 등 주의하세요",cbs,강원도,,,"[('내집앞 눈치우기 눈길', 0.4902)]"
2014/01/21 10:05:21,"4,7,9","강원도 고성군,강원도 속초시,강원도 양양군",1006,"21일10시속초,고성,양양지역 대설경보, 대중교통이용, 비닐하우스 와 내집앞 눈치우기, 눈길 미끄럼 등 주의하세요",cbs,강원도,,,"[('눈치우기 눈길', 0.4769)]"
