create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2023/06/11 14:58:55,2,강원도 전체,195530,"대기 불안정으로 전국적인 호우, 낙뢰 발생이 우려되오니 등산, 골프, 야영 등 야외활동 자제 및 낙뢰 발생 시 실내 이동 등 안전에 유의 바랍니다.",cbs,강원도청,,,"[('호우 낙뢰 발생이', 0.7181)]"
2023/06/10 18:32:48,2,강원도 전체,195495,"천둥과 번개를 동반한 비가 내리고 있습니다. 낙뢰에 주의하여 주시고, 피해예방에 만전을 기해주시기 바랍니다.",cbs,강원도청,,,"[('피해예방에 만전을 기해주시기', 0.7408)]"
2023/05/15 11:14:58,"3,4,5,6,7,9","강원도 강릉시,강원도 고성군,강원도 동해시,강원도 삼척시,강원도 속초시,강원도 양양군",195061,동해안 지진이 연속발생함에 따라 지진 국민행동요령 숙지 및 지진·지진해일 대피장소를 확인하여 주시길 바랍니다.,cbs,강원도청,,,"[('숙지 지진 지진해일', 0.7613)]"
2023/05/15 07:39:17,2,강원도 전체,195054,"5월15일 06:27 동해시 북동쪽 59km 해역, 규모 4.5 지진발생으로 추가 지진 발생에 유의하시길 바랍니다.",cbs,강원도청,,,"[('규모 지진발생으로', 0.4696)]"
2023/04/25 16:13:15,"3,4,5,6,7,9","강원도 강릉시,강원도 고성군,강원도 동해시,강원도 삼척시,강원도 속초시,강원도 양양군",194683,15시 55분 동해시 북동쪽 55km 해역 규모3.5 지진 발생하였습니다. 인근 주민들께서는 안전에 유의하시고 추가 여진에 대비하여 주십시요.,cbs,강원도청,,,"[('안전에 유의하시고 추가', 0.5161)]"
2023/04/11 15:11:10,2,강원도 전체,194359,"강풍 특보 발효 중. 산불예방, 간판 등 부착물 고정, 선박 묶기, 비닐하우스 등 시설물 피해 주의, 해안 접근 금지 등 안전에 주의 바랍니다.",cbs,강원도청,,,"[('안전에 주의', 0.682)]"
2023/04/11 09:28:59,"3,4,5,6,7,9,16","강원도 강릉시,강원도 고성군,강원도 동해시,강원도 삼척시,강원도 속초시,강원도 양양군,강원도 태백시",194319,"강풍경보 발효중. 간판 등 부착물 고정, 선박 묶기, 비닐하우스 등 시설물 피해 주의, 해안 접근 금지 등 안전에 주의 바랍니다.",cbs,강원도청,,,"[('고정 선박 묶기 비닐하우스', 0.6702)]"
2023/03/06 14:50:56,2,강원도 전체,193317,오늘 강원도 전역에 산불위기경보 '경계' 발령. 산불 발생 위험이 높으니 주민과 등산객은 산불 발생에 주의하시고 산불 발견 시 즉시 신고 바랍니다.,cbs,강원도청,,,"[('산불 발생 위험이', 0.6043)]"
2023/03/03 11:35:36,2,강원도 전체,193264,"강풍 등으로 산불발생 위험이 높으니 산불예방을 위해 산에서 화기물 소지 및 소각금지, 담배꽁초 투기금지 등을 준수하시기 바랍니다.",cbs,강원도청,,,"[('산불발생 위험이 높으니', 0.7111)]"
2023/02/15 09:13:55,"3,4,5,6,7,9","강원도 강릉시,강원도 고성군,강원도 동해시,강원도 삼척시,강원도 속초시,강원도 양양군",193045,"대설 특보 발효로 인해 많은 눈이 예상되오니, 대중교통을 이용해 주시고 운전 시 감속 운행 및 미끄럼 사고에 주의하시기 바랍니다.",cbs,강원도청,,,"[('대중교통을 이용해', 0.7483)]"
