create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2023/10/22 13:00:28,"3,4,5,6,7,9","강원특별자치도 강릉시,강원특별자치도 고성군,강원특별자치도 동해시,강원특별자치도 삼척시,강원특별자치도 속초시,강원특별자치도 양양군",206176,"현재 동해안 지역에 건조한 날씨가 이어지고 있습니다. 화재 예방을 위해 야외 쓰레기 소각, 담배꽁초 투척 등 위험행위는 금지해 주시기 바랍니다.",cbs,강원특별자치도,,,"[('야외 쓰레기', 0.6019)]"
2023/08/23 13:57:51,"14,15,18,19","강원특별자치도 철원군,강원특별자치도 춘천시,강원특별자치도 홍천군,강원특별자치도 화천군",204206,"도내 많은 비가 예상되오니, 하천변 산책로, 저지대, 산사태 위험지역 등 위험지역 출입을 자제하시기 바라며, 주택 침수에 유의하시기 바랍니다.",cbs,강원특별자치도,,,"[('위험지역 출입을 자제하시기 바라며', 0.6509)]"
2023/08/23 13:00:20,2,강원특별자치도 전체,204178,"오늘 오후 2시 민방위 훈련 공습경보가 발령되면 대피시설로 대피하여 주시기 바라며, 차량운행은 일부구간(행안부 홈페이지 참고)에서 통제됩니다.",cbs,강원특별자치도,행안부 홈페이지 참고,,"[('발령되면 대피시설로 대피하여', 0.7317)]"
2023/08/22 13:01:09,2,강원특별자치도 전체,203953,내일 오후 2시 민방위 훈련 공습경보가 발령되면 가까운 대피시설로 안전하게 대피하여 주시기 바랍니다.,cbs,강원특별자치도,,,"[('오후 2시 민방위 훈련', 0.6302)]"
2023/08/20 14:51:17,"3,13,17,18","강원특별자치도 강릉시,강원특별자치도 정선군,강원특별자치도 평창군,강원특별자치도 홍천군",203804,강원중부산지에 많은 비가 예상되오니 해당 지역 하천 및 산간 계곡 이용객께서는 안전에 주의하시기 바랍니다.,cbs,강원특별자치도,,,"[('하천 산간 계곡 이용객께서는', 0.6643)]"
2023/08/16 13:00:27,2,강원특별자치도 전체,203435,8월 23일 오후 2시 민방위 훈련 공습경보가 발령되면 가까운 대피시설로 안전하게 대피하여 주시기 바랍니다.,cbs,강원특별자치도,,,"[('공습경보가 발령되면 가까운', 0.567)]"
2023/08/14 23:01:03,"3,4,5,6,7,9","강원특별자치도 강릉시,강원특별자치도 고성군,강원특별자치도 동해시,강원특별자치도 삼척시,강원특별자치도 속초시,강원특별자치도 양양군",203285,"동해중부 바깥 먼바다에서 풍랑주의보 발효에 따라, 동해안 지역에서는 안전관리에 만전을 기하여 주시기 바랍니다.",cbs,강원특별자치도,,,"[('먼바다에서 풍랑주의보 발효에 따라', 0.7485)]"
2023/08/13 18:02:57,"3,4,5,6,7,9","강원특별자치도 강릉시,강원특별자치도 고성군,강원특별자치도 동해시,강원특별자치도 삼척시,강원특별자치도 속초시,강원특별자치도 양양군",203180,강원 동해바다에 풍랑 예비특보가 발표되었습니다. 해안가·방파제 접근을 자제하여 주시기 바랍니다.,cbs,강원특별자치도,,,"[('해안가 방파제', 0.6861)]"
2023/08/13 15:09:24,"3,4,5,6,7,9","강원특별자치도 강릉시,강원특별자치도 고성군,강원특별자치도 동해시,강원특별자치도 삼척시,강원특별자치도 속초시,강원특별자치도 양양군",203169,태풍 카눈이 지나간 후 강원 동해안에 강한 너울성 파도가 밀려와 매우 위험합니다. 해안가·방파제 접근 및 낚시 등을 자제하여 주시기 바랍니다.,cbs,강원특별자치도,,,"[('주시기 바랍니다', 0.6523)]"
2023/08/09 17:05:17,2,강원특별자치도 전체,202107,"태풍 북상 중으로 산간계곡, 해안가, 하천변 등 위험지역 출입을 금지하여 주시고, 차량 운행·외출 등을 자제하여 주시기 바랍니다.",cbs,강원특별자치도,,,"[('해안가 하천변 위험지역 출입을', 0.773)]"
