create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2023/11/06 16:38:19,2,강원특별자치도 전체,206561,오늘부터 내일 오전까지 강풍으로 인해 산불발생 및 확산 위험이 높으니 주민여러분께서는 소각행위금지 등 산불이 발생하지 않도록 주의하시기 바랍니다,cbs,강원특별자치도청,,,"[('산불발생 확산 위험이', 0.6513)]"
2023/08/20 17:07:57,"4,7,8,9,12","강원특별자치도 고성군,강원특별자치도 속초시,강원특별자치도 양구군,강원특별자치도 양양군,강원특별자치도 인제군",203827,강원북부산지에 많은 비가 예상되오니 해당 지역 하천 및 산간 계곡 이용객께서는 안전에 주의하시기 바랍니다.,cbs,강원특별자치도청,,,"[('하천 산간 계곡', 0.6851)]"
2023/08/20 17:00:15,"5,6,13,16","강원특별자치도 동해시,강원특별자치도 삼척시,강원특별자치도 정선군,강원특별자치도 태백시",203825,강원남부산지에 많은 비가 예상되오니 해당 지역 하천 및 산간 계곡 이용객께서는 안전에 주의하시기 바랍니다.,cbs,강원특별자치도청,,,"[('하천 산간 계곡', 0.6862)]"
2023/08/15 09:41:24,"3,4,5,6,7,9","강원특별자치도 강릉시,강원특별자치도 고성군,강원특별자치도 동해시,강원특별자치도 삼척시,강원특별자치도 속초시,강원특별자치도 양양군",203295,동해바다 풍랑주의보 발효중입니다. 너울성파도로 안전사고가 우려되니 해안가 방파제 출입을 자제하여 주시기 바랍니다.,cbs,강원특별자치도청,,,"[('풍랑주의보 발효중입니다 너울성파도로 안전사고가', 0.5891)]"
2023/08/10 14:54:45,2,강원특별자치도 전체,202876,"태풍(카눈) 북상 중, 해안가, 하천변 등 위험지역 출입을 금지하시고, 산사태 인근 주민은 안전한 곳으로 이동하여 주시기 바랍니다",cbs,강원특별자치도청,카눈,,"[('북상 해안가', 0.6604)]"
2023/07/09 11:08:13,"4,7,8,9,12,14,15,19","강원특별자치도 고성군,강원특별자치도 속초시,강원특별자치도 양구군,강원특별자치도 양양군,강원특별자치도 인제군,강원특별자치도 철원군,강원특별자치도 춘천시,강원특별자치도 화천군",196652,"많은 비가 예상됨에 따라 저지대, 침수 우려지역, 하천 등 안전에 주의 바라며, 산간계곡, 야영지 등 위험지역 방문을 자제 바랍니다.",cbs,강원특별자치도청,,,"[('우려지역 하천 안전에 주의', 0.7054)]"
2023/06/29 13:19:03,"3,4,7,8,9,10,11,12,13,14,15,17,18,19,20","강원특별자치도 강릉시,강원특별자치도 고성군,강원특별자치도 속초시,강원특별자치도 양구군,강원특별자치도 양양군,강원특별자치도 영월군,강원특별자치도 원주시,강원특별자치도 인제군,강원특별자치도 정선군,강원특별자치도 철원군,강원특별자치도 춘천시,강원특별자치도 평창군,강원특별자치도 홍천군,강원특별자치도 화천군,강원특별자치도 횡성군",196137,"호우주의보 발효에 따라 하천변, 계곡 등 위험지역 방문을 자제하여 주시고 빗길 안전에 주의하시기 바랍니다.",cbs,강원특별자치도청,,,"[('발효에 따라 하천변 계곡', 0.7562)]"
2023/06/27 00:10:53,2,강원특별자치도 전체,195922,"대기불안정으로 낙뢰 발생이 우려되니 등산, 해안가 산책 등 야외활동 자제 및 낙뢰 발생 시 즉시 실내이동 등 안전에 유의 바랍니다.",cbs,강원특별자치도청,,,"[('해안가 산책 야외활동 자제', 0.6898)]"
2023/06/26 19:51:50,2,강원특별자치도 전체,195910,"내일 새벽까지 많은 비가 예상됩니다. 산간계곡, 하천변 등 위험 지역 접근을 금지해 주시고, 야영장·저지대 등은 안전에 유의바랍니다.",cbs,강원특별자치도청,,,"[('야영장 저지대 등은 안전에', 0.7036)]"
2023/06/24 11:49:59,"15,18","강원특별자치도 춘천시,강원특별자치도 홍천군",195813,"춘천,홍천 폭염주의보 발효중으로 야외활동을 자제해 주시고, 물 충분히 마시기, 무더위쉼터 이용, 폭염 안전수칙 지키기 등 안전에 유의바랍니다.",cbs,강원특별자치도청,,,"[('지키기 안전에 유의바랍니다', 0.7393)]"
