create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2023/09/16 15:29:09,180,전라남도 강진군,205215,"호우경보 발효 중. 내일까지 70mm 강수 예상. 월출산 계곡, 농경지 배수로, 강진만 하천 주변 접근을 삼가 하시고 야간 외출을 자제하시기 바랍니다.",cbs,강진군,,,"[('하천 주변 접근을 삼가', 0.4754)]"
2023/08/29 17:05:10,180,전라남도 강진군,204563,"금일 16:30 우리지역 호우주의보 발효. 내일까지 70mm 내외 강수 예상, 옥내ㆍ외 배수로정비, 강진만, 하천 주변 접근을 삼가하여주시기 바랍니다.",cbs,강진군,,,"[('접근을 삼가하여주시기', 0.4477)]"
2023/08/23 07:01:05,180,전라남도 강진군,204062,"금일 14시부터 민방위 훈련 실시, 강진소방서 ~ 강진동초 ~ 버스터미널 ~ 산림조합 ~ 파머스마켓까지 15분간 차량통제하니 적극 협조해주시기 바랍니다",cbs,강진군,,,"[('버스터미널 산림조합 파머스마켓까지', 0.7052)]"
2023/08/10 07:12:16,180,전라남도 강진군,202358,"태풍 카눈 10일 8시 우리지역 최근접. 노약자 외출자제. 강진만, 해안가, 하천, 계곡 등 출입금지. 농수로 출입자제바랍니다.",cbs,강진군,,,"[('외출자제 강진만 해안가', 0.648)]"
2023/08/09 16:01:56,180,전라남도 강진군,202058,"태풍 카눈 북상중. 월출산 야영장 등 계곡 캠핑 사전 철수. 강진만 해안가, 하천제방 출입삼가. 야간외출자제. 인명피해가 없도록 동참바랍니다.",cbs,강진군,,,"[('인명피해가 없도록', 0.6562)]"
2023/08/09 10:42:46,180,전라남도 강진군,201896,"태풍 카눈 북상중, 금일(9일) 오후부터 내일(10일) 오전까지 우리지역 영향 예상, 낙하위험물 결박, 하우스, 어선 간판 고정 등 강풍에 대비해주세요",cbs,강진군,9일,,"[('북상중 금일', 0.6349)]"
2023/07/25 17:55:53,180,전라남도 강진군,199772,7.24.(월) 15시 부로 장흥댐 수문방류 종료됨을 알려드립니다. 계속된 장마로 탐진강 하천변 수위가 상승되어 있으니 출입을 삼가하여 주시기 바랍니다,cbs,강진군,월,,"[('있으니 출입을 삼가하여', 0.5545)]"
2023/07/23 14:55:20,180,전라남도 강진군,199520,"호우주의보 발효중. 24(월) 새벽시간 집중호우가 예상되오니, 산사태 우려지역 및 탐진강, 하천변 인근 출입을 삼가하여 주시고 안전에 유의바랍니다.",cbs,강진군,월,,"[('집중호우가 예상되오니 산사태', 0.7296)]"
2023/07/22 08:55:23,180,전라남도 강진군,199247,금일 강진군 호우주의보 발효중입니다. 단시간 집중호우에 산사태우려지역 및 장흥댐 수문방류로 인한 탐진강 인근 출입통제하오니 안전에 유의하시기 바랍니다,cbs,강진군,,,"[('인근 출입통제하오니 안전에', 0.5925)]"
2023/07/20 11:02:22,180,전라남도 강진군,199042,"23.7.17.(월)15시~23.7.24.(월)15시까지 장흥댐 수문 방류중으로(초당 최대 150톤 이내) 하천주변 접근통제, 안전에 유의바랍니다.",cbs,강진군,월,,"[('방류중으로 초당', 0.5666)]"
2023/07/15 22:20:41,180,전라남도 강진군,198116,"금일(15일) 19시30분 호우경보 발효. 기습적인 폭우로 하천수위 상승 및 산사태 우려, 위험지역 접근을 삼가시고 안전에 유의하시기 바랍니다.",cbs,강진군,15일,,"[('발효 기습적인', 0.6941)]"
2023/03/26 21:00:57,180,전라남도 강진군,193840,"강진군에서 실종된 김명원씨(남, 66세)는 강진군민의 적극적인 협조로 무사 귀가 조치 되었음을 알려드립니다.",cbs,강진군,"남, 66세",66세,"[('협조로 무사 귀가 조치', 0.4868)]"
2023/03/26 19:42:41,180,전라남도 강진군,193839,"강진군에서 실종된 김명원씨(남, 66세)를 찾습니다. 스포츠형 머리에 흰머리 조금, 걷는 걸음이 불편하여 정상인보다 느림.",cbs,강진군,"남, 66세",66세,"[('걸음이 불편하여', 0.5033)]"
2022/12/23 17:44:11,180,전라남도 강진군,187039,"④ 대중교통 이용에 불편을 드린 점 사과드리며, 농어촌버스 운행 정상화를 위해 최선을 다하겠습니다. - 강진군 재난안전대책본부 -",cbs,강진군,,,"[('운행 정상화를', 0.7003)]"
2022/12/23 17:43:36,180,전라남도 강진군,187038,"③ 읍면 및 군 관계부서에서 도로 제설 작업을 실시하고 있으며, 도로상태 호전 시 운행이 재개될 예정이오니 참고해 주시기 바랍니다.",cbs,강진군,,,"[('도로 제설 작업을', 0.7391)]"
2022/12/23 17:43:09,180,전라남도 강진군,187037,② 5cm 이상의 강설이 추가 예보되어 있습니다. 긴 시간 동안의 눈으로 인해 24일 새벽~오전 농어촌버스 일부 구간에 대해 운행이 중단될 예정입니다.,cbs,강진군,,,"[('새벽 오전 농어촌버스', 0.4888)]"
2022/12/23 17:42:22,180,전라남도 강진군,187036,"① 강진군 재난안전대책본부에서 알려드립니다. 12월 22일부터 시작된 대설로 인해 강진군에 평균 12cm 이상의 많은 눈이 내렸고, 24일 새벽까지",cbs,강진군,,,"[('평균 12cm', 0.6392)]"
