create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2023/11/06 08:53:24,169,인천광역시 강화군,206524,"오늘 7시30분 강화군지역 강풍경보 발효중. 낙하물에 주의하시고 간판 등 부착물 고정, 선박 결박, 비닐하우스 등 시설물 피해에 주의 바랍니다.",cbs,강화군,,,"[('7시30분 강화군지역 강풍경보', 0.644)]"
2023/10/26 07:24:16,169,인천광역시 강화군,206270,"경기도 시내버스 노사 합의로 파업이 타결되어, 강화에서 출발하는 경기도 버스 전 노선이 정상 운행함을 알려드립니다.",cbs,강화군,,,"[('노사 합의로 파업이 타결되어', 0.6437)]"
2023/08/29 09:11:35,169,인천광역시 강화군,204534,"현재 강화군 호우주의보 발효 중. 많은 비가 예상되오니 하천변 산책로, 농수로, 급경사지 등 위험지역 접근을 금지하고, 외출 자제 바랍니다.",cbs,강화군,,,"[('접근을 금지하고', 0.7361)]"
2023/08/23 13:07:16,169,인천광역시 강화군,204183,"현재 강화군 호우주의보 발효중. 많은 비가 예상되오니 하천변산책로, 농수로, 급경사지 등 위험지역 접근을 금지하고, 외출 자제 바랍니다.",cbs,강화군,,,"[('현재 강화군', 0.7535)]"
2023/08/22 18:34:07,169,인천광역시 강화군,204020,"오늘 18시30분 강화군 호우주의보 발효. 많은 비가 예상되오니 하천변산책로, 농수로, 급경사지 등 위험지역 접근을 금지하고, 외출 자제 바랍니다.",cbs,강화군,,,"[('예상되오니 하천변산책로 농수로', 0.6717)]"
2023/08/10 19:06:37,169,인천광역시 강화군,202997,"태풍이 북상중입니다. 불필요한 외출은 자제하시고, 실내에 머물러 주시기바랍니다. 강풍대비 비닐하우스·간판·창문은 미리 고정하고 화분등은 실내로 옮겨주세요",cbs,강화군,,,"[('주시기바랍니다 강풍대비', 0.6272)]"
2023/08/10 14:11:01,169,인천광역시 강화군,202836,"태풍이 북상중입니다. 불필요한 외출은 자제하시고, 실내에 머물러 주시기바랍니다. 강풍대비 비닐하우스·간판·창문은 미리 고정하고 화분등은 실내로 옮겨주세요",cbs,강화군,,,"[('주시기바랍니다 강풍대비', 0.6272)]"
2023/08/10 11:08:29,169,인천광역시 강화군,202662,"태풍이 북상중입니다. 불필요한 외출은 자제하시고, 실내에 머물러 주시기바랍니다. 강풍대비 비닐하우스·간판·창문은 미리 고정하고 화분등은 실내로 옮겨주세요",cbs,강화군,,,"[('주시기바랍니다 강풍대비', 0.6272)]"
2023/08/10 07:18:21,169,인천광역시 강화군,202367,"강화군 9시 태풍주의보 발효. 하천변 산책로, 농수로 등 위험지역은 접근하지 마시고, 침수. 산사태 위험지역에서는 위험 징후 시 즉시 대피하세요.",cbs,강화군,,,"[('하천변 산책로 농수로', 0.5912)]"
2023/03/26 18:26:23,169,인천광역시 강화군,193838,"오늘 14시 44분경 강화군 화도면 동막리 산92 산불 발생. 마니산 입산 금지. 등산객 및 인근 주민, 캠핑객 등은 안전한 곳으로 대피하시기 바랍니다.",cbs,강화군,,,"[('안전한 곳으로 대피하시기', 0.5892)]"
2023/03/26 17:11:36,169,인천광역시 강화군,193836,오늘 14시 44분경 강화군 화도면 동막리 산92 산불 발생. 마니산 입산 금지. 등산객 및 인근 주민은 안전한 곳으로 즉시 대피하시기 바랍니다.,cbs,강화군,,,"[('강화군 화도면 동막리', 0.6381)]"
2023/03/26 16:26:36,169,인천광역시 강화군,193831,오늘 14시44분 인천광역시 강화군 화도면 흥왕리 68-1 마니산 산불 발생. 입산을 자제하고 인근 주민과 등산객은 안전사고 발생에 주의하시기 바랍니다.,cbs,강화군,,,"[('인천광역시 강화군 화도면 흥왕리', 0.5833)]"
2023/03/26 15:58:09,169,인천광역시 강화군,193829,오늘 14시 44분 인천광역시 강화군 화도면 마니산 산불 발생. 입산을 자제하고 인근 주민과 등산객은 안전사고 발생에 주의하시기 바랍니다,cbs,강화군,,,"[('인천광역시 강화군', 0.635)]"
2023/03/26 15:53:53,169,인천광역시 강화군,193828,오늘 14시 44분 산불발생으로 차량은 이 지역을 우회하여 주시고 인근 주민 및 등산객은 안전사고 발생에 유의 바랍니다.,cbs,강화군,,,"[('우회하여 주시고 인근 주민', 0.6516)]"
2020/11/20 16:51:45,169,인천광역시 강화군,66115,"코로나19가 확산되어, 강화군이 운영하는 공공실내시설을(문화시설, 체육시설, 복지시설) 11월 21일 00시부터 전면 폐쇄하오니, 참고하시기 바랍니다.",cbs,강화군,"문화시설, 체육시설, 복지시설",,"[('21일 00시부터', 0.5161)]"
