create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2023/08/30 08:31:47,55,경상남도 거창군,204618,"호우주의보 발효중, 하천변 산책로, 계곡, 농수로 등 위험지역은 접근하지 마시고, 특히 재해에 취약한 분은 외출을 자제 바랍니다.",cbs,거창군,,,"[('마시고 특히 재해에 취약한', 0.7398)]"
2023/08/21 10:16:45,55,경상남도 거창군,203862,"폭염주의보 발효 중, 야외활동 자제(논밭, 공사장 등), 충분한 물마시기, 양산 이용 등 건강에 유의 바랍니다.",cbs,거창군,"논밭, 공사장 등",,"[('이용 건강에', 0.7367)]"
2023/08/20 09:43:51,55,경상남도 거창군,203741,"폭염주의보 발효중(8.20.09시), 야외활동(논, 밭, 공사장 등) 자제, 무더위 쉼터 등 시원한 장소 적극 이용, 안전수칙 준수(물, 그늘, 휴식)",cbs,거창군,8.20.09시,,"[('안전수칙 준수 그늘 휴식', 0.7169)]"
2023/08/14 07:57:07,55,경상남도 거창군,203187,금일 07:30분경 고령군 덕곡면 야로 덕곡로 483-157 암사자 탈출 발생 인근 주민 등은 안전관리에 유의바라며 발견시 119에 신고 바랍니다,cbs,거창군,,,"[('157 암사자 탈출 발생', 0.6568)]"
2023/08/10 14:13:53,55,경상남도 거창군,202839,"금일 14:00부터 지방도 1099호선 (남하면 오가-지산) 구간 도로 통제를 해제하여 정상 통행 가능하오니, 빗길 안전운행하시기 바랍니다.",cbs,거창군,남하면 오가-지산,,"[('00부터 지방도 1099호선', 0.6172)]"
2023/08/10 09:19:27,55,경상남도 거창군,202517,"태풍 경보중, 많은 비로 하천 범람과 강풍 피해가 우려되니, 외부활동을 자제하고 태풍이 지날때까지 마을회관 등 안전한 장소에서 머물러 주시기 바랍니다.",cbs,거창군,,,"[('범람과 강풍', 0.727)]"
2023/08/10 08:37:58,55,경상남도 거창군,202467,"태풍 카눈 북상, 태풍경보 발효중, 가급적 외출자제, 급경사지, 하천변, 세월교 주변 등 위험지역 출입자제, TV, 인터넷 등 기상상황 확인바랍니다.",cbs,거창군,,,"[('급경사지 하천변', 0.5852)]"
2023/08/09 17:10:28,55,경상남도 거창군,202109,태풍 카눈 북상으로 사면붕괴위험에 따라 금일 22시부터 지방도 1099호선(남하면 오가-지산) 구간을 통제하오니 우회도로 이용바랍니다.,cbs,거창군,남하면 오가-지산,,"[('카눈 북상으로 사면붕괴위험에', 0.5729)]"
2023/08/09 16:22:50,55,경상남도 거창군,202076,"태풍 카눈 북상으로 많은 비가 예상됩니다. 하천변 산책로, 계곡, 농수로 등 위험지역은 접근하지 마시고, 특히 재해에 취약한 분은 외출을 자제바랍니다.",cbs,거창군,,,"[('위험지역은 접근하지 마시고', 0.7245)]"
2023/08/08 13:38:42,55,경상남도 거창군,201740,"폭염경보 발효중, 낮시간 논밭, 실외작업 등 야외 활동자제, 폭염 안전수칙((물섭취, 그늘휴식) 준수 등 건강에 유의바랍니다.",cbs,거창군,"(물섭취, 그늘휴식",,"[('물섭취 그늘휴식 준수', 0.669)]"
2023/08/07 11:36:36,55,경상남도 거창군,201560,"폭염경보 발효중, 낮시간 야외활동 자제와 충분한 물마시기 등 건강에 유의바랍니다.",cbs,거창군,,,"[('야외활동 자제와', 0.42)]"
2023/08/06 10:10:42,55,경상남도 거창군,201356,"폭염경보 발효중. 낮 시간 논밭, 실외작업 등 야외 활동자제, 폭염 안전수칙(물섭취, 그늘휴식) 준수 등 건강에 유의바랍니다.",cbs,거창군,"물섭취, 그늘휴식",,"[('활동자제 폭염', 0.6759)]"
2023/08/05 10:03:37,55,경상남도 거창군,201162,"폭염경보 발효중, 낮시간 야외활동(논, 밭, 공사 등)을 자제하시고, 무더위쉼터 이용, 모자, 양산 사용 등 건강관리에 유의 바랍니다.",cbs,거창군,"논, 밭, 공사 등",,"[('무더위쉼터 이용', 0.7236)]"
2023/08/04 11:07:09,55,경상남도 거창군,201030,"폭염경보 발효중, 온열 질환 인명피해 우려, 폭염 안전 수칙(물,그늘,휴식) 준수, 1인 야외 작업 매우 위험, 인근 무더위 쉼터 적극 이용바랍니다.",cbs,거창군,"물,그늘,휴식",,"[('야외 작업 매우', 0.6761)]"
2023/08/03 11:03:15,55,경상남도 거창군,200873,"폭염경보 발효중. 야외활동(논,밭,공사장 등)자제, 안전수칙 준수(물, 그늘, 휴식), 노약자 및 취약자 안부 확인, 무더위 쉼터 적극 이용바랍니다.",cbs,거창군,"논,밭,공사장 등",,"[('준수 그늘 휴식 노약자', 0.6251)]"
2023/08/02 10:05:29,55,경상남도 거창군,200709,"폭염경보 발효중. 야외활동 자제, 충분한 물 마시기와 휴식으로 건강에 유의바랍니다.",cbs,거창군,,,"[('발효중 야외활동', 0.6262)]"
2023/08/01 10:13:40,55,경상남도 거창군,200569,"폭염경보 발효중. 낮 시간 논·밭, 공사장 등 야외 활동자제, 충분한 물 섭취, 모자나 양산 사용, 그늘 휴식 등 건강에 유의바랍니다.",cbs,거창군,,,"[('활동자제 충분한 섭취', 0.6499)]"
2023/07/31 13:14:34,55,경상남도 거창군,200481,"폭염주의보 발효중, 물 충분히 마시기, 무더위 쉼터 이용, 실외작업장 폭염안전수칙(물, 그늘, 휴식) 지키기 등 안전에 유의 바랍니다.",cbs,거창군,"물, 그늘, 휴식",,"[('그늘 휴식 지키기 안전에', 0.6752)]"
2023/07/30 10:02:38,55,경상남도 거창군,200243,"폭염주의보 발효중. 물 충분히 마시기, 무더위 쉼터 이용, 실외 작업장 폭염 안전수칙(물, 그늘, 휴식)지키기 등 안전에 유의바랍니다.",cbs,거창군,"물, 그늘, 휴식",,"[('이용 실외 작업장', 0.6761)]"
2023/07/29 10:00:36,55,경상남도 거창군,200114,"폭염주의보 발효중, 물 충분히 마시기, 무더위 쉼터 이용, 실외 작업장 폭염 안전수칙(물, 그늘, 휴식) 준수 등 건강에 유의 바랍니다.",cbs,거창군,"물, 그늘, 휴식",,"[('준수 건강에 유의', 0.6597)]"
2023/07/27 11:07:22,55,경상남도 거창군,199946,"폭염주의보 발효중, 낮시간 야외활동(논, 밭, 공사 등)을 자제하시고, 충분한 수분섭취와 무더위 쉼터이용, 모자, 양산사용 등 건강관리에 유의바랍니다.",cbs,거창군,"논, 밭, 공사 등",,"[('공사 자제하시고 충분한', 0.6897)]"
2023/07/26 17:44:18,55,경상남도 거창군,199882,"거창 호우/강풍주의보 발효중(17:20) 하천가 산책로, 산사태 우려지역, 야영장 물놀이 지역 등 사고 위험지역 접근금지바랍니다.",cbs,거창군,17:20,,"[('사고 위험지역 접근금지바랍니다', 0.6738)]"
2023/07/26 13:13:12,55,경상남도 거창군,199834,"폭염주의보 발효 중. 낮시간 야외활동을 자제하시고, 충분한 수분 섭취와 모자·양산 사용하기, 온열질환예방 등 건강에 유의바랍니다.",cbs,거창군,,,"[('충분한 수분 섭취와', 0.7194)]"
2023/07/18 10:31:52,55,경상남도 거창군,198594,"호우경보에 따른 집중호우가내리고있습니다. 산사태위험지역, 취약지, 논배수로 등 외출자제, 위험 징후시 안전지대로 대피하여 군청, 읍면사무소로연락바랍니다.",cbs,거창군,,,"[('취약지 논배수로 외출자제', 0.663)]"
2023/07/17 20:45:46,55,경상남도 거창군,198492,"현재 호우경보 발효중으로 밤사이 많은 비 예상, 외출 및 위험지역 출입자제, 위험 징후 시 군청, 읍면사무소로 신고 후 즉시 안전한 곳으로 대피바랍니다.",cbs,거창군,,,"[('현재 호우경보', 0.7335)]"
2023/07/16 09:41:12,55,경상남도 거창군,198183,"호우경보 발효중, 하천변 산책로, 비탈면, 농수로, 산사태 우려지역 등 접근금지, 주민들은 외출을 자제하여 주시기 바랍니다.",cbs,거창군,,,"[('접근금지 주민들은', 0.7345)]"
2023/07/15 20:42:25,55,경상남도 거창군,198067,"오늘 거창군 전지역 호우경보. 산사태, 비탈면 등 위험지역 주민들은 안전한 친인척 집이나 마을회관으로 대피하여 주시기 바랍니다.",cbs,거창군,,,"[('마을회관으로 대피하여 주시기', 0.695)]"
2023/07/15 18:09:11,55,경상남도 거창군,197981,"호우주의보 발효중으로 산사태위험지역, 하천변 산책로, 계곡 등 위험지역 접근금지 및 위험지역인 경우 가까운 마을회관 등 안전한 곳으로 대피 바랍니다.",cbs,거창군,,,"[('마을회관 안전한 곳으로', 0.6607)]"
2023/07/14 19:43:32,55,경상남도 거창군,197553,"호우주의보발효(19시10분)중입니다. 하천산책로, 등산로, 비탈면, 농수로 등 위험지역 접근금지, 사전대피 등 안전에 유의하시기 바랍니다.",cbs,거창군,19시10분,,"[('농수로 위험지역 접근금지 사전대피', 0.6173)]"
2023/07/14 07:10:18,55,경상남도 거창군,197282,"우리지역 호우주의보 발효중입니다. 하천 산책로, 등산로 등 위험지역 접근을 자제하시고 기상상황을 예의주시, 안전에 유의 하시기 바랍니다.",cbs,거창군,,,"[('예의주시 안전에 유의', 0.5987)]"
2023/07/11 11:52:31,55,경상남도 거창군,196779,"금일 많은 비(50~100mm)가 예상되오니 야영장, 하천변, 둔치주차장 등 위험지역 출입 금지 및 노약자 외출자제 등 안전에 유의하시기 바랍니다.",cbs,거창군,50~100mm,,"[('노약자 외출자제 안전에 유의하시기', 0.4471)]"
2023/07/07 15:54:58,55,경상남도 거창군,196572,"우리지역 호우주의보 발효중입니다. 하천변, 급경사지, 논 물꼬 관리 등 위험지역 접근을 자제하시고 기상상황을 예의주시, 안전에 유의하시기 바랍니다.",cbs,거창군,,,"[('급경사지 물꼬 관리', 0.6579)]"
2023/04/03 15:18:48,55,경상남도 거창군,194094,"건조한 날씨로 산불발생 위험이 높습니다. 산연접지 소각금지, 쓰레기 불법소각 금지, 화목보일러 사용주의 등 산불예방에 협조 바랍니다.",cbs,거창군,,,"[('쓰레기 불법소각', 0.5184)]"
2023/04/01 10:49:22,55,경상남도 거창군,193980,"건조한 날씨로 산불발생 위험이 높습니다. 산연접지 소각금지, 쓰레기 불법소각 금지, 화목보일러 사용주의 등 산불예방에 협조 바랍니다.",cbs,거창군,,,"[('쓰레기 불법소각', 0.5184)]"
