create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2023/11/24 09:57:13,"8418,8436,8446","경기도 성남시 수정구,경기도 성남시 중원구,경기도 성남시 분당구",206969,"성남시에서 실종된 박점순씨(여, 82세)를 찾습니다 -156cm,남색잠바,몸베바지,흰색수건및마스크,회색운동화 vo.la/OpDWc / ☎182",cbs,경기남부경찰청,"여, 82세",82세,"[('남색잠바 몸베바지 흰색수건및마스크 회색운동화', 0.481)]"
2023/11/22 16:01:39,"8418,8436,8446","경기도 성남시 수정구,경기도 성남시 중원구,경기도 성남시 분당구",206911,"성남시에서 실종된 김금순씨(여,65세)를 찾습니다-147cm,63kg,통통한체형,남색점퍼,검정바지,검정신발 vo.la/UEfJr / ☎182",cbs,경기남부경찰청,"여,65세",65세,"[('통통한체형 남색점퍼 검정바지', 0.4496)]"
2023/11/22 11:10:38,35,경기도 시흥시,206910,"시흥시에서 실종된 이달상씨(남,72세)를 찾습니다-178cm,65kg,검정점퍼,검정바지,왼발절뚝임 vo.la/MQHMM / ☎182",cbs,경기남부경찰청,"남,72세",72세,"[('검정점퍼 검정바지 왼발절뚝임', 0.4559)]"
2023/11/21 13:50:21,"8478,8482","경기도 안양시 만안구,경기도 안양시 동안구",206895,"안양시에서 실종된 신재현씨(남, 44세)를 찾습니다- 176cm, 70kg, 어두운색후드잠바,삼선추리닝바지 vo.la/GhdHC / ☎182",cbs,경기남부경찰청,"남, 44세",44세,"[('삼선추리닝바지 vo la', 0.509)]"
2023/11/20 15:05:53,49,경기도 평택시,206883,"평택시에서 실종된 진정옥씨(여,75세)를 찾습니다 -150cm,45kg,검정점퍼,검정바지,흰색운동화 vo.la/KEUif/ ☎182",cbs,경기남부경찰청,"여,75세",75세,"[('45kg 검정점퍼', 0.4952)]"
2023/11/20 12:47:06,"8478,8482","경기도 안양시 만안구,경기도 안양시 동안구",206880,"안양시에서 목격된 최계춘씨(남, 84세)를 찾습니다 -170cm, 회색베레모, 쥐색티셔츠, 쥐색바지, 지팡이 vo.la/hujgm / ☎182",cbs,경기남부경찰청,"남, 84세",84세,"[('목격된 최계춘씨 84세 찾습니다', 0.4244)]"
2023/11/18 16:49:06,"9176,9194,9213","경기도 용인시 처인구,경기도 용인시 기흥구,경기도 용인시 수지구",206862,"용인시에서 배회중인 오지은씨(여,50세)를 찾습니다-160cm,긴머리(허리),선글라스,검정상의,검정바지,가방 vo.la/gNdme / ☎182",cbs,경기남부경찰청,"여,50세",50세,"[('긴머리 허리 선글라스 검정상의', 0.4552)]"
2023/11/18 11:33:47,"8418,8436,8446","경기도 성남시 수정구,경기도 성남시 중원구,경기도 성남시 분당구",206856,"성남시에서 실종된 오중웅씨(남, 85세)를 찾습니다-170cm,60kg,검정상하의,체크모자,녹색크로스백,지팡이 vo.la/jJzjD / ☎182",cbs,경기남부경찰청,"남, 85세",85세,"[('검정상하의 체크모자', 0.5388)]"
2023/11/13 10:14:11,32,경기도 부천시,206702,"부천시에서 실종된 박재명씨(남,69세)를 찾습니다-172cm,56kg,어두운색상하의,모자,왼발에깁스 vo.la/fPnsB / ☎182",cbs,경기남부경찰청,"남,69세",69세,"[('찾습니다 172cm', 0.4767)]"
2023/11/10 15:22:00,"8487,8503","경기도 안산시 상록구,경기도 안산시 단원구",206655,"안산시에서 배회중인 임숙희씨(여,85세)를 찾습니다-150cm,50kg,녹색점퍼,검정신발,벙거지모자,검정가방 vo.la/50KrR / ☎182",cbs,경기남부경찰청,"여,85세",85세,"[('벙거지모자 검정가방 vo la', 0.4869)]"
