create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2023/11/20 18:10:57,"10188,10214,10256,10751,10761","경상남도 창원시 의창구,경상남도 창원시 성산구,경상남도 창원시 마산합포구,경상남도 창원시 마산회원구,경상남도 창원시 진해구",206887,"창원시에서 실종된 강수민씨(여,27세)를 찾습니다 -155cm,55kg,남색코트,검정바지,K2검정운동화 vo.la/akeQh / ☎182",cbs,경남경찰청,"여,27세",27세,"[('27세 찾습니다 155cm 55kg', 0.542)]"
2023/11/19 17:36:21,65,경상남도 진주시,206875,"진주시에서 실종된 이만석씨(남,97세)를 찾습니다 -163cm, 51kg, 짧은백발머리, 검정조끼, 검정바지 vo.la/wqXxd / ☎182",cbs,경남경찰청,"남,97세",97세,"[('검정조끼 검정바지 vo', 0.4899)]"
2023/11/18 15:48:36,"10188,10214,10256,10751,10761","경상남도 창원시 의창구,경상남도 창원시 성산구,경상남도 창원시 마산합포구,경상남도 창원시 마산회원구,경상남도 창원시 진해구",206861,"창원시에서 실종된 강진희씨(여, 48세)를 찾습니다 -145cm, 흰색(후리스)상의,검정바지,검정운동화,회색가방 vo.la/gMJLD / ☎182",cbs,경남경찰청,"여, 48세",48세,"[('상의 검정바지 검정운동화', 0.487)]"
2023/11/17 20:02:00,57,경상남도 김해시,206797,"김해시에서 실종된 김광수씨(남,74세)를 찾습니다 -165cm,60kg,남색점퍼,회색바지,검정털신,지팡이 vo.la/hpigG / ☎182",cbs,경남경찰청,"남,74세",74세,"[('60kg 남색점퍼 회색바지', 0.4638)]"
2023/11/15 10:19:06,57,경상남도 김해시,206729,"김해시에서 실종된 이미자씨(여, 78세)를 찾습니다 -157cm, 보라색잠바, 군복무늬바지, 흰슬리퍼, 지팡이 vo.la/Svfyt / ☎182",cbs,경남경찰청,"여, 78세",78세,"[('흰슬리퍼 지팡이', 0.5118)]"
2023/11/08 08:34:20,"10188,10214,10256,10751,10761","경상남도 창원시 의창구,경상남도 창원시 성산구,경상남도 창원시 마산합포구,경상남도 창원시 마산회원구,경상남도 창원시 진해구",206616,"창원시에서 실종된 박금안씨(여,56세)를 찾습니다 -162cm,66kg,베이지색코트,검정바지,흰색신발 vo.la/gSKr3 / ☎182",cbs,경남경찰청,"여,56세",56세,"[('창원시에서 실종된', 0.4756)]"
2023/11/07 13:20:27,"10188,10214,10256,10751,10761","경상남도 창원시 의창구,경상남도 창원시 성산구,경상남도 창원시 마산합포구,경상남도 창원시 마산회원구,경상남도 창원시 진해구",206608,"창원시에서 실종된 황만규씨(남,75세)를 찾습니다 - 160cm, 65kg, 백발, 남색파카, 남색바지 vo.la/6AJAL / ☎182",cbs,경남경찰청,"남,75세",75세,"[('160cm 65kg', 0.5269)]"
2023/11/05 20:21:14,54,경상남도 거제시,206475,"거제시에서 실종된 최애순씨(여, 85세)를 찾습니다 -147cm,42kg,청색자켓,아쿠아슈즈,노란꽃무늬지팡이 vo.la/YuwWa / ☎182",cbs,경남경찰청,"여, 85세",85세,"[('거제시에서 실종된', 0.5055)]"
2023/10/29 09:50:48,72,경상남도 함양군,206345,"경찰은 함양군에서 실종된 허분선씨(여, 74세)를 찾습니다- 158cm, 62kg, 빨간색긴팔상의 vo.la/vtvB7 / ☎182",cbs,경남경찰청,"여, 74세",74세,"[('74세 찾습니다', 0.4566)]"
2023/10/26 20:00:50,63,경상남도 양산시,206291,"양산시에서 실종된 조명희씨(여, 72세)를 찾습니다- 158cm, 48kg, 파랑점퍼,검정바지,검정운동화,마름 vo.la/gpGeU / ☎182",cbs,경남경찰청,"여, 72세",72세,"[('파랑점퍼 검정바지', 0.4422)]"
