create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2022/09/06 07:41:33,"92,97","경상북도 울진군,경상북도 포항시",171649,"집중호우로 포항, 울진 일부 지역 정전이 발생하여 긴급 복구 작업 중에 있으니 정전피해 대비를 하여주시고, 전기시설물 접근에 주의하여 주시기 바랍니다.",cbs,경북,,,"[('울진 일부 지역 정전이', 0.657)]"
2022/09/02 10:00:02,74,경상북도 전체,170456,(군위33의성74청송20영양15영덕53청도90고령60성주60칠곡181예천93봉화30울진51울릉6)행동요령참조https://c11.kr/wpv5,cbs,경북,군위33의성74청송20영양15영덕53청도90고령60성주60칠곡181예천93봉화30울진51울릉6,,"[('c11 kr', 0.4061)]"
2022/09/02 09:59:50,74,경상북도 전체,170453,"9/2 0시기준 신규확진자 4,703명(포항885,경주394,김천258,안동326,구미871,영주169,영천201,상주143,문경101,경산589)",cbs,경북,"포항885,경주394,김천258,안동326,구미871,영주169,영천201,상주143,문경101,경산589",,"[('포항885 경주394 김천258 안동326', 0.4468)]"
2022/09/01 09:58:54,74,경상북도 전체,170311,(군위30의성70청송25영양16영덕58청도71고령55성주73칠곡251예천95봉화35울진49울릉7)행동요령참조https://c11.kr/wpv5,cbs,경북,군위30의성70청송25영양16영덕58청도71고령55성주73칠곡251예천95봉화35울진49울릉7,,"[('c11 kr', 0.4061)]"
2022/09/01 09:58:37,74,경상북도 전체,170310,"9/1 0시기준 신규확진자 4,782명(포항974,경주378,김천269,안동293,구미893,영주138,영천165,상주147,문경110,경산580)",cbs,경북,"포항974,경주378,김천269,안동293,구미893,영주138,영천165,상주147,문경110,경산580",,"[('안동293 구미893', 0.4527)]"
2022/08/31 09:55:26,74,경상북도 전체,170179,(군위42의성74청송34영양16영덕85청도89고령89성주111칠곡347예천140봉화57울진101울릉17)행동요령참조https://c11.kr/wpv5,cbs,경북,군위42의성74청송34영양16영덕85청도89고령89성주111칠곡347예천140봉화57울진101울릉17,,"[('c11 kr', 0.4061)]"
2022/08/31 09:55:13,74,경상북도 전체,170178,"8/31 0시기준 신규확진자 6,855명(포항1332,경주562,김천391,안동323,구미1410,영주260,영천240,상주193,문경138,경산804)",cbs,경북,"포항1332,경주562,김천391,안동323,구미1410,영주260,영천240,상주193,문경138,경산804",,"[('영주260 영천240 상주193 문경138', 0.4844)]"
2022/08/30 09:59:51,74,경상북도 전체,170052,(군위36의성75청송17영양12영덕20청도71고령28성주62칠곡317예천117봉화47울진45울릉0)행동요령참조https://c11.kr/wpv5,cbs,경북,군위36의성75청송17영양12영덕20청도71고령28성주62칠곡317예천117봉화47울진45울릉0,,"[('c11 kr', 0.4061)]"
2022/08/30 09:59:39,74,경상북도 전체,170050,"8/30 0시기준 신규확진자 4,940명(포항1283,경주206,김천304,안동376,구미566,영주92,영천195,상주159,문경159,경산753)",cbs,경북,"포항1283,경주206,김천304,안동376,구미566,영주92,영천195,상주159,문경159,경산753",,"[('신규확진자 940명 포항1283 경주206', 0.4324)]"
2022/08/29 09:58:14,74,경상북도 전체,169917,(군위12의성62청송31영양13영덕40청도33고령37성주22칠곡177예천30봉화27울진59울릉1)행동요령참조https://c11.kr/wpv5,cbs,경북,군위12의성62청송31영양13영덕40청도33고령37성주22칠곡177예천30봉화27울진59울릉1,,"[('c11 kr', 0.4061)]"
2022/08/29 09:57:58,74,경상북도 전체,169916,"8/29 0시기준 신규확진자 2,761명(포항415,경주324,김천99,안동106,구미667,영주155,영천102,상주59,문경60,경산230)",cbs,경북,"포항415,경주324,김천99,안동106,구미667,영주155,영천102,상주59,문경60,경산230",,"[('신규확진자 761명', 0.5264)]"
2022/08/28 09:58:16,74,경상북도 전체,169784,(군위29의성84청송15영양15영덕70청도83고령74성주72칠곡227예천93봉화46울진87울릉9)행동요령참조https://c11.kr/wpv5,cbs,경북,군위29의성84청송15영양15영덕70청도83고령74성주72칠곡227예천93봉화46울진87울릉9,,"[('c11 kr', 0.4061)]"
2022/08/28 09:58:00,74,경상북도 전체,169783,"8/28 0시기준 신규확진자 5,212명(포항1065,경주414,김천320,안동306,구미940,영주186,영천201,상주129,문경130,경산617)",cbs,경북,"포항1065,경주414,김천320,안동306,구미940,영주186,영천201,상주129,문경130,경산617",,"[('212명 포항1065', 0.4505)]"
2022/08/27 10:10:25,74,경상북도 전체,169676,(군위35의성76청송33영양24영덕60청도85고령44성주81칠곡293예천116봉화38울진75울릉12)행동요령참조https://c11.kr/wpv5,cbs,경북,군위35의성76청송33영양24영덕60청도85고령44성주81칠곡293예천116봉화38울진75울릉12,,"[('c11 kr', 0.4061)]"
2022/08/27 10:09:43,74,경상북도 전체,169675,"8/27 0시기준 신규확진자 5,371명(포항1085,경주459,김천320,안동317,구미967,영주167,영천180,상주157,문경112,경산635)",cbs,경북,"포항1085,경주459,김천320,안동317,구미967,영주167,영천180,상주157,문경112,경산635",,"[('상주157 문경112 경산635', 0.536)]"
2022/08/26 09:21:15,74,경상북도 전체,169518,(군위41의성87청송51영양19영덕68청도73고령86성주64칠곡274예천129봉화48울진96울릉8)행동요령참조https://c11.kr/wpv5.,cbs,경북,군위41의성87청송51영양19영덕68청도73고령86성주64칠곡274예천129봉화48울진96울릉8,,"[('c11 kr', 0.3923)]"
2022/08/26 09:21:02,74,경상북도 전체,169517,"8/26 0시기준 신규확진자 5,670명(포항983,경주469,김천317,안동301,구미1163,영주195,영천216,상주139,문경161,경산682)",cbs,경북,"포항983,경주469,김천317,안동301,구미1163,영주195,영천216,상주139,문경161,경산682",,"[('영주195 영천216', 0.5881)]"
2022/08/25 09:56:23,74,경상북도 전체,169405,(군위34의성93청송51영양32영덕59청도90고령70성주81칠곡300예천125봉화47울진104울릉16)행동요령참조https://c11.kr/wpv5,cbs,경북,군위34의성93청송51영양32영덕59청도90고령70성주81칠곡300예천125봉화47울진104울릉16,,"[('c11 kr', 0.4061)]"
2022/08/25 09:56:10,74,경상북도 전체,169404,"8/25 0시기준 신규확진자 6,422명(포항1332,경주535,김천379,안동347,구미1324,영주180,영천219,상주175,문경142,경산687)",cbs,경북,"포항1332,경주535,김천379,안동347,구미1324,영주180,영천219,상주175,문경142,경산687",,"[('경주535 김천379 안동347', 0.5304)]"
2022/08/24 09:56:40,74,경상북도 전체,169281,(군위46의성110청송66영양17영덕120청도91고령71성주138칠곡423예천209봉화58울진167울릉29)행동요령참조https://c11.kr/wpv5,cbs,경북,군위46의성110청송66영양17영덕120청도91고령71성주138칠곡423예천209봉화58울진167울릉29,,"[('c11 kr', 0.4061)]"
2022/08/24 09:56:28,74,경상북도 전체,169280,"8/24 0시기준 신규확진자 9,073명(포항1729,경주735,김천498,안동416,구미2064,영주310,영천312,상주251,문경180,경산1033)",cbs,경북,"포항1729,경주735,김천498,안동416,구미2064,영주310,영천312,상주251,문경180,경산1033",,"[('신규확진자 073명', 0.4692)]"
2022/08/23 10:04:11,74,경상북도 전체,169164,(군위48의성83청송47영양28영덕34청도99고령55성주90칠곡411예천130봉화68울진57울릉3)행동요령참조https://c11.kr/wpv5,cbs,경북,군위48의성83청송47영양28영덕34청도99고령55성주90칠곡411예천130봉화68울진57울릉3,,"[('c11 kr', 0.4061)]"
2022/08/23 10:03:59,74,경상북도 전체,169163,"8/23 0시기준 신규확진자 6,419명(포항1571,경주254,김천475,안동461,구미905,영주115,영천249,상주240,문경206,경산790)",cbs,경북,"포항1571,경주254,김천475,안동461,구미905,영주115,영천249,상주240,문경206,경산790",,"[('김천475 안동461 구미905 영주115', 0.5872)]"
2022/08/22 09:39:00,74,경상북도 전체,169013,(군위17의성77청송40영양14영덕49청도58고령27성주44칠곡230예천56봉화15울진75울릉7)행동요령참조https://c11.kr/wpv5,cbs,경북,군위17의성77청송40영양14영덕49청도58고령27성주44칠곡230예천56봉화15울진75울릉7,,"[('c11 kr', 0.4061)]"
2022/08/22 09:38:35,74,경상북도 전체,169011,"8/22 0시기준 신규확진자 3,772명(포항579,경주418,김천152,안동136,구미999,영주182,영천139,상주107,문경98,경산253)",cbs,경북,"포항579,경주418,김천152,안동136,구미999,영주182,영천139,상주107,문경98,경산253",,"[('경주418 김천152 안동136 구미999', 0.5035)]"
2022/08/21 09:53:53,74,경상북도 전체,168889,(군위33의성111청송50영양25영덕73청도94고령99성주97칠곡317예천93봉화62울진106울릉18)행동요령참조https://c11.kr/wpv5,cbs,경북,군위33의성111청송50영양25영덕73청도94고령99성주97칠곡317예천93봉화62울진106울릉18,,"[('c11 kr', 0.4061)]"
2022/08/21 09:53:37,74,경상북도 전체,168888,"8/21 0시기준 신규확진자 6,939명(포항1491,경주548,김천495,안동353,구미1178,영주231,영천248,상주187,문경177,경산853)",cbs,경북,"포항1491,경주548,김천495,안동353,구미1178,영주231,영천248,상주187,문경177,경산853",,"[('신규확진자 939명 포항1491', 0.5506)]"
