create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2023/06/29 23:24:32,"82,88","경상북도 봉화군,경상북도 영주시",196197,"일부 도로에 침수가 발생되고 있으므로, 외출 자제 및 지하 공간 출입을 삼가 바랍니다.",cbs,경북도청,,,"[('자제 지하 공간', 0.6555)]"
2023/06/11 13:38:44,74,경상북도 전체,195518,"오늘 밤까지 강한 돌풍을 동반한 소나기, 낙뢰가 예상됩니다. 일부 지역에서는 우박 가능성도 있습니다. 안전관리에 유의하시기 바랍니다.",cbs,경북도청,,,"[('지역에서는 우박 가능성도', 0.6366)]"
2022/09/19 08:15:31,"76,86,91,92,97","경상북도 경주시,경상북도 영덕군,경상북도 울릉군,경상북도 울진군,경상북도 포항시",173570,태풍이 북상중입니다. 외출 및 위험지역 출입을 자제하시고 태풍이 완전히 빠져나갈 때까지 안전한 장소에 머물러 주시기 바랍니다.,cbs,경북도청,,,"[('안전한 장소에 머물러', 0.6068)]"
2022/09/18 20:15:08,74,경상북도 전체,173518,태풍 북상으로 오늘 밤부터 영향이 있겠습니다. 폭우 시 야외활동과 차량 운행을 자제하고 건물 지하층 출입을 삼가바랍니다.,cbs,경북도청,,,"[('오늘 밤부터 영향이', 0.6238)]"
2022/09/04 18:55:54,74,경상북도 전체,170945,"태풍이 북상함에 따라 5일 밤부터 영향을 미칠 것으로 예상되오니, 강풍·폭우에 미리 대비하여 주시고, 수시로 기상정보 확인 바랍니다.",cbs,경북도청,,,"[('수시로 기상정보 확인 바랍니다', 0.6209)]"
2022/03/02 10:01:19,74,경상북도 전체,145410,"3/2 0시기준 코로나19 신규확진자 (군위50의성116청송50영양32영덕94청도110고령117성주64,칠곡292,예천155,봉화33,울진57,울릉8)",cbs,경북도청,"군위50의성116청송50영양32영덕94청도110고령117성주64,칠곡292,예천155,봉화33,울진57,울릉8",,"[('코로나19 신규확진자 군위50의성116청송50영양32영덕94청도110고령117성주64', 0.3353)]"
2022/03/02 10:01:04,74,경상북도 전체,145409,"3/2 0시기준 코로나19 신규확진자 6969명(포항1423,경주556,김천374,안동326,구미1277영주408영천208상주139문경155경산925)",cbs,경북도청,"포항1423,경주556,김천374,안동326,구미1277영주408영천208상주139문경155경산925",,"[('0시기준 코로나19', 0.2066)]"
2022/02/27 09:59:34,74,경상북도 전체,144937,"2/27 0시 기준 코로나19 신규확진자 (군위23의성70청송32영양31영덕55청도63,고령62성주60칠곡169,예천122,봉화39,울진67,울릉5)",cbs,경북도청,"군위23의성70청송32영양31영덕55청도63,고령62성주60칠곡169,예천122,봉화39,울진67,울릉5",,"[('예천122 봉화39', 0.3588)]"
2022/02/27 09:59:18,74,경상북도 전체,144936,"2/27 0시 기준 코로나19 신규확진자 5,383명(포항992경주537김천282안동312구미963영주341영천205상주134,문경127,경산692)",cbs,경북도청,"포항992경주537김천282안동312구미963영주341영천205상주134,문경127,경산692",,"[('코로나19 신규확진자', 0.1748)]"
2022/02/24 10:02:17,74,경상북도 전체,144492,"2/24 0시기준 코로나19 신규확진자 (군위31,의성62청송29,영양11영덕40,청도67,고령71,성주60칠곡172,예천102봉화31,울진56울릉7)",cbs,경북도청,"군위31,의성62청송29,영양11영덕40,청도67,고령71,성주60칠곡172,예천102봉화31,울진56울릉7",,"[('0시기준 코로나19 신규확진자', 0.4255)]"
2022/02/24 10:01:58,74,경상북도 전체,144491,"2/24 0시기준 코로나19 신규확진자5,204명(포항815경주507,김천295안동321구미1066영주293,영천245,상주122,문경163경산638)",cbs,경북도청,"포항815경주507,김천295안동321구미1066영주293,영천245,상주122,문경163경산638",,"[('상주122 문경163경산638', 0.4813)]"
2022/02/21 09:59:41,74,경상북도 전체,144020,"2/21 0시기준 코로나19 신규확진자 (군위34,의성23,청송13,영양5,영덕19,청도37고령62,성주19,칠곡127예천50,봉화24,울진49울릉7)",cbs,경북도청,"군위34,의성23,청송13,영양5,영덕19,청도37고령62,성주19,칠곡127예천50,봉화24,울진49울릉7",,"[('영양5 영덕19', 0.4401)]"
2022/02/21 09:59:18,74,경상북도 전체,144018,"2/21 0시기준 코로나19 신규확진자3,250명(포항591경주309,김천145안동184,구미588,영주225,영천97,상주116,문경106경산420)",cbs,경북도청,"포항591경주309,김천145안동184,구미588,영주225,영천97,상주116,문경106경산420",,"[('코로나19 신규확진자3 250명 포항591경주309', 0.4818)]"
2022/02/18 10:01:20,74,경상북도 전체,143548,"2/18 0시 기준 코로나19 신규확진자 (군위34,의성40,청송16,영양5,영덕38,청도30,고령47,성주32,칠곡102,예천48,봉화15,울진67)",cbs,경북도청,"군위34,의성40,청송16,영양5,영덕38,청도30,고령47,성주32,칠곡102,예천48,봉화15,울진67",,"[('영덕38 청도30', 0.4414)]"
2022/02/18 10:00:58,74,경상북도 전체,143546,"2/18 0시기준 코로나19신규확진자3285명(포항553,경주262,김천145,안동193,구미640,영주229,영천115,상주90,문경141경산443)",cbs,경북도청,"포항553,경주262,김천145,안동193,구미640,영주229,영천115,상주90,문경141경산443",,"[('포항553 경주262', 0.5004)]"
2022/02/15 10:23:21,74,경상북도 전체,143069,"2/15 0시기준 코로나19 신규확진자 (군위13,의성16,청송10,영양3,영덕7,청도20,고령33,성주22,칠곡69,예천28,봉화12,울진32울릉2)",cbs,경북도청,"군위13,의성16,청송10,영양3,영덕7,청도20,고령33,성주22,칠곡69,예천28,봉화12,울진32울릉2",,"[('신규확진자 군위13 의성16 청송10', 0.4656)]"
2022/02/15 10:23:05,74,경상북도 전체,143067,"2/15 0시기준 코로나19 신규확진자1,765명(포항379,경주174,김천104,안동116,구미284,영주105,영천50,상주38,문경33경산215)",cbs,경북도청,"포항379,경주174,김천104,안동116,구미284,영주105,영천50,상주38,문경33경산215",,"[('안동116 구미284 영주105', 0.4484)]"
2022/02/14 09:59:44,74,경상북도 전체,142894,"2/14 0시 기준 코로나19 신규확진자 (군위21,의성9,청송8,영양3,영덕26,청도50,고령37,성주23,칠곡78,예천39,봉화5,울진27)",cbs,경북도청,"군위21,의성9,청송8,영양3,영덕26,청도50,고령37,성주23,칠곡78,예천39,봉화5,울진27",,"[('군위21 의성9 청송8 영양3', 0.4188)]"
2022/02/14 09:59:27,74,경상북도 전체,142893,"2/14 0시기준 코로나19 신규확진자1,917명(포항359,경주173,김천98,안동101,구미314,영주130,영천62,상주63,문경37,경산254)",cbs,경북도청,"포항359,경주173,김천98,안동101,구미314,영주130,영천62,상주63,문경37,경산254",,"[('영주130 영천62', 0.501)]"
2022/02/09 10:00:57,74,경상북도 전체,142145,"2/9 0시기준 코로나19 신규확진자 (군위22,의성20,청송19,영양5,영덕15,청도42,고령49,성주23,칠곡98,예천38,봉화5,울진26,울릉2)",cbs,경북도청,"군위22,의성20,청송19,영양5,영덕15,청도42,고령49,성주23,칠곡98,예천38,봉화5,울진26,울릉2",,"[('0시기준 코로나19', 0.4063)]"
2022/02/09 10:00:20,74,경상북도 전체,142144,"2/9 0시기준 코로나19 신규확진자1,958명(포항309,경주184,김천138,안동101,구미380,영주111,영천73,상주43문경33,경산222)",cbs,경북도청,"포항309,경주184,김천138,안동101,구미380,영주111,영천73,상주43문경33,경산222",,"[('영주111 영천73 상주43문경33 경산222', 0.4663)]"
2022/01/25 10:00:27,74,경상북도 전체,139733,1/25 0시기준 코로나19신규확진자281명(포항54경주35김천13안동39구미53영주2영천6상주4경산37군위4의성2청도3고령21칠곡3예천1봉화3울진1),cbs,경북도청,포항54경주35김천13안동39구미53영주2영천6상주4경산37군위4의성2청도3고령21칠곡3예천1봉화3울진1,,"[('코로나19신규확진자281명 포항54경주35김천13안동39구미53영주2영천6상주4경산37군위4의성2청도3고령21칠곡3예천1봉화3울진1', 0.6047)]"
2022/01/19 18:38:48,"82,85,86,88,92,97","경상북도 봉화군,경상북도 안동시,경상북도 영덕군,경상북도 영주시,경상북도 울진군,경상북도 포항시",138928,"내일(20일)새벽 경북북부 및 동해안지역을 중심으로 많은 눈이 내릴 것으로 예상됩니다, 외출을 자제해주시고 빙판길 저속운전 등 안전에 유의하시기바랍니다",cbs,경북도청,20일,,"[('예상됩니다 외출을 자제해주시고 빙판길', 0.712)]"
2022/01/19 10:02:47,74,경상북도 전체,138823,"1/19 0시기준 코로나 신규확진자170명(포항60,경주30,김천5,안동1,구미19,영주6,영천2,상주8,문경4,경산22,군위1,영덕2,성주8,칠곡2)",cbs,경북도청,"포항60,경주30,김천5,안동1,구미19,영주6,영천2,상주8,문경4,경산22,군위1,영덕2,성주8,칠곡2",,"[('코로나 신규확진자170명 포항60 경주30', 0.5264)]"
2021/11/29 09:56:42,74,경상북도 전체,131398,"11/29 0시 기준 코로나19 신규확진자 68명(포항23,문경10,경산8,영덕6,김천5,구미5,영주4,청도2,칠곡2,봉화2,상주1) 시군홈페이지 참조",cbs,경북도청,"포항23,문경10,경산8,영덕6,김천5,구미5,영주4,청도2,칠곡2,봉화2,상주1",,"[('칠곡2 봉화2 상주1 시군홈페이지', 0.535)]"
2021/11/26 10:06:51,74,경상북도 전체,131017,"11/26 0시 기준 확진116명(문경23,경산20,구미16,성주12,포항10,칠곡8,영주7,경주6,영덕5,안동3,봉화2,김천1,영천1,상주1,군위1)",cbs,경북도청,"문경23,경산20,구미16,성주12,포항10,칠곡8,영주7,경주6,영덕5,안동3,봉화2,김천1,영천1,상주1,군위1",,"[('포항10 칠곡8 영주7 경주6', 0.528)]"
2021/11/24 10:01:57,74,경상북도 전체,130735,"11/24 0시기준 확진 65명(구미13,군위9,경산7,경주6,영주6,영덕6,영천3,칠곡3,포항2,김천2,상주2,성주2,안동1,문경1,고령1,울진1)",cbs,경북도청,"구미13,군위9,경산7,경주6,영주6,영덕6,영천3,칠곡3,포항2,김천2,상주2,성주2,안동1,문경1,고령1,울진1",,"[('경산7 경주6 영주6', 0.4869)]"
2021/11/12 09:52:47,74,경상북도 전체,129201,"11/12 0시기준, 코로나19신규확진자 41명(안동12,포항7,영천6,김천3,성주3,경주2,경산2,고령2,구미1,의성1,청도1,칠곡1)시군홈페이지참조",cbs,경북도청,"안동12,포항7,영천6,김천3,성주3,경주2,경산2,고령2,구미1,의성1,청도1,칠곡1",,"[('의성1 청도1 칠곡1 시군홈페이지참조', 0.4752)]"
2021/10/12 13:32:04,74,경상북도 전체,125962,"10월 2,7,8,10일 09:00~10:30까지 포항신명준외과의원(포항시 남구 연일읍 연일중앙로 19-1) 방문자는 보건소에서 코로나19 검사바랍니다",cbs,경북도청,포항시 남구 연일읍 연일중앙로 19-1,,"[('남구 연일읍 연일중앙로 19', 0.5484)]"
2021/09/05 09:52:23,74,경상북도 전체,121005,"9월5일 0시 기준, 코로나19 신규확진자 42명(구미15,경주10,포항8,칠곡2,예천2,울릉2,김천1,영주1,경산1) 자세한 내용 시군홈페이지 참조",cbs,경북도청,"구미15,경주10,포항8,칠곡2,예천2,울릉2,김천1,영주1,경산1",,"[('포항8 칠곡2', 0.5869)]"
2021/08/29 10:01:33,74,경상북도 전체,119999,"8/29 0시기준 신규확진자 54명(구미13,경주9,포항8,의성6,경산4,영주3,고령3,상주2,예천2,김천1,안동1,청도1,울진1) 시군홈페이지 참조",cbs,경북도청,"구미13,경주9,포항8,의성6,경산4,영주3,고령3,상주2,예천2,김천1,안동1,청도1,울진1",,"[('울진1 시군홈페이지 참조', 0.5433)]"
2021/08/21 10:01:03,74,경상북도 전체,118577,"8월21일 0시 기준 신규확진자111명(의성34,경주24,구미11,김천10,포항9,경산7,울진5,영주4,예천3,칠곡2,안동2)세부내용 시군홈페이지 게재",cbs,경북도청,"의성34,경주24,구미11,김천10,포항9,경산7,울진5,영주4,예천3,칠곡2,안동2",,"[('경산7 울진5 영주4 예천3', 0.6268)]"
2021/08/18 08:35:49,74,경상북도 전체,118068,"8월18일 0시 기준 신규확진자 37명(포항12,구미9,경주5,경산4,청도2<대구주소지2명>,김천2,상주1,문경1,예천1) 세부내용 시군 홈페이지 게재",cbs,경북도청,"포항12,구미9,경주5,경산4,청도2<대구주소지2명>,김천2,상주1,문경1,예천1",,"[('경주5 경산4 청도2 대구주소지2명', 0.64)]"
2021/08/13 15:06:27,74,경상북도 전체,117405,"물놀이 안전수칙 및 코로나19 예방수칙 준수 당부▶구명조끼 착용▶음주 후 물놀이 하지 않기, 위험한 곳에서 다슬기 채취금지▶코로나19 예방지침 준수철저",cbs,경북도청,,,"[('곳에서 다슬기 채취금지 코로나19', 0.7404)]"
2021/08/13 08:32:51,74,경상북도 전체,117320,"8월13일 코로나확진82명(경산13,경주12,구미11,안동10,포항9,김천7,예천7,문경4,상주3,의성2,고령2,칠곡1,영천1)발생, 시군홈페이지 게재",cbs,경북도청,"경산13,경주12,구미11,안동10,포항9,김천7,예천7,문경4,상주3,의성2,고령2,칠곡1,영천1",,"[('고령2 칠곡1 영천1', 0.6148)]"
2021/08/10 08:34:30,74,경상북도 전체,116793,"8월10일 0시 기준 코로나19 신규확진자 59명(포항17,경주14,구미10,경산9,김천3,영천3,문경2,상주1)발생, 자세한 내용은 시군홈페이지 게재",cbs,경북도청,"포항17,경주14,구미10,경산9,김천3,영천3,문경2,상주1",,"[('구미10 경산9 김천3', 0.6244)]"
2021/08/09 14:29:15,74,경상북도 전체,116716,"물놀이 안전수칙 준수▶준비운동, 구명조끼 착용▶음주 후 물놀이 하지 않기, 위험한 곳에서 다슬기 채취금지",cbs,경북도청,,,"[('하지 않기 위험한 곳에서', 0.7037)]"
