create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2021/01/08 17:13:47,75,경상북도 경산시,82521,"아들, 딸 사칭하여 편의점 구글 기프트 카드 구매 요청은 사기이니 절대 응하지 마시고 경찰서에 확인바랍니다.",cbs,경산경찰서,,,"[('응하지 마시고', 0.6641)]"
2020/12/31 17:01:33,75,경상북도 경산시,79629,"아들, 딸을 사칭하여 현금 및 신용카드 등을 요구하는 문자, 카톡은 모두 사기입니다, 절대 응하지 마시고 금융기관 또는 경찰서에 확인바랍니다.",cbs,경산경찰서,,,"[('신용카드 등을 요구하는 문자', 0.7118)]"
2020/11/30 11:10:45,75,경상북도 경산시,68784,코로나19를 빙자한 '저금리 전환대출 안내전화 또는 문자'는 보이스피싱일 가능성이 높으니 금융기관 또는 경찰관서에 확인바랍니다.,cbs,경산경찰서,,,"[('가능성이 높으니', 0.6233)]"
2020/11/13 16:49:14,75,경상북도 경산시,64433,'통장계좌 부정사용 안내'는 보이스피싱일 가능성이 높으니 금융기관 또는 경찰관서에 확인바랍니다.,cbs,경산경찰서,,,"[('통장계좌 부정사용', 0.479)]"
2020/11/06 13:21:43,75,경상북도 경산시,63447,나도 모르는 '소액결제 문자안내'는 보이스피싱일 가능성이 높으니 금융기관 또는 경찰관서에 확인바랍니다.,cbs,경산경찰서,,,"[('가능성이 높으니 금융기관', 0.504)]"
2020/10/28 17:06:34,75,경상북도 경산시,62639,저금리 대출을 빙자한 ‘앱설치 요구’는 100% 보이스피싱이니 거절 또는 경찰관서에 확인바랍니다.,cbs,경산경찰서,,,"[('보이스피싱이니 거절 또는', 0.6522)]"
2020/05/29 16:02:00,75,경상북도 경산시,36585,"저금리 대환대출 알선, (현금,체크)카드 양도, 상품권 번호를 알려달라는 전화는 보이스피싱 범죄전화입니다](2/2)",cbs,경산경찰서,"현금,체크",,"[('대환대출 알선', 0.6394)]"
2020/05/29 16:01:37,75,경상북도 경산시,36584,"코로나19 지원을 사칭한 보이스피싱 주의, 개인정보가 유출되었다는 전화, 현금을 인출하여 달라는 전화, 핸드폰 어플(앱) 설치 유도 (1/2)",cbs,경산경찰서,앱,,"[('전화 핸드폰', 0.6495)]"
2020/05/18 14:07:25,75,경상북도 경산시,35665,"저금리 대환대출 알선, (현금,체크)카드 양도, 상품권 번호를 알려달라는 전화는 보이스피싱 범죄전화입니다](2/2)",cbs,경산경찰서,"현금,체크",,"[('대환대출 알선', 0.6394)]"
2020/05/18 14:06:53,75,경상북도 경산시,35664,"코로나19 지원을 사칭한 보이스피싱 주의, 개인정보가 유출되었다는 전화, 현금을 인출하여 달라는 전화, 핸드폰 어플(앱) 설치 유도 (1/2)",cbs,경산경찰서,앱,,"[('전화 핸드폰', 0.6495)]"
2020/05/09 11:45:12,75,경상북도 경산시,34749,"저금리 대환대출 알선, (현금,체크)카드 양도, 상품권 번호를 알려달라는 전화는 보이스피싱 범죄전화입니다](2/2)",cbs,경산경찰서,"현금,체크",,"[('대환대출 알선', 0.6394)]"
2020/05/09 11:44:33,75,경상북도 경산시,34748,"코로나19 지원을 사칭한 보이스피싱 주의 개인정보가 유출되었다는 전화, 현금을 인출하여 달라는 전화, 핸드폰 어플(앱) 설치 유도 (1/2)",cbs,경산경찰서,앱,,"[('지원을 사칭한 보이스피싱 주의', 0.655)]"
2020/05/04 15:02:59,75,경상북도 경산시,34462,"저금리 대환대출 알선, (현금,체크)카드 양도, 상품권 번호를 알려달라는 전화는 보이스피싱 범죄전화입니다](2/2)",cbs,경산경찰서,"현금,체크",,"[('대환대출 알선', 0.6394)]"
2020/05/04 15:02:28,75,경상북도 경산시,34460,"코로나19 지원을 사칭한 보이스피싱 주의, 개인정보가 유출되었다는 전화, 현금을 인출하여 달라는 전화, 핸드폰 어플(앱) 설치 유도 (1/2)",cbs,경산경찰서,앱,,"[('전화 핸드폰', 0.6495)]"
