create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2023/07/18 18:40:32,75,경상북도 경산시,198797,현재 집중호우로 인하여 경산시 관내 도로 노면 파임 현상이 많이 발생하고 있습니다. 차량 운행시 주의 및 감속운전하시기 바랍니다.,cbs,경산시,,,"[('인하여 경산시', 0.6913)]"
2023/07/18 16:30:30,75,경상북도 경산시,198729,"집중호우로 인하여 남천동로·서로, 남방동 남방교, 와촌면 하교에 대하여 현재 통행제한 중이며, 침수도로의 통행을 절대금지하여 주시기 바랍니다.",cbs,경산시,,,"[('집중호우로 인하여', 0.6237)]"
2023/07/18 14:46:29,75,경상북도 경산시,198679,7.18.(화) 14:00부로 남천변 언더패스를 전면 통행 제한중이오니 우회로도를 이용하여 주시기 바랍니다.,cbs,경산시,화,,"[('남천변 언더패스를 전면', 0.5159)]"
2023/07/15 21:28:09,75,경상북도 경산시,198095,"호우경보 발령 집중호우로 하천범람, 산사태, 상습침수 등 위험이 있는 지역은 대피하시기 바라며, 외출자제 및 빗길 안전에 유의바랍니다.",cbs,경산시,,,"[('외출자제 빗길 안전에 유의바랍니다', 0.7308)]"
2022/12/21 08:27:55,75,경상북도 경산시,186262,"금일(12.21.) 대설로 인해 길이 미끄러우니 자차 대신 대중교통을 이용하시고, 외출시 보온에 유의하여 주시기 바랍니다.",cbs,경산시,12.21.,,"[('대중교통을 이용하시고', 0.7126)]"
2022/12/06 15:00:06,75,경상북도 경산시,183903,동절기 코로나19 추가접종(2가백신) 집중접종기간(11.21~12.18) / 60세이상 적극권고 / 의료기관 당일 접종 가능 / ☎053-810-6630,cbs,경산시,2가백신,60세,"[('의료기관 당일 접종', 0.6214)]"
2022/12/02 17:37:38,75,경상북도 경산시,183400,"(재정정)고산정수장 가동중단에 따라 수계전환으로 12.2.(금)17시부터~2일정도 흐린물예상(서부1,2, 중방, 북부동일부)☎053-810-5615~17",cbs,경산시,재정정,,"[('고산정수장 가동중단에 따라 수계전환으로', 0.4379)]"
2022/12/02 15:26:07,75,경상북도 경산시,183373,"(정정)고산정수장 가동중단에 따른 수계전환으로 12.2.(금)21시경~2일 정도 흐린물예상(서부1,2, 중방, 북부동 일부)☎053-810-5615~17",cbs,경산시,정정,,"[('정도 흐린물예상 서부1', 0.4474)]"
2022/11/25 09:06:57,75,경상북도 경산시,182256,동절기 코로나19 추가접종 집중접종기간(11.21~12.18)운영 / 60세이상 적극 참여 권고 / 의료기관 당일 접종 가능 / ☎053-810-6630,cbs,경산시,11.21~12.18,60세,"[('의료기관 당일 접종', 0.5732)]"
2022/11/09 10:14:00,75,경상북도 경산시,180241,"인플루엔자(독감) 유행 대비/무료인플루엔자(독감)-65세이상(57년이전 출생자),13세이하 어린이,임신부/지정의료기관에서 접종/☎053-810-6630",cbs,경산시,독감,65세,"[('유행 대비 무료인플루엔자', 0.5779)]"
2022/06/07 15:31:01,75,경상북도 경산시,159102,"60세 이상 코로나19 4차접종 실시(확진이력이 있어도 접종 가능) 예약:예방접종콜센터 053-810-6630, 행정복지센터.",cbs,경산시,확진이력이 있어도 접종 가능,60세,"[('예방접종콜센터 053 810 6630', 0.4419)]"
2022/04/10 09:48:20,75,경상북도 경산시,151314,4월7일20시 건조주의보특보발효.주말기간 강한 바람예보로 산불발생위험이 예상되니 산림인적지 소각 금지.입산시 화기물소지 및 흡연금지 등 협조부탁드립니다.,cbs,경산시,,,"[('금지 입산시', 0.6694)]"
2022/04/09 10:02:20,75,경상북도 경산시,151161,4월7일20시 건조주의보특보발효.주말기간 강한 바람예보로 산불발생위험이 예상되니 산림인적지 소각금지.입산시 화기물소지 및 흡연금지 등 협조부탁드립니다.,cbs,경산시,,,"[('예상되니 산림인적지 소각금지', 0.7004)]"
2022/04/08 15:13:41,75,경상북도 경산시,151045,4월 11일부터 보건소 코로나19 신속항원검사소 운영이 중단되오니 신속항원검사는 지정된 동네 병·의원을 이용하시기 바랍니다.,cbs,경산시,,,"[('코로나19 신속항원검사소 운영이', 0.6728)]"
2021/12/13 14:00:08,75,경상북도 경산시,133606,"경산 열방치유 선교교회(둥지로21길 28-6, 102호)를 12월에 방문한 교인 및 방문자는 가까운 선별진료소에서 반드시 검사 받아주시기 바랍니다.",cbs,경산시,"둥지로21길 28-6, 102호",,"[('가까운 선별진료소에서 반드시', 0.7195)]"
2021/12/09 17:38:43,75,경상북도 경산시,132998,"경산시 1주간 확진자 185명 발생/백신접종, 연말연시 모임자제, 거리두기, 환기, 개인방역수칙 준수바랍니다.",cbs,경산시,,,"[('확진자 185명 발생 백신접종', 0.7378)]"
2021/12/02 15:24:31,75,경상북도 경산시,131892,"11/21~12/2 소망기도원, 글로벌영성신학교, 새에덴교회(경산시 원효로32길 29-4) 방문자 및 교인은 반드시 선별진료소에서 검사 받으시길 바랍니다",cbs,경산시,경산시 원효로32길 29-4,,"[('반드시 선별진료소에서 검사', 0.5355)]"
2021/11/27 14:26:58,75,경상북도 경산시,131212,"365신발(경산시 경안로31길 18, 경산공설시장) 11/24~11/26 방문자는 가까운 선별진료소에 예약 후 검사받으시기 바랍니다.",cbs,경산시,"경산시 경안로31길 18, 경산공설시장",,"[('11 26', 0.5206)]"
2021/11/26 11:00:31,75,경상북도 경산시,131043,큰빛은혜교회(경산시 중앙로18길 34) 교인 및 11월 방문자는 가까운 선별진료소에 예약 후 검사받으시기 바랍니다.,cbs,경산시,경산시 중앙로18길 34,,"[('중앙로18길 34 교인', 0.4676)]"
2021/10/29 14:30:52,75,경상북도 경산시,127718,옥곡떡볶이(경산시 경산로7길 6)를 10/19 ~ 10/26 방문하신 분은 가까운 선별진료소에 예약 후 검사받으시기 바랍니다.,cbs,경산시,경산시 경산로7길 6,,"[('26 방문하신', 0.5096)]"
2021/10/29 11:03:01,75,경상북도 경산시,127695,옥곡떡볶이(경산시 경산로7길 6)를 10/19 ~ 10/22 방문하신 분은 가까운 선별진료소에 예약 후 검사받으시기 바랍니다.,cbs,경산시,경산시 경산로7길 6,,"[('옥곡떡볶이 경산시 경산로7길 10', 0.4992)]"
2021/10/23 11:37:11,75,경상북도 경산시,127093,"독감무료예방접종안내-만65세이상(56.12.31이전출생자), 어린이(08년생~21.8.31출생자), 임신부는 지정의료기관에 문의후 접종받으시기 바랍니다.",cbs,경산시,56.12.31이전출생자,65세,"[('08년생 21', 0.5215)]"
2021/10/08 10:56:10,75,경상북도 경산시,125522,"임시선별검사소 운영 ▶기간: ‘21.10.8(금)~10.11(월), 10시~18시(12~1시 제외) ▶장소: 진량읍행정복지센터 외국인은 검사 바랍니다.",cbs,경산시,금,,"[('1시 제외 장소 진량읍행정복지센터', 0.6064)]"
2021/09/26 18:33:01,75,경상북도 경산시,123989,"9/18~9/26 외국인 확진자 23명 발생, 지인 만남 및 타지역 방문 외국인은 보건소(예약)에 방문하여 반드시 코로나19 검사를 받으시기 바랍니다.",cbs,경산시,예약,,"[('지인 만남', 0.6657)]"
2021/08/24 14:53:15,75,경상북도 경산시,119262,시장손칼국수(경산시 진량읍 봉황길 12)를 8/14 ~ 8/21 방문하신 분은 가까운 선별진료소에 예약 후 검사받으시기 바랍니다.,cbs,경산시,경산시 진량읍 봉황길 12,,"[('선별진료소에 예약', 0.5679)]"
