create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2023/11/17 21:45:47,75,경상북도 경산시,206806,"기온 급강하에 따른 눈비등이 내려 도로결빙이 예상되오니 차량안전운행 및 농작물, 축산, 상수도 등 보온에 각별히 주의하여 주시기 바랍니다.",cbs,경산시청,,,"[('농작물 축산 상수도 보온에', 0.7163)]"
2023/11/10 15:50:19,75,경상북도 경산시,206656,"금일(11.10)부터 기온이 크게 떨어질 것으로 예상되니 농작물관리 및 야외활동 자제·보온유지 하시기 바라며, 계량기동파 및 미끄럼사고에 유의 바랍니다",cbs,경산시청,11.10,,"[('유의 바랍니다', 0.651)]"
2023/11/06 17:38:05,75,경상북도 경산시,206576,오늘밤부터 북서쪽의 찬공기가 유입되어 기온이 큰폭으로 떨어질 것으로 예상되니 개인보온 및 농작물관리에 유의하여 한파대비에 철저를 기하여 주시기 바랍니다,cbs,경산시청,,,"[('개인보온 농작물관리에', 0.6721)]"
2023/09/20 18:06:40,75,경상북도 경산시,205471,"18:00 현재 우리시에 집중호우가 내리고 있으니 하천둔치, 침수우려지역 접근 및 논물보기를 금지하고 기상방송을 청취하여 안전에 유의 바랍니다.",cbs,경산시청,,,"[('논물보기를 금지하고', 0.6512)]"
2023/08/30 09:17:11,75,경상북도 경산시,204626,"현재 경산시 호우주의보 발효중. 집중 호우 대비 하천변, 둔치주차장 등 저지대 및 산사태 위험지역 접근을 삼가고, 안전에 유의하여 주시기 바랍니다.",cbs,경산시청,,,"[('하천변 둔치주차장', 0.7728)]"
2023/08/28 10:16:37,75,경상북도 경산시,204514,"현재 폭염 주의보 발효중. 물 충분히 마시기, 무더위 쉼터 이용, 실외 작업장 폭염 안전수칙(물, 그늘, 휴식) 지키기 등 안전에 유의바랍니다.",cbs,경산시청,"물, 그늘, 휴식",,"[('현재 폭염 주의보', 0.6835)]"
2023/08/23 13:10:03,75,경상북도 경산시,204185,"금일(8.23) 오후 2시부터 20분간 민방위 훈련실시. 공습경보시 대피소 대피, 대피소 확인(네이버, 카카오, 티맵, 안전디딤돌)",cbs,경산시청,8.23,,"[('공습경보시 대피소 대피 대피소', 0.649)]"
2023/08/23 09:01:39,75,경상북도 경산시,204076,"금일(8.23)오후 2시부터 20분간 민방위 훈련실시. 공습경보시 대피소 대피, 임당사거리~경산사거리 긴급차량길터주기 훈련실시로 일부차선 통제 및 서행",cbs,경산시청,8.23,,"[('임당사거리 경산사거리', 0.7136)]"
2023/08/20 11:38:28,75,경상북도 경산시,203768,"현재 폭염경보가 발효중이오니, 논밭 및 건설현장 야외작업을 자제하여 주시고 충분한 휴식과 수분섭취, 무더위쉼터 이용으로 온열질환 예방에 유의바랍니다.",cbs,경산시청,,,"[('무더위쉼터 이용으로 온열질환', 0.6543)]"
2023/08/15 09:46:21,75,경상북도 경산시,203296,"폭염주의보 발효중. 무더위쉼터 이용, 야외활동 자제 및 폭염안전수칙(물,그늘,휴식) 준수, 야외 작업 시 충분한 휴식 등 건강에 유의하시기 바랍니다.",cbs,경산시청,"물,그늘,휴식",,"[('휴식 준수 야외 작업', 0.7249)]"
