create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2023/11/25 07:00:25,53,경상남도 전체,206995,"오늘 아침 급격한 기온 하강과 강한 바람으로 춥겠으니, 가급적 야외활동을 자제하시고, 외출 시에는 방한용품을 착용하여 건강에 유의하시기 바랍니다.",cbs,경상남도,,,"[('아침 급격한', 0.7034)]"
2023/11/24 17:20:44,53,경상남도 전체,206983,"주말까지 영하권의 날씨가 지속됨에 따라 한파 취약자 건강관리, 농작물 피해 예방, 난방기 화재, 도로결빙 사고 등에 유의하시기 바랍니다.",cbs,경상남도,,,"[('농작물 피해 예방 난방기', 0.5895)]"
2023/11/18 05:40:18,53,경상남도 전체,206815,도내 곳곳에 눈 또는 비가 내리고 낮은온도로 도로결빙과 추위가 예상되오니 되도록 대중교통을 이용하시고 운전 시에는 미끄럼 사고에 주의하시기 바랍니다.,cbs,경상남도,,,"[('도로결빙과 추위가 예상되오니 되도록', 0.6679)]"
2023/11/17 18:00:10,53,경상남도 전체,206783,"오늘 저녁~내일 오전, 도내 곳곳에 눈 또는 비가 내리고 낮은 온도로 도로결빙과 추위가 예상되오니 안전운전, 보행 및 건강관리에 유의하시기 바랍니다.",cbs,경상남도,,,"[('또는 비가 내리고 낮은', 0.6466)]"
2023/11/11 07:00:05,53,경상남도 전체,206675,도내 한파주의보 발표 ▶도로 살얼음·결빙 주의 ▶농작물 피해 및 동파사고 예방 ▶외출 시 체온 유지 등 건강관리에 유의하시기 바랍니다.,cbs,경상남도,,,"[('피해 동파사고', 0.6623)]"
2023/11/10 17:33:09,53,경상남도 전체,206665,도내 한파주의보 발표 ▶도로 살얼음·결빙 주의 ▶농작물 피해 및 동파사고 예방 ▶외출 시 체온 유지 등 건강관리에 유의하시기 바랍니다.,cbs,경상남도,,,"[('피해 동파사고', 0.6623)]"
2023/11/10 14:58:55,"55,56,61,65,69,72","경상남도 거창군,경상남도 고성군,경상남도 사천시,경상남도 진주시,경상남도 통영시,경상남도 함양군",206653,"통영대전고속도로 서상IC~육십령터널 인근(무주방향) 교통사고화재 인한 극심한 정체중, 국도 등 우회하여 주시기 바랍니다.",cbs,경상남도,무주방향,,"[('서상ic 육십령터널 인근', 0.6038)]"
2023/11/06 05:44:38,53,경상남도 전체,206494,"강풍 및 호우주의보 발효중, 출퇴근시간 빗길 안전운행, 간판·가로수 등 낙하물에 의한 피해주의, 하천변 등 위험장소 접근자제 등 안전에 유의바랍니다.",cbs,경상남도,,,"[('피해주의 하천변', 0.7439)]"
2023/10/31 13:48:47,53,경상남도 전체,206382,"남해고속도로 창원1터널 입구(북창원 부산방향) 교통사고 처리로 부산방향 전 차로 차단 중, 극심한 교통 정체로 국도 등 우회하여 주시기 바랍니다.",cbs,경상남도,북창원 부산방향,,"[('창원1터널 입구 북창원', 0.6579)]"
2023/10/31 06:38:15,53,경상남도 전체,206374,"남해고속도로 칠원분기점~함안1터널 인근(순천방향) 교통사고 인한 극심한 정체중, 국도 등 우회하여 주시기 바랍니다.",cbs,경상남도,순천방향,,"[('극심한 정체중 국도 우회하여', 0.5726)]"
2023/10/27 17:42:49,53,경상남도 전체,206304,"남해고속도로 함안군 칠원읍 칠원분기점 인근(부산방향) 교통사고로 인한 극심한 정체중, 국도 등 우회하여 주시기 바랍니다.",cbs,경상남도,부산방향,,"[('인근 부산방향 교통사고로', 0.6262)]"
2023/10/25 12:30:08,53,경상남도 전체,206244,"럼피스킨병 확산에 따라 발생지역(경기·충청·강원·인천)의 사육 소 도내 반입금지, 농장주위 해충방제·소독 철저, 관계자 모임을 자제해 주시기 바랍니다.",cbs,경상남도,경기·충청·강원·인천,,"[('인천 사육 도내', 0.6769)]"
2023/09/20 18:00:08,53,경상남도 전체,205467,"밤사이 많은 비 예상, 야영, 낚시, 물놀이, 산책 등 하천변 출입 자제, 산림지역, 급경사지 접근금지, 새벽 물꼬작업 금지 등 안전에 유의바랍니다.",cbs,경상남도,,,"[('접근금지 새벽 물꼬작업', 0.6428)]"
