create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2022/12/24 06:39:47,53,경상남도 전체,187090,"주말 강추위가 지속될 것으로 예상되니, 보온에 유의하시고, 수도계량기 동파, 난방용품 화재 등 안전사고 발생에 주의하시기 바랍니다.",cbs,경상남도청,,,"[('동파 난방용품 화재', 0.7099)]"
2021/12/24 17:00:08,53,경상남도 전체,135351,"오늘 저녁부터 급격한 기온 하강 예상되므로 야외활동 자제, 한파 취약계층 안부확인, 계량기 동파 방지, 농작물 냉해방지 등 한파대비에 유의바랍니다.",cbs,경상남도청,,,"[('급격한 기온 하강', 0.6374)]"
2021/05/08 12:36:15,53,경상남도 전체,104617,"오늘 경남지역 황사 위기경보(주의) 발령. 어린이, 노약자 실외활동 금지 및 보건용 마스크 착용 등 건강관리에 유의 바랍니다.",cbs,경상남도청,주의,,"[('마스크 착용 건강관리에 유의', 0.6561)]"
2021/03/30 11:17:13,53,경상남도 전체,100858,"21.3.15.(월)부터 부산시 소재 유흥업소(유흥주점, 단란주점) 방문자는 가까운 보건소에서 상담 및 검사바랍니다.",cbs,경상남도청,월,,"[('부터 부산시 소재', 0.5398)]"
2020/11/27 16:13:01,53,경상남도 전체,68031,타지역 확진자 동선 11.23 13:20~15:00 옛날부산식당(양산시 하북면 통도사로 77) 방문자 중 유증상자 가까운 보건소로 연락바랍니다.,cbs,경상남도청,양산시 하북면 통도사로 77,,"[('확진자 동선', 0.63)]"
2020/11/27 16:06:18,53,경상남도 전체,68029,확진자 동선 11.24 14:52~15:46 창원지방법원(성산구 창이대로 681) 316호 법정 방문자 중 유증상자 관할보건소로 연락바랍니다.,cbs,경상남도청,성산구 창이대로 681,,"[('성산구 창이대로', 0.5901)]"
2020/11/24 17:30:52,53,경상남도 전체,67119,"확진자동선안내 11.12. 06:45~07:15, 11:00~12:00 골프존카운티 사천(서포면) 남자락커룸 이용자는 가까운 보건소로 연락바랍니다",cbs,경상남도청,서포면,,"[('00 골프존카운티 사천', 0.5645)]"
2020/11/06 14:55:47,53,경상남도 전체,63464,"10.30.(금)06:10~06:20,13:30~14:00 사천CC골프장(사천시 서포면)남자 라커룸 이용자 사천시보건소 연락바람(831-4050~5)",cbs,경상남도청,금,,"[('라커룸 이용자 사천시보건소 연락바람', 0.5799)]"
2020/11/06 14:54:39,53,경상남도 전체,63463,확진자동선 10.30.(금)08:20~09:00 사천CC골프장(사천시 서포면) 지하1층 식당 방문자는 사천시보건소로 연락바람(831-4050~5),cbs,경상남도청,금,,"[('식당 방문자는 사천시보건소로 연락바람', 0.6823)]"
2020/09/13 11:36:06,53,경상남도 전체,56660,9월 1일 이후 신촌세브란스병원(서울 서대문구 소재) 방문자는 가까운 보건소에 전화해 코로나19 상담 받으시기 바랍니다.,cbs,경상남도청,서울 서대문구 소재,,"[('소재 방문자는 가까운 보건소에', 0.5045)]"
2020/09/07 12:51:42,53,경상남도 전체,55281,"9월7일12시30분부터 창원~부산간도로 김해율하교차로~미음교차로(부산방향)미음터널주변도로사면 응급복구 완료되어, 차량통제 해제되었음을 알려드립니다.",cbs,경상남도청,부산방향,,"[('완료되어 차량통제 해제되었음을 알려드립니다', 0.6489)]"
2020/09/07 11:01:51,53,경상남도 전체,55192,9월7일 11시10분부터 부산~거제간 거가대교 차량통제가 전면 해제되었음을 알려드립니다.,cbs,경상남도청,,,"[('전면 해제되었음을', 0.4052)]"
2020/09/07 10:05:43,53,경상남도 전체,55126,9월7일 10시10분 부터 창원~부산간도로(지방도1030) 성주사교차로~불모산터널 부산방면 차량통제가 전면 해제되었음을 알려드립니다.,cbs,경상남도청,지방도1030,,"[('부산방면 차량통제가 전면', 0.6768)]"
2020/09/07 09:24:11,53,경상남도 전체,55079,9월7일 09시20분 부터 마창대교 차량통제가 전면 해제되었음을 알려드립니다,cbs,경상남도청,,,"[('전면 해제되었음을', 0.4719)]"
2020/09/07 08:47:13,53,경상남도 전체,55025,"09월07일 08시40분부터 창원~부산간도로 창원영업소 도로 침수로 성주교차로~불모산터널 부산방면 차량통행이 통제되었으니,인접우회로 이용바랍니다.",cbs,경상남도청,,,"[('09월07일 08시40분부터', 0.7396)]"
2020/09/07 08:43:49,53,경상남도 전체,55016,"7:30분부터 미음터널 주변 사면붕괴로 창원~부산간도로(지방도1030)김해율하교차로~미음교차로 부산방향 차량통행이 통제되었으니, 우회바랍니다.",cbs,경상남도청,지방도1030,,"[('미음터널 주변', 0.5703)]"
2020/09/07 08:27:34,53,경상남도 전체,54990,"9월7일 08시30분 부터 태풍 ‘하이선’영향으로 마창대교 양방향 전면 통제하오니, 안전한 곳으로 우회하여 주시기 바랍니다.",cbs,경상남도청,,,"[('영향으로 마창대교 양방향', 0.6729)]"
2020/09/02 13:59:41,53,경상남도 전체,52822,"태풍 ‘마이삭’ 영향으로 하천·해안가 저지대, 산사태 및 상습침수위험 지역 주민들께서는 사전에 안전한 곳으로 차량을 옮겨 주시고, 대피해주세요",cbs,경상남도청,,,"[('해안가 저지대 산사태 상습침수위험', 0.692)]"
2020/08/10 08:00:01,53,경상남도 전체,43726,"제5호 태풍 '장미'의 접근으로 강풍에 의한 창문파손 주의, 낙하물 주의, 외출 및 야외활동 자제, 해안가 위험지역 접근금지 등 안전에 주의바랍니다.",cbs,경상남도청,,,"[('낙하물 주의 외출 야외활동', 0.6818)]"
2020/08/10 06:31:58,53,경상남도 전체,43719,"태풍 장미 북상에 따라 호우가 예상됩니다. 산사태 취약시설, 인명피해우려지역 등 위험지대 인접지 주민들은 안전한 곳으로 사전대피하시기 바랍니다.",cbs,경상남도청,,,"[('인명피해우려지역 위험지대 인접지 주민들은', 0.755)]"
