create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2021/01/18 06:57:12,74,경상북도 전체,85272,오늘 대설이 예상됩니다. 외출을 자제하고 대중교통을 이용하는 등 대설 피해에 대비 바랍니다.,cbs,경상북도재난안전대책본부,,,"[('예상됩니다 외출을 자제하고 대중교통을', 0.54)]"
2021/01/17 18:02:18,74,경상북도 전체,85138,오늘 밤부터 대설이 예상됩니다. 외출을 자제하고 대중교통을 이용하는 등 대설 피해에 대비바랍니다.,cbs,경상북도재난안전대책본부,,,"[('외출을 자제하고 대중교통을', 0.5915)]"
2020/02/19 18:14:13,74,경상북도 전체,25432,"발열,기침 등 호흡기증세가 있을 경우 보건소나1339에 전화상담 하신후 선별진료소 안내받기 바라며, 개인위생수칙을 지켜주시기 바랍니다.",cbs,경상북도재난안전대책본부,,,"[('전화상담 하신후', 0.6396)]"
2015/08/15 10:09:37,"4700000000,4711000000,4713000000,4715000000,4717000000,4719000000,4721000000,4723000000,4725000000,4","경상북도,경상북도 포항시,경상북도 경주시,경상북도 김천시,경상북도 안동시,경상북도 구미시,경상북도 영주시,경상북도 영천시,경상북도 상주시,경상북도 문경시,경상북도 경산시,경상북도 군위군,경상북도 의성군,경상북도 청송군,경상북도 영양군,경상북도 영덕군,경상북도 청도군,경상북도 고령군,경상북도 성주군,경상북도 칠곡군,경상북도 예천군,경상북도 봉화군,경상북도 울진군,경상북도 울릉군",1758,"2015. 8. 15(토) 11:00 폭염특보가 발효 되었습니다. &#9702;주의보 : 칠곡, 경산, 영천 12시~오후5시 사이에는 야외활동을 자제하시고 냉방기기가 있는 시원한 실내 및 쉼터에서 휴식하시길 바라며 주위에 독거노인, 거동불편자, 환자 등 폭염에 취약한 이웃이 있으면 수시로 방문 또는 안부전화를 걸어 폭염으로부터 안전한 생활이 될 수 있도록 각별한 관심 부탁드립니다. 경상북도 (연락처:053-950-2784)",SafeOn,경상북도재난안전대책본부,토,,"[('칠곡 경산 영천', 0.509)]"
2015/08/10 09:22:21,"4700000000,4711000000,4713000000,4715000000,4717000000,4719000000,4721000000,4723000000,4725000000,4","경상북도,경상북도 포항시,경상북도 경주시,경상북도 김천시,경상북도 안동시,경상북도 구미시,경상북도 영주시,경상북도 영천시,경상북도 상주시,경상북도 문경시,경상북도 경산시,경상북도 군위군,경상북도 의성군,경상북도 청송군,경상북도 영양군,경상북도 영덕군,경상북도 청도군,경상북도 고령군,경상북도 성주군,경상북도 칠곡군,경상북도 예천군,경상북도 봉화군,경상북도 울진군,경상북도 울릉군",1741,"2015. 8. 10(월) 현재 폭염특보가 발효 중입니다. &#9702;경보 : 청도, 칠곡, 경산 &#9702;주의보 : 경주, 의성, 안동, 김천, 성주, 고령, 군위, 영천, 구미 12시~오후5시 사이에는 야외활동을 자제하시고 냉방기기가 있는 시원한 실내 및 쉼터에서 휴식하시길 바라며 주위에 독거노인, 거동불편자, 환자 등 폭염에 취약한 이웃이 있으면 수시로 방문 또는 안부전화를 걸어 폭염으로부터 안전한 생활이 될 수 있도록 각별한 관심 부탁드립니다. 경상북도 (연락처:053-950-2784)",SafeOn,경상북도재난안전대책본부,월,,"[('의성 안동 김천', 0.517)]"
2015/08/08 10:01:29,"4700000000,4711000000,4713000000,4715000000,4717000000,4719000000,4721000000,4723000000,4725000000,4","경상북도,경상북도 포항시,경상북도 경주시,경상북도 김천시,경상북도 안동시,경상북도 구미시,경상북도 영주시,경상북도 영천시,경상북도 상주시,경상북도 문경시,경상북도 경산시,경상북도 군위군,경상북도 의성군,경상북도 청송군,경상북도 영양군,경상북도 영덕군,경상북도 청도군,경상북도 고령군,경상북도 성주군,경상북도 칠곡군,경상북도 예천군,경상북도 봉화군,경상북도 울진군,경상북도 울릉군",1716,"2015. 8. 8(토) 현재 폭염특보가 발효 중입니다. &#9702;경보 : 문경, 청도, 청송, 의성, 영주, 안동, 예천, 상주, 김천, 칠곡, 성주, 고령, 군위, 경산, 구미 &#9702;주의보 : 영양평지, 봉화평지, 경주, 영천 12시~오후5시 사이에는 야외활동을 자제하시고 냉방기기가 있는 시원한 실내 및 쉼터에서 휴식하시길 바라며 주위에 독거노인, 거동불편자, 환자 등 폭염에 취약한 이웃이 있으면 수시로 방문 또는 안부전화를 걸어 폭염으로부터 안전한 생활이 될 수 있도록 각별한 관심 부탁드립니다. 경상북도 (연락처:053-950-2784)",SafeOn,경상북도재난안전대책본부,토,,"[('청송 의성', 0.565)]"
2015/08/07 10:37:25,"4700000000,4711000000,4713000000,4715000000,4717000000,4719000000,4721000000,4723000000,4725000000,4","경상북도,경상북도 포항시,경상북도 경주시,경상북도 김천시,경상북도 안동시,경상북도 구미시,경상북도 영주시,경상북도 영천시,경상북도 상주시,경상북도 문경시,경상북도 경산시,경상북도 군위군,경상북도 의성군,경상북도 청송군,경상북도 영양군,경상북도 영덕군,경상북도 청도군,경상북도 고령군,경상북도 성주군,경상북도 칠곡군,경상북도 예천군,경상북도 봉화군,경상북도 울진군,경상북도 울릉군",1692,"2015. 8. 7(금) 11:00 폭염특보가 발효되었습니다. &#9702;경보 : 문경, 청도, 경주, 청송, 의성, 영주, 안동, 예천, 상주, 김천, 칠곡, 성주, 고령, 군위, 경산, 영천, 구미 &#9702;주의보 : 영양평지, 봉화평지, 포항, 영덕 12시~오후5시 사이에는 야외활동을 자제하시고 냉방기기가 있는 시원한 실내 및 쉼터에서 휴식하시길 바라며 주위에 독거노인, 거동불편자, 환자 등 폭염에 취약한 이웃이 있으면 수시로 방문 또는 안부전화를 걸어 폭염으로부터 안전한 생활이 될 수 있도록 각별한 관심 부탁드립니다. 경상북도 (연락처:053-950-2784)",SafeOn,경상북도재난안전대책본부,금,,"[('청송 의성', 0.5698)]"
2015/08/06 09:15:57,"4700000000,4711000000,4713000000,4715000000,4717000000,4719000000,4721000000,4723000000,4725000000,4","경상북도,경상북도 포항시,경상북도 경주시,경상북도 김천시,경상북도 안동시,경상북도 구미시,경상북도 영주시,경상북도 영천시,경상북도 상주시,경상북도 문경시,경상북도 경산시,경상북도 군위군,경상북도 의성군,경상북도 청송군,경상북도 영양군,경상북도 영덕군,경상북도 청도군,경상북도 고령군,경상북도 성주군,경상북도 칠곡군,경상북도 예천군,경상북도 봉화군,경상북도 울진군,경상북도 울릉군",1680,"2015. 8. 6(목) 11:00 폭염특보가 발효되었습니다. &#9702;경보 : 청도, 경주, 청송, 의성, 안동, 김천, 칠곡, 성주, 고령, 군위, 경산, 영천. 구미 &#9702;주의보 : 영양평지, 봉화평지, 문경, 포항, 영덕, 영주, 예천, 상주 12시~오후5시 사이에는 야외활동을 자제하시고 냉방기기가 있는 시원한 실내 및 쉼터에서 휴식하시길 바라며 주위에 독거노인, 거동불편자, 환자 등 폭염에 취약한 이웃이 있으면 수시로 방문 또는 안부전화를 걸어 폭염으로부터 안전한 생활이 될 수 있도록 각별한 관심 부탁드립니다. 경상북도 (연락처:053-950-2784)",SafeOn,경상북도재난안전대책본부,목,,"[('각별한 관심 부탁드립니다 경상북도', 0.561)]"
2015/08/05 10:57:19,"4700000000,4711000000,4713000000,4715000000,4717000000,4719000000,4721000000,4723000000,4725000000,4","경상북도,경상북도 포항시,경상북도 경주시,경상북도 김천시,경상북도 안동시,경상북도 구미시,경상북도 영주시,경상북도 영천시,경상북도 상주시,경상북도 문경시,경상북도 경산시,경상북도 군위군,경상북도 의성군,경상북도 청송군,경상북도 영양군,경상북도 영덕군,경상북도 청도군,경상북도 고령군,경상북도 성주군,경상북도 칠곡군,경상북도 예천군,경상북도 봉화군,경상북도 울진군,경상북도 울릉군",1676,"2015. 8. 5(수) 11:00 폭염특보가 발효되었습니다. &#9702;경보 : 봉화산간, 울진산간, 문경, 영양산간, 울릉 제외 전지역 &#9702;주의보 : 봉화산간, 울진산간, 문경, 영양산간 12시~오후5시 사이에는 야외활동을 자제하시고 냉방기기가 있는 시원한 실내 및 쉼터에서 휴식하시길 바라며 주위에 독거노인, 거동불편자, 환자 등 폭염에 취약한 이웃이 있으면 수시로 방문 또는 안부전화를 걸어 폭염으로부터 안전한 생활이 될 수 있도록 각별한 관심 부탁드립니다. 경상북도 (연락처:053-950-2784)",SafeOn,경상북도재난안전대책본부,수,,"[('경보 봉화산간 울진산간 문경', 0.5303)]"
2015/08/04 11:39:09,"4700000000,4711000000,4713000000,4715000000,4717000000,4719000000,4721000000,4723000000,4725000000,4","경상북도,경상북도 포항시,경상북도 경주시,경상북도 김천시,경상북도 안동시,경상북도 구미시,경상북도 영주시,경상북도 영천시,경상북도 상주시,경상북도 문경시,경상북도 경산시,경상북도 군위군,경상북도 의성군,경상북도 청송군,경상북도 영양군,경상북도 영덕군,경상북도 청도군,경상북도 고령군,경상북도 성주군,경상북도 칠곡군,경상북도 예천군,경상북도 봉화군,경상북도 울진군,경상북도 울릉군",1673,"2015. 8. 4(화) 현재 폭염특보가 발효 중입니다. &#9702;경보 : 청도, 경주, 포항, 영덕, 청송, 의성, 안동, 상주, 김천, 칠곡, 성주, 고령, 군위, 경산, 영천, 구미 &#9702;주의보 : 울진평지, 영양평지, 봉화평지, 문경, 영주, 예천 12시~오후5시 사이에는 야외활동을 자제하시고 냉방기기가 있는 시원한 실내 및 쉼터에서 휴식하시길 바라며 주위에 독거노인, 거동불편자, 환자 등 폭염에 취약한 이웃이 있으면 수시로 방문 또는 안부전화를 걸어 폭염으로부터 안전한 생활이 될 수 있도록 각별한 관심 부탁드립니다. 경상북도 (연락처:053-950-2784)",SafeOn,경상북도재난안전대책본부,화,,"[('경주 포항 영덕 청송', 0.5971)]"
