create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2023/11/10 17:45:21,76,경상북도 경주시,206666,오늘 21시부로 한파주의보가 발효되오니 ▲농축수산물 피해 예방▲한랭질환 예방▲난방기 사용에 따른 화재 및 질식사고 등 안전에 유의하시기 바랍니다.,cbs,경주시청,,,"[('농축수산물 피해 예방 한랭질환', 0.6776)]"
2023/09/20 20:38:57,76,경상북도 경주시,205540,"경주시 호우주의보 발효에 따라 밤사이 집중호우,강풍 및 낙뢰 예상. 하천변 둔치,산사태 위험지역,산간계곡 등 위험지역에 접근 금지하여 주시기 바랍니다.",cbs,경주시청,,,"[('산간계곡 위험지역에 접근 금지하여', 0.7632)]"
2023/08/31 17:56:11,76,경상북도 경주시,204727,"금일 밤부터 내일 아침사이 낙뢰를 동반한 집중호우가 예상되오니 급경사지, 하천변 산책로, 산간계곡, 저지대 침수취약지역 등 위험지역 접근을 삼가바랍니다",cbs,경주시청,,,"[('산책로 산간계곡 저지대', 0.7306)]"
2023/08/24 17:17:15,76,경상북도 경주시,204388,"금일 집중호우로 인해 산사태 발생이 우려되므로 산림 주변 야외활동을 자제하시고, 산에 있을 경우 산림 밖으로 피하시기 바랍니다.",cbs,경주시청,,,"[('산림 밖으로 피하시기 바랍니다', 0.6819)]"
2023/08/24 17:03:52,76,경상북도 경주시,204383,"낙뢰를 동반한 강한 집중호우가 내리고 있으니 실외활동을 금지하시고, 계곡 및 야영장, 하천변 산책로, 급경사지, 저지대 등 위험지역에 접근 금지바랍니다",cbs,경주시청,,,"[('급경사지 저지대 위험지역에', 0.7781)]"
2023/08/24 06:49:19,76,경상북도 경주시,204326,"금일 경주시 호우주의보 발효 중으로 많은 비가 내리고 있으니 하천산책로, 산사태위험지역, 침수위험지역 접근을 금지하시고, 출근 길 안전에 유의바랍니다",cbs,경주시청,,,"[('안전에 유의바랍니다', 0.7348)]"
2023/08/23 12:51:03,76,경상북도 경주시,204174,"폭염경보 발효 중▲논·밭·건설현장 야외활동 자제▲이웃간 안부확인▲무더위쉼터 이용▲폭염 안전수칙(물, 그늘, 휴식)준수▲물놀이 안전사고에 유의바랍니다.",cbs,경주시청,"물, 그늘, 휴식",,"[('이웃간 안부확인 무더위쉼터 이용', 0.6791)]"
2023/08/22 14:42:02,76,경상북도 경주시,203974,"폭염경보 발효중▲체감온도 최고 35도 이상▲논밭작업자, 공사현장근로자 등 야외작업 자제▲수분섭취, 그늘휴식 등 온열질환 건강관리에 유의 바랍니다.",cbs,경주시청,,,"[('공사현장근로자 야외작업', 0.6838)]"
2023/08/21 13:09:04,76,경상북도 경주시,203890,"폭염주의보 지속 발효중▲낮시간 외출 및 야외활동자제(논,밭,공사장 등)▲무더위쉼터 이용▲폭염안전수칙(물,그늘,휴식) 준수 등 건강 관리에 유의바랍니다.",cbs,경주시청,"논,밭,공사장 등",,"[('지속 발효중', 0.603)]"
2023/08/20 15:16:45,76,경상북도 경주시,203808,"폭염특보 발효중. ▲폭염 안전수칙(물, 그늘, 휴식) 지키기▲외출 시 양산/모자 쓰기▲노약자, 만성질환자 등 건강관리에 유의하시기 바랍니다.",cbs,경주시청,"물, 그늘, 휴식",,"[('발효중 폭염 안전수칙', 0.6249)]"
2023/08/18 21:30:18,76,경상북도 경주시,203657,"18~20일 동해 상 돌풍,번개를 동반한 많은 비 전망. 해안가에서는 너울이 밀려올 것으로 예상되므로 해수욕장, 방파제, 해안가 등 안전에 유의바랍니다",cbs,경주시청,,,"[('해수욕장 방파제 해안가', 0.5977)]"
2023/08/14 13:39:10,76,경상북도 경주시,203248,"폭염주의보 발효 중. 낮시간 야외활동(논,밭,공사장) 자제, 충분한 수분섭취와 휴식, 주변 노약자분들께 안부전화 등 건강관리에 유의 바랍니다.",cbs,경주시청,"논,밭,공사장",,"[('자제 충분한', 0.6158)]"
2023/08/13 13:02:02,76,경상북도 경주시,203148,"폭염특보 발효중. 야외활동(논밭,공사장 등) 자제 및 폭염안전수칙(물,그늘,휴식) 준수로 건강에 유의하시기 바랍니다.",cbs,경주시청,"논밭,공사장 등",,"[('발효중 야외활동 논밭 공사장', 0.646)]"
2023/08/12 11:03:20,76,경상북도 경주시,203077,"폭염주의보 발효중. 야외활동(논밭,공사장 등) 자제 및 폭염안전수칙(물,그늘,휴식) 준수 등 건강에 유의하시기 바랍니다.",cbs,경주시청,"논밭,공사장 등",,"[('야외활동 논밭 공사장 자제', 0.6402)]"
2023/08/10 11:34:06,76,경상북도 경주시,202694,"태풍 카눈으로 경주 일부 지역(산내, 강동, 안강, 내남 등) 버스 운행이 중단(우회)되고 있음을 알려드립니다.",cbs,경주시청,"산내, 강동, 안강, 내남 등",,"[('태풍 카눈으로', 0.6626)]"
2023/08/10 10:08:38,76,경상북도 경주시,202580,강동면 왕신저수지 만수위 임박으로 월류 위험이 있으니 하류 주민들께서는 강동면복지회관으로 즉시 대피하여 주시기 바랍니다.,cbs,경주시청,,,"[('즉시 대피하여', 0.5968)]"
2023/08/10 10:03:07,76,경상북도 경주시,202568,"건천읍 송선리 송선저수지 만수위로 월류 위험이 있으니 하류 주민들께서는 고지대, 행정복지센터로 즉시 대피하여 주시기 바랍니다.",cbs,경주시청,,,"[('즉시 대피하여 주시기 바랍니다', 0.6269)]"
2023/08/10 10:02:37,76,경상북도 경주시,202567,"하동저수지 만수위로 월류 위험이 있으니 하류 주민들께서는 고지대, 민속공예촌 전시장, 분접마을경로당, 하동마을회관으로 즉시 대피하여 주시기 바랍니다.",cbs,경주시청,,,"[('즉시 대피하여', 0.6968)]"
2023/08/10 08:24:28,76,경상북도 경주시,202455,보덕로 470-5번지 암곡소망교회 인근 제방 유실 우려가 됩니다. 인근 주민들은 지금 즉시 왕산경로당 및 고지대로 대피바랍니다.,cbs,경주시청,,,"[('제방 유실 우려가 됩니다', 0.5501)]"
2023/08/10 08:08:55,76,경상북도 경주시,202434,태풍 카눈이 북상 중에 따라 산사태 위험이 매우 높으므로 산림과 떨어진 마을회관·경로당 등 안전한 곳으로 즉시 대피하시기 바랍니다.,cbs,경주시청,,,"[('중에 따라 산사태 위험이', 0.5979)]"
2023/08/09 18:09:41,76,경상북도 경주시,202155,"태풍 카눈이 북상 중에 따라 강한 바람과 많은 비가 예상되어 항포구 및 해수욕장, 방파제, 해안가 등 위험지역 출입을 통제합니다.",cbs,경주시청,,,"[('태풍 카눈이', 0.6784)]"
2023/08/09 16:07:12,76,경상북도 경주시,202063,"태풍의 북상으로 인명피해 우려되어, 재해취약지역 거주자 등을 대상으로 주민대피명령 발령(8.9.14시). 위험징후시 마을회관, 경로당 등 대피바랍니다.",cbs,경주시청,8.9.14시,,"[('거주자 등을 대상으로', 0.6429)]"
2023/08/09 11:56:48,76,경상북도 경주시,201935,"태풍 카눈이 북상 중임에 따라 많은 비와 강한 바람이 예상되오니 피항 중인 어선에서는 계류색, 휀다 보강조치 및 선박화재 최대 유의 바랍니다.",cbs,경주시청,,,"[('많은 비와 강한 바람이', 0.6499)]"
2023/08/08 15:24:11,76,경상북도 경주시,201783,"경북 동해안 풍랑주의보 발효 중이며 태풍 북상으로 해안가 높은 파도가 예상됩니다. 간이해수욕장, 방파제, 갯바위 등 위험지역 출입 자제 바랍니다.",cbs,경주시청,,,"[('간이해수욕장 방파제 갯바위 위험지역', 0.7784)]"
2023/08/08 14:42:19,76,경상북도 경주시,201766,"폭염주의보 발효중▲낮 시간 외출 및 야외활동 자제(논,밭,공사장 등)▲무더위쉼터 이용▲폭염안전수칙(물,그늘,휴식) 준수 등 건강관리에 유의바랍니다.",cbs,경주시청,"논,밭,공사장 등",,"[('그늘 휴식 준수', 0.632)]"
2023/08/07 14:42:33,76,경상북도 경주시,201608,"폭염특보 발효중. 야외활동(논밭, 공사장 등) 자제, 충분한 수분 섭취, 무더위쉼터 이용, 외출 시 모자나 양산 착용 등으로 건강에 유의바랍니다.",cbs,경주시청,"논밭, 공사장 등",,"[('논밭 공사장', 0.6551)]"
