create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2021/06/24 10:00:28,76,경상북도 경주시,109860,▲6.14(월)~6.17(목)골목식당(문무대왕면 어일27길37) ▲6.16(수)12:27~12:53 나드리푸드 경주동국대의료원점(동대로87),cbs,경주시청①,월,,"[('17 골목식당 문무대왕면 어일27길37', 0.4722)]"
2021/06/23 17:09:58,76,경상북도 경주시,109813,"동경주(감포읍,문무대왕면,양남면)거리두기 2단계로 격상. 6.24(목)0시~6.30(수)24시.유흥시설 집합금지,식당ㆍ카페ㆍ노래연습장 22시까지운영.",cbs,경주시청①,"감포읍,문무대왕면,양남면",,"[('유흥시설 집합금지 식당ㆍ카페ㆍ노래연습장 22시까지운영', 0.5034)]"
2021/06/22 12:05:43,76,경상북도 경주시,109674,▲6.9(수)~6.21(월) 사는동안(문무대왕면 감은로 53-8) 동시간대 방문자는 문무대왕면사무소 임시선별진료소 검사 권고 드립니다.,cbs,경주시청①,수,,"[('동시간대 방문자는 문무대왕면사무소 임시선별진료소', 0.5524)]"
2021/06/21 11:37:54,76,경상북도 경주시,109597,"▲6.13(일)~6.18(금)멕시카나치킨(문무대왕면 어일1길47)※배달주문 제외▲6.13(일)16:16~16:45,6.15(화)09:30~10:40,",cbs,경주시청①,일,,"[('제외 13 16 16', 0.4138)]"
2021/06/03 09:58:59,76,경상북도 경주시,108032,"고령층 백신접종예약이 오늘(6월3일) 마감됩니다. 코로나19 감염시 치명률이 가장 높은 연령대가 60세이상 어르신들인 만큼,",cbs,경주시청①,6월3일,60세,"[('60세이상 어르신들인 만큼', 0.5836)]"
2021/06/01 11:48:13,76,경상북도 경주시,107765,"고령층 백신접종예약이 6월3일까지로 3일밖에 남지 않았습니다. 일상으로의 회복과 지역경제 활성화를 위해서는 백신접종만이 유일한 대책인 만큼,",cbs,경주시청①,,,"[('3일밖에 남지 않았습니다 일상으로의', 0.7115)]"
2021/05/31 11:32:26,76,경상북도 경주시,107620,"우리홀푸드마트(용강점) 냉장식품코너ㆍ탑마트(황성점) 농산물코너 직원 확진,검사결과 전직원 음성. 우리홀푸드마트 5.27(목)09:00~12:24까지,",cbs,경주시청①,용강점,,"[('음성 우리홀푸드마트 27 09', 0.6186)]"
2021/05/14 09:19:28,76,경상북도 경주시,105331,"타지역확진자관련▲5.8(토)13:22~14:06서라벌사거리→불국사(10번버스),15:44~15:59불국사→석굴암(12번버스)",cbs,경주시청①,토,,"[('59불국사 석굴암', 0.5943)]"
2021/05/12 21:48:05,76,경상북도 경주시,105149,"▲5.11(화)13:44~14:00 소망아파트→황성공원(시내버스210번), 14:20~14:40 황성공원→소망아파트(시내버스210번)",cbs,경주시청①,화,,"[('40 황성공원', 0.4527)]"
2021/05/04 13:44:17,76,경상북도 경주시,104171,▲4.27(화) 09:10~12:50/4.28(수) 09:01~12:50/4.29(목) 08:56~12:50/4.30(금) 09:00~12:50,cbs,경주시청①,화,,"[('01 12 50', 0.2781)]"
2021/05/02 18:57:11,76,경상북도 경주시,103977,▲4.30(금) 08:00~08:30 건천 천포초등학교→신한은행 사거리 앞(시내버스338번),cbs,경주시청①,금,,"[('30 08 00 08', 0.3595)]"
2021/05/01 18:17:41,76,경상북도 경주시,103884,"▲4.23(금)13:00~13:30, 4.30(금)13:00~13:30 건천햇님슈퍼→고속버스터미널(시내버스338번)",cbs,경주시청①,금,,"[('30 30', 0.4202)]"
2021/05/01 16:28:00,76,경상북도 경주시,103857,"타지역확진자관련,▲4.24(토)11:00~13:00블루원 룩스타워 웨딩컨벤션 The promise 웨딩홀 및 The Breeze 뷔페(보불로 391)",cbs,경주시청①,토,,"[('뷔페 보불로', 0.4569)]"
2021/04/23 18:20:37,76,경상북도 경주시,103113,"타지역확진자관련,▲4.17(토)15시~16시/ 4.18(일)15:30~17:30/4.19(월)15:30~17:30천지사우나(여탕,금성로259번길27)",cbs,경주시청①,토,,"[('30천지사우나 여탕 금성로259번길27', 0.4061)]"
2021/04/21 09:47:58,76,경상북도 경주시,102810,"타지역확진자 관련, ▲4.12(월)22:00~4.13(화)02:00, 4.13(화) 22:30~23:20 동천육회전문숯불구이(대안길 63)",cbs,경주시청①,월,,"[('00 13 22', 0.1533)]"
2021/04/18 15:55:55,76,경상북도 경주시,102553,"▲4.12(월) ~ 4.15(목) 로맨틱하우스(황성로 28), ▲4.14(수) 12:00 ~12:24 장터돼지국밥(경감로 2314)",cbs,경주시청①,월,,"[('12 15', 0.4386)]"
2021/04/09 19:12:07,76,경상북도 경주시,101687,"타지역확진자 관련, 4.1(목)12:11~13:21경주역→동대구역(무궁화호1754호2호차) 좌석17,18번(경주→영천), 좌석19번(경주→하양)",cbs,경주시청①,목,,"[('무궁화호1754호2호차 좌석17 18번', 0.6122)]"
2021/03/22 17:27:34,76,경상북도 경주시,99246,"고속버스터미널,시외버스터미널 정류장→세무서 (41번 경북70자2483). 3.17(수)21:13~21:28",cbs,경주시청①,41번 경북70자2483,,"[('21 13', 0.376)]"
