create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2021/06/24 10:11:46,76,경상북도 경주시,109863,동시간대 방문자는 선별진료소 검사 권고 드립니다.,cbs,경주시청②,,,"[('검사 권고', 0.5987)]"
2021/06/23 17:10:37,76,경상북도 경주시,109814,100명이상 모임ㆍ행사 금지. 상세내용은 경주시 홈페이지 참고. 감염차단을 위하여 적극적인 협조 당부드립니다.,cbs,경주시청②,,,"[('금지 상세내용은 경주시', 0.6785)]"
2021/06/22 12:06:02,76,경상북도 경주시,109675,※문무대왕면사무소 임시선별진료소 운영 : 21. 6. 22.(화) 11시~15시,cbs,경주시청②,화,,"[('21 22', 0.2147)]"
2021/06/21 11:38:10,76,경상북도 경주시,109598,"6.17(목)11:24~11:52, 6.19(토)08:16~08:46 양북대왕온천 여탕(문무대왕면 감은로17) 동시간대 방문자는 검사 권고 드립니다.",cbs,경주시청②,목,,"[('양북대왕온천 여탕 문무대왕면', 0.6013)]"
2021/06/03 09:59:15,76,경상북도 경주시,108034,"아직까지 예약을 안 하신분은 조속히 신청바랍니다. 온라인(ncvr.kdca.go.kr), 경주시(760-2070), 읍면동 전화를 통해 예약가능",cbs,경주시청②,ncvr.kdca.go.kr,,"[('경주시 760 2070', 0.5673)]"
2021/06/01 11:48:28,76,경상북도 경주시,107766,"아직까지 예약을 안 하신분은 조속히 신청바랍니다. 온라인(ncvr.kdca.go.kr), 경주시(760-2070), 읍면동 전화를 통해 예약가능",cbs,경주시청②,ncvr.kdca.go.kr,,"[('경주시 760 2070', 0.5673)]"
2021/05/31 11:33:09,76,경상북도 경주시,107621,탑마트(황성점) 5.27(목)13:00~5.29(토)11시까지 이용하신 분 중 증상이 있으신 분은 보건소 선별진료소에서 검사받으시기 바랍니다.,cbs,경주시청②,황성점,,"[('있으신 분은 보건소 선별진료소에서', 0.6017)]"
2021/05/14 09:20:06,76,경상북도 경주시,105332,16:58~17:15석굴암→불국사(12번버스)17:22~18:00불국사→서라벌사거리(10번버스)21:34~21:41동궁과월지→청년회의소(700번버스),cbs,경주시청②,12번버스,,"[('22 18 00불국사', 0.6439)]"
2021/05/12 21:48:23,76,경상북도 경주시,105150,동시간대 탑승자는 보건소 선별진료소를 방문하여 검사바랍니다.,cbs,경주시청②,,,"[('보건소 선별진료소를 방문하여', 0.743)]"
2021/05/04 13:44:43,76,경상북도 경주시,104173,"5.1(토) 09:17~12:30, 14:00~17:50 경주시립도서관(원화로 431-12) 1층 열람실 이용자는 보건소 선별진료소 검사바랍니다.",cbs,경주시청②,토,,"[('17 50 경주시립도서관', 0.5466)]"
2021/05/02 18:57:29,76,경상북도 경주시,103978,▲4.30(금) 10:30~11:00 신한은행사거리 앞→건천 천포초등학교(시내버스350번) 동시간대 탑승자는 보건소 선별진료소 검사바랍니다.,cbs,경주시청②,금,,"[('신한은행사거리 건천 천포초등학교 시내버스350번', 0.5115)]"
2021/05/01 18:18:16,76,경상북도 경주시,103885,▲4.23(금)17:05~17:35고속버스터미널→건천햇님슈퍼(시내버스350번)▲4.30(금)14:45~15:15성동시장→건천햇님슈퍼(시내버스350번),cbs,경주시청②,금,,"[('30 14 45 15', 0.4719)]"
2021/05/01 16:28:17,76,경상북도 경주시,103858,위 장소를 동시간대 방문하신 분은 보건소 선별진료소 검사바랍니다.,cbs,경주시청②,,,"[('분은 보건소', 0.6256)]"
2021/04/23 18:21:03,76,경상북도 경주시,103114,▲4.20(화)17:20~18:30경주시외버스터미널->동대구(금아리무진 경북72아2157)동시간대 방문자 및 탑승자는 보건소 선별진료소 검사바랍니다.,cbs,경주시청②,화,,"[('18 30경주시외버스터미널', 0.3816)]"
2021/04/21 09:48:33,76,경상북도 경주시,102811,"▲4.16(금) 10:02~10:40 위덕삼성아파트정류장→경주역정류장(260번,경북70자2478). 동시간대 탑승자는 보건소 선별진료소 검사바랍니다.",cbs,경주시청②,금,,"[('보건소 선별진료소', 0.4776)]"
2021/04/18 15:56:39,76,경상북도 경주시,102554,▲4.14(수) 17:14~18:16 코코몽 키즈라운지(보문로 182-29) ※동시간대 방문자는 보건소 선별진료소 검사 바랍니다.,cbs,경주시청②,수,,"[('보문로 182 29', 0.5684)]"
2021/04/09 19:12:21,76,경상북도 경주시,101688,동시간대 탑승자는 보건소 선별진료소를 방문하여 검사바랍니다.,cbs,경주시청②,,,"[('보건소 선별진료소를 방문하여', 0.743)]"
2021/03/22 17:28:06,76,경상북도 경주시,99247,"온누리PC방(황성로37,지하1층) 3.19(금) 16:38~20:15 (동시간대 방문자 검사권고)",cbs,경주시청②,"황성로37,지하1층",,"[('16 38 20 15', 0.2848)]"
