create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2023/03/25 10:04:51,250,충청남도 계룡시,193797,"금일 상수도관 복구공사 완료 후 정상 급수중. 수돗물 사용시 녹물(탁수)이 나올 수 있으니 물을 충분히 빼낸 후 사용, 녹물 피해 대비 바랍니다.",cbs,계룡시청,탁수,,"[('물을 충분히 빼낸 사용', 0.7189)]"
2023/01/24 09:55:31,250,충청남도 계룡시,191581,"어제(1월 23일) 확진자 5명 ▲ 설 연휴 계룡시 보건소 선별진료소 운영(09:00~11:30, 13:30~17:00) ▲ 한파 대비 안전 유의",cbs,계룡시청,1월 23일,,"[('5명 연휴 계룡시', 0.6384)]"
2023/01/23 17:24:33,250,충청남도 계룡시,191450,"오늘 밤부터 기온이 크게 떨어질 것으로 예상됩니다. 노약자 야외활동 자제, 수도관 등 보온조치, 온열기 화재방지 등 안전에 유의바랍니다.",cbs,계룡시청,,,"[('노약자 야외활동 자제 수도관', 0.64)]"
2023/01/23 10:00:38,250,충청남도 계룡시,191336,"어제(1월22일) 확진자 4명 ▲설 연휴 계룡시 보건소 선별진료소 운영(09:00-11:30, 13:30-17:00) ▲한파 대비 안전 유의",cbs,계룡시청,1월22일,,"[('한파 대비 안전', 0.6383)]"
2023/01/22 10:02:16,250,충청남도 계룡시,191243,"어제(1월21일) 확진자 3명 ▲설 연휴 계룡시 보건소 선별진료소 운영(09:00-11:30, 13:30-17:00) ▲한파 대비 안전 유의",cbs,계룡시청,1월21일,,"[('대비 안전', 0.6319)]"
2023/01/21 10:02:35,250,충청남도 계룡시,191143,"어제(1월20일) 확진자 17명 ▲설 연휴 계룡시 보건소 선별진료소 운영(09:00-11:30, 13:30-17:00) ▲한파 대비 안전 유의",cbs,계룡시청,1월20일,,"[('확진자 17명 연휴 계룡시', 0.6361)]"
2023/01/20 16:10:00,250,충청남도 계룡시,191055,"설 연휴 강추위가 예상되오니 야외활동 시 방한용품 착용, 수도관 등 보온조치, 온열기 화재 방지, 빙판길 미끄럼 주의 등 안전에 유의하시기 바랍니다.",cbs,계룡시청,,,"[('예상되오니 야외활동 방한용품 착용', 0.7365)]"
2023/01/20 10:02:28,250,충청남도 계룡시,190996,"어제(1.19.) 확진자 23명▲설 연휴 계룡시 보건소 선별진료소 운영▲운영시간(오전 09:00-11:30, 오후 13:30-17:00)",cbs,계룡시청,1.19.,,"[('확진자 23명 연휴', 0.5979)]"
2023/01/19 10:07:54,250,충청남도 계룡시,190884,"어제(1.18.)확진자 21명(누적 26,298명) ▲추가접종과 더불어 손씻기, 주기적 환기 및 실내마스크 착용 등 개인방역수칙 준수 바랍니다.",cbs,계룡시청,1.18.,,"[('누적 26 298명', 0.6957)]"
2023/01/18 10:01:54,250,충청남도 계룡시,190749,"어제(1.17.)확진자 28명(누적26,277명) ▲추가접종과 더불어 손씻기, 주기적 환기 및 실내마스크 착용 등 개인방역수칙 준수 바랍니다.",cbs,계룡시청,1.17.,,"[('17 확진자 28명', 0.7077)]"
2023/01/17 10:01:54,250,충청남도 계룡시,190624,"어제(1.16.)확진자 28명(누적26,249명) ▲추가접종과 더불어 손씻기, 주기적 환기 및 실내마스크 착용 등 개인방역수칙 준수 바랍니다.",cbs,계룡시청,1.16.,,"[('착용 개인방역수칙', 0.6936)]"
2023/01/16 10:02:13,250,충청남도 계룡시,190492,"어제(1.15.)확진자 2명(누적26,221명) ▲추가접종과 더불어 손씻기, 주기적 환기 및 실내마스크 착용 등 개인방역수칙 준수 바랍니다.",cbs,계룡시청,1.15.,,"[('실내마스크 착용', 0.6862)]"
2023/01/15 10:12:00,250,충청남도 계룡시,190330,"어제(1.14.) 확진자 19명(누적 26,219명) ▲겨울철 화재방지 등 안전관리 철저 및 실내마스크 착용 등 개인방역수칙 준수 바랍니다.",cbs,계룡시청,1.14.,,"[('219명 겨울철 화재방지', 0.7179)]"
2023/01/14 10:16:48,250,충청남도 계룡시,190193,"어제(1.13.) 확진자 18명(누적 26,200명) ▲겨울철 화재방지 등 안전관리 철저 및 실내마스크 착용 등 개인방역수칙 준수 바랍니다.",cbs,계룡시청,1.13.,,"[('안전관리 철저 실내마스크', 0.7196)]"
