create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2023/09/08 09:23:21,170,인천광역시 계양구,204977,"9월 10일 일요일부터 계양구보건소 선별진료소 운영시간이 아래와 같이 변경됨을 알려드립니다. 평일 09시~18시, 토요일 09시~13시, 일요일 미운영",cbs,계양구,,,"[('09시 13시 일요일', 0.6748)]"
2023/08/14 11:02:46,170,인천광역시 계양구,203221,"폭염 주의보 발효 중, 무더운 낮시간 논밭/야외 활동을 자제하여 주시고 그늘진 곳에서 휴식 및 충분한 수분섭취 등 건강관리에 유의하여 주시기 바랍니다.",cbs,계양구,,,"[('곳에서 휴식 충분한', 0.6919)]"
2023/08/10 15:57:12,170,인천광역시 계양구,202917,"태풍 북상으로 내일 오후까지 많은 비와 강한 바람이 예상됩니다. 가급적 외출을 자제하여 주시기 바라며, 안전에 유의하여 주시기 바랍니다.",cbs,계양구,,,"[('북상으로 내일', 0.7047)]"
2023/08/10 07:58:01,170,인천광역시 계양구,202421,"태풍 카눈 북상으로 굴포천, 서부간선수로 산책로 및 계양산, 천마산 출입 통제합니다. 많은 비와 강한 바람이 예상되오니, 안전에 유의하시기 바랍니다.",cbs,계양구,,,"[('비와 강한 바람이', 0.6773)]"
2023/07/28 17:39:10,170,인천광역시 계양구,200089,"오늘 16시 폭염 경보 발효 중, 주말동안 폭염이 지속될 것으로 예상되오니, 낮시간대 야외활동 자제하여 주시고, 충분한 수분섭취를 하여 주시기 바랍니다.",cbs,계양구,,,"[('발효 주말동안', 0.675)]"
2023/07/23 07:45:00,170,인천광역시 계양구,199429,"금일 많은 비가 예상됩니다. 하천변, 저지대, 산림 등 위험지역에 접근하지 마시고 안전사고 예방에 유의하시기 바랍니다. (굴포천, 서부간선수로 통제중)",cbs,계양구,"굴포천, 서부간선수로 통제중",,"[('접근하지 마시고 안전사고 예방에', 0.7414)]"
2023/07/22 18:22:38,170,인천광역시 계양구,199366,"많은 비가 예보되어 굴포천, 서부간선수로 수변 산책로 출입 통제중입니다. 농로, 저지대 도로 등 물이 고여있는 장소는 출입을 금지하여 주시기 바랍니다.",cbs,계양구,,,"[('통제중입니다 농로', 0.619)]"
2023/07/13 13:13:04,170,인천광역시 계양구,197073,"오늘 16시 충주댐 방류 증가 및 많은 비가 예보됨에 따라 하천 위험수위 상승이 예상됩니다. 하천변 인근 접근을 금지하시고, 외출을 자제하시기 바랍니다.",cbs,계양구,,,"[('방류 증가 많은 비가', 0.6501)]"
2023/04/28 12:29:56,170,인천광역시 계양구,194731,"오늘 12:02경 인천 계양구 귤현동 415 화재 발생. 인근 주민께서는 안전에 유의하시기 바라며, 차량 통행에 주의하여 주시기 바랍니다.",cbs,계양구,,,"[('통행에 주의하여 주시기', 0.6352)]"
2023/04/13 09:48:41,170,인천광역시 계양구,194421,"인천 황사 영향 및 미세먼지 농도 ""매우 나쁨"" 야외 활동 자제, 외출 시, 마스크 착용, 외출 후 손,발 씻기 등 건강관리에 유의하여 주시기 바랍니다.",cbs,계양구,,,"[('매우 나쁨', 0.6601)]"
