create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2023/11/03 16:39:34,10940,경상북도 고령군,206421,고령 다산면 송곡리 축산물공판장에서 액화암모니아가스가 누출되었음으로 다산면사무소로 대피하시거나 공판장에서 가능한 멀리 이동하여주시기 바랍니다.,cbs,고령군,,,"[('공판장에서 가능한 멀리', 0.6547)]"
2023/08/30 09:13:43,77,경상북도 고령군,204622,금일 08:43 산사태 주의보 발령 ▲산림주변 등산로 등 접근금지▲산사태 위험지역 거주민께서는 이상징후 발견 시 마을회관 등 안전한 곳으로 대피바랍니다.,cbs,고령군,,,"[('금일 08 43 산사태', 0.6932)]"
2023/08/30 06:32:29,77,경상북도 고령군,204593,"호우주의보 발효중. 산사태 우려지역, 하천변 등 위험지역 접근을 삼가하여 주시고, 빗길 안전운전에 유의하여 주시길 바랍니다.",cbs,고령군,,,"[('접근을 삼가하여 주시고 빗길', 0.7986)]"
2023/08/24 15:28:28,77,경상북도 고령군,204365,내일 새벽까지 우리 지역에 천둥 번개를 동반한 집중호우가 예상되오니 외출을 자제하시기 바라며 낙뢰 피해 주의 등 안전에 유의하시기 바랍니다.,cbs,고령군,,,"[('낙뢰 피해 주의 안전에', 0.7176)]"
2023/08/20 12:04:55,77,경상북도 고령군,203777,폭염주의보 발효중. ▲고령농업인 논밭일 중단▲무더위쉼터 방문▲야외활동 자제▲충분한 수분섭취 및 휴식▲양산이용 등 건강관리에 각별히 유의 바랍니다.,cbs,고령군,,,"[('고령농업인 논밭일', 0.7096)]"
2023/08/16 18:06:44,77,경상북도 고령군,203467,현재 천둥 번개를 동반한 강한 집중호우가 내리고 있어 안전사고가 우려되오니 외출 자제 바라며 낙뢰 피해 주의 등 안전에 유의하시기 바랍니다.,cbs,고령군,,,"[('유의하시기 바랍니다', 0.7094)]"
2023/08/16 14:35:54,77,경상북도 고령군,203458,폭엽주의보 발효중. ▲고령농업인 낮시간 논밭일 중단▲무더위쉼터 방문▲야회활동 자제▲충분한 수분섭취 및 휴식▲양산이용 등 건강관리에 각별히 유의 바랍니다.,cbs,고령군,,,"[('충분한 수분섭취 휴식', 0.7159)]"
2023/08/15 14:05:09,77,경상북도 고령군,203363,"폭염주의보 발효중. 야외활동을 자제하여 주시고, 휴식 및 충분한 수분섭취, 무더위쉼터 이용 등 건강관리에 유의하여 주시기 바랍니다.",cbs,고령군,,,"[('무더위쉼터 이용 건강관리에', 0.7566)]"
2023/08/14 08:39:47,77,경상북도 고령군,203194,고령 덕곡면에서 탈출한 암사자를 포획하여 상황 종료되었음을 알립니다.,cbs,고령군,,,"[('암사자를 포획하여', 0.466)]"
2023/08/14 08:13:59,77,경상북도 고령군,203190,경북고령군 야로 덕곡로 483-157에서 사자탈출 인근 북두산 입산을 금지합니다.,cbs,고령군,,,"[('북두산 입산을', 0.5313)]"
