create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2023/08/10 20:30:43,23,경기도 고양시,203011,태풍 '카눈' 고양시 접근 중. 21시부터 강한 바람으로 수목 전도 및 간판 등 낙하 위험이 있으니 불필요한 외출을 자제하여 주시기 바랍니다.,cbs,고양시,,,"[('있으니 불필요한', 0.4697)]"
2023/08/02 09:01:14,23,경기도 고양시,200693,"폭염경보 발효 중. 농업인 및 옥외 노동자 야외작업 자제, 폭염 안전수칙(물, 그늘, 휴식) 지키기, 외출시 모자, 양산 사용 등 건강에 유의바랍니다.",cbs,고양시,"물, 그늘, 휴식",,"[('농업인 옥외 노동자 야외작업', 0.6671)]"
2023/07/30 20:00:59,23,경기도 고양시,200401,"호우경보 발효중. 저지대, 하천변 산책로 출입금지 및 고지대 이동. 도로 끝차로 물고임 등 우려로 차량우전자 서행 및 안전운전 바랍니다.",cbs,고양시,,,"[('우려로 차량우전자 서행', 0.7644)]"
2023/07/30 10:01:21,23,경기도 고양시,200241,"폭염경보 발효중. 고령층 농업인 낮동안 외출 자제, 옥외노동자 한 낮 작업중지, 충분한 수분 섭취, 휴식, 모자, 양산 사용 등 건강에 유의 바랍니다.",cbs,고양시,,,"[('고령층 농업인 낮동안 외출', 0.7215)]"
2023/07/23 09:49:11,"8556,8568,8570","경기도 고양시 일산동구,경기도 고양시 일산서구,경기도 고양시 일산서구",199462,재난안전대책본부에서 알려드립니다. 현재 장항동 호수공원 뒷편 한류수변공원 산책로가 침수되어 시민여러분께서는 산책로 출입을 금지해 주시기 바랍니다.,cbs,고양시,,,"[('산책로 출입을', 0.6514)]"
2023/07/13 10:12:01,23,경기도 고양시,197011,"금일10시30분 호우주의보 발효. 하천변 산책로, 급경사지 등 위험지역 출입금지 및 반지하,저지대,산사태 위험지역 인근주민은 주의하여 주시기 바랍니다.",cbs,고양시,,,"[('하천변 산책로 급경사지 위험지역', 0.7228)]"
2023/01/20 13:44:43,23,경기도 고양시,191032,"한파로 인한 야외활동 시 방한용품 착용, 수도계량기 및 농작물 보온조치, 차량 서행 운전(블랙아이스), 전열기기 화재예방 등 주의 바랍니다.",cbs,고양시,블랙아이스,,"[('인한 야외활동 방한용품', 0.7312)]"
2022/12/23 08:45:04,23,경기도 고양시,186864,지하철 3호선 무악재~독립문 구간 화재는 진화되어 08:40분 현재 상하행선 열차운행중입니다.,cbs,고양시,,,"[('지하철 3호선 무악재 독립문', 0.5263)]"
2022/12/23 08:09:39,23,경기도 고양시,186853,"오늘 7시경 지하철 3호선 무악재~독립문 구간 연기발생, 해당 노선은 대화역~구파발까지 제한운행하오니, 3호선 이용객은 다른 교통수단을 이용바랍니다.",cbs,고양시,,,"[('지하철 3호선 무악재 독립문', 0.5816)]"
2020/02/19 18:14:59,23,경기도 고양시,25433,"""코로나19 지역사회 감염차단 예방수칙"" 병문안 및 집단행사 참여 자제, 마스크 착용, 손씻기 생활화, 의심 증상시 1339 또는 보건소로 문의하세요.",cbs,고양시,,,"[('자제 마스크 착용 손씻기', 0.6158)]"
