create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2023/11/16 20:00:58,23,경기도 고양시,206757,17일(금) 새벽 기온이 영하로 내려가 도로 결빙이 예상되오니 운전시 감속 운행 및 안전거리 유지 등 미끄럼 사고에 주의 바랍니다.,cbs,고양시청,금,,"[('결빙이 예상되오니 운전시', 0.5436)]"
2023/11/05 21:17:00,23,경기도 고양시,206482,"강풍주의보 및 호우예비특보 발표, 강풍으로인한 간판, 낙하물 안전사고에 주의바라며 하천변 등 위험지역 출입을 자제하여 주시기 바랍니다.",cbs,고양시청,,,"[('주의바라며 하천변 위험지역 출입을', 0.7016)]"
2023/11/05 11:53:07,23,경기도 고양시,206456,"호우,강풍 예비특보 발표, 강한 비바람이 예상되니 하천변 산책로, 계곡 등의 출입을 삼가시고 강풍으로 인한 간판, 낙하물 등 안전사고에 주의바랍니다.",cbs,고양시청,,,"[('강한 비바람이 예상되니 하천변', 0.7148)]"
2023/10/17 10:29:24,23,경기도 고양시,206102,금일 교통사고수습으로 통제된 제2자유로 장산가좌IC~법곳IC(서울방향)구간 통행을 재개하여 정상통행이 가능함을 알려드립니다.,cbs,고양시청,서울방향,,"[('법곳ic 서울방향 구간', 0.484)]"
2023/10/17 06:29:35,23,경기도 고양시,206098,현재 제2자유로 장산가좌IC~법곳IC(서울방향) 교통사고로 인해 전면통제하오니 우회하시기 바랍니다.,cbs,고양시청,서울방향,,"[('현재 제2자유로', 0.5087)]"
2023/08/23 10:29:18,23,경기도 고양시,204113,"금일14시 민방위훈련으로 15분간 일부도로 통제예정(어울림누리앞사거리, 후곡18단지사거리~저동고교사거리, 강선마을사거리~일산3동행정복지센터사거리)",cbs,고양시청,"어울림누리앞사거리, 후곡18단지사거리~저동고교사거리, 강선마을사거리~일산3동행정복지센터사거리",,"[('저동고교사거리 강선마을사거리 일산3동행정복지센터사거리', 0.6012)]"
2023/08/22 19:23:35,23,경기도 고양시,204023,"금일부터 많은 비가 예보되어 있으니 하천, 계곡 등 위험지역 야영 및 출입 자제. 반지하주택 등 저지대 침수우려지역은 안전에 유의하여 주시기 바랍니다.",cbs,고양시청,,,"[('자제 반지하주택', 0.7063)]"
2023/08/10 08:49:51,23,경기도 고양시,202482,"태풍 카눈 북상중으로 간판 등 낙하물 주의, 강풍에 취약한 시설 고정, 하천변·산지 인근 등 취약시설 접근금지, 외출자제 등 안전에 유의 바랍니다.",cbs,고양시청,,,"[('카눈 북상중으로', 0.6737)]"
2023/07/31 17:00:12,23,경기도 고양시,200528,"강한 소나기 유의, 집중호우 시 ▲하천변 산책로 ▲둔치주차장 ▲지하차도 등 침수 위험 및 계곡에서의 야영을 자제해 주세요.",cbs,고양시청,,,"[('강한 소나기', 0.6727)]"
2023/07/30 19:46:04,23,경기도 고양시,200398,"금일 19:00 호우경보 발효로 많은 비가 예상되오니 하천변, 산책로, 산사태위험지역, 상습침수지역 등 위험지역 접근을 자제하여 주시기 바랍니다.",cbs,고양시청,,,"[('비가 예상되오니 하천변', 0.7191)]"
2023/07/30 18:54:59,23,경기도 고양시,200383,"금일 18:40 고양시 호우주의보 발효. 하천, 계곡, 등산로, 저지대 등 위험지역 출입을 자제하고 기상정보를 수시로 확인하여 주시기 바랍니다.",cbs,고양시청,,,"[('발효 하천', 0.6503)]"
2023/07/22 16:08:08,23,경기도 고양시,199341,"주말동안 많은 비가 예상되오니 하천변, 비탈면, 야영장 등 위험지역 방문 자제 및 반지하, 저지대, 비탈면 인근 주민은 각별히 주의하여 주시기 바랍니다",cbs,고양시청,,,"[('각별히 주의하여', 0.7368)]"
2023/07/21 19:04:19,23,경기도 고양시,199175,"오늘 관내 정체불명의 국제우편물이 신고되어 조사중, 출처가 불분명한 우편물은 열어보지 마시고 112나 119에 즉시 신고하여 주시기 바랍니다.",cbs,고양시청,,,"[('출처가 불분명한', 0.6657)]"
2023/07/11 15:48:24,23,경기도 고양시,196834,"금일15시20분 고양시 호우경보 발효. 하천변, 저지대, 침수 우려지역 등 에 거주하시는 주민께서는 안전사고에 각별히 유의하시기 바랍니다",cbs,고양시청,,,"[('우려지역 거주하시는 주민께서는', 0.7756)]"
2023/07/09 09:23:03,23,경기도 고양시,196640,오늘 08시 호우주의보 발효. 대중교통 이용 등 빗길 안전에 주의하시고 특히 하천물놀이 및 안전사고 예방에 각별히 유의하시기 바랍니다.,cbs,고양시청,,,"[('하천물놀이 안전사고 예방에 각별히', 0.6775)]"
