create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2023/08/10 10:47:27,203,전라북도 고창군,202633,"8. 10. 고창군 태풍주의보 발효 중. 태풍 관련 정보 확인과 하천, 해안가 등 위험지역 접근금지, 논밭 관리행위 자제 등 안전에 주의 바랍니다.",cbs,고창군,,,"[('정보 확인과', 0.68)]"
2023/08/03 13:07:19,203,전라북도 고창군,200905,"폭염경보 발효 중. 폭염피해 예방을 위해 논, 밭, 등 영농작업 및 야외 활동 자제, 충분한 수분섭취 및 휴식, 무더위 쉼터 이용, 건강에 유의바랍니다.",cbs,고창군,,,"[('발효 폭염피해 예방을', 0.6886)]"
2023/08/02 09:39:06,203,전라북도 고창군,200699,"폭염경보 발효 중. 폭염피해 예방을위해 논, 밭, 등 영농작업 및 야외활동 자제, 충분한 수분섭취 및 휴식, 무더위 쉼터이용,건강에 유의하시기 바랍니다.",cbs,고창군,,,"[('발효 폭염피해', 0.6833)]"
2023/07/28 13:02:47,203,전라북도 고창군,200058,"폭염경보 발효 중. 논, 밭 등 야외활동 자제, 충분한 수분섭취 및 휴식, 무더위쉼터 이용, 외출시 모자 및 양산 착용 등 건강에 유의 바랍니다.",cbs,고창군,,,"[('양산 착용 건강에', 0.7334)]"
2023/07/23 18:20:54,203,전라북도 고창군,199548,"고창군 호우경보 발효중입니다. 산사태 취약지역, 산림 인근 주민은 위험징후 발생시 안전한 마을회관, 친인척 집 등으로 신속히 대피하여 주시기 바랍니다.",cbs,고창군,,,"[('주민은 위험징후 발생시', 0.6448)]"
2023/07/23 11:15:05,203,전라북도 고창군,199486,"오늘 11시 고창군 전역 호우경보 발효.강하고 많은비가 예상되므로, 산책로, 하천변, 산간계곡 등 위험 지역 접근금지 및 외출자제등 안전에 주의바랍니다",cbs,고창군,,,"[('위험 지역 접근금지 외출자제등', 0.6057)]"
2023/07/15 17:49:02,203,전라북도 고창군,197968,많은비로 산사태주의보 발령중입니다. 산림주변 야외활동 자제와 입산금지 등 안전에 유의바랍니다. 유험요인 발견될시 안전한곳으로 신속히 대피하시기 바랍니다.,cbs,고창군,,,"[('많은비로 산사태주의보 발령중입니다 산림주변', 0.5875)]"
2023/07/14 06:29:41,203,전라북도 고창군,197268,(7.14 06:00 산사태주의보 발령)산과 가까이에 있는 주택에서는 집 근처 배수시설을 점검하고 위험요인 발견 시 자자체에 도음을 요청하세요,cbs,고창군,7.14 06:00 산사태주의보 발령,,"[('근처 배수시설을', 0.719)]"
2023/06/11 13:32:53,203,전라북도 고창군,195516,"오늘(6.11.)오후~밤 소나기, 돌풍, 천둥, 번개 및 우박 예보가 있습니다. 특히, 낙뢰에 주의하여 주시고 피해 예방에 만전을 기해 주시기 바랍니다.",cbs,고창군,6.11.,,"[('낙뢰에 주의하여 주시고', 0.5993)]"
2023/04/02 16:43:38,203,전라북도 고창군,194048,"금일 15:19경 상하면 송곡리 산불 발생. 입산 금지, 화재 진압 차량 교통 양보 등 안전사고 발생에 주의하시기 바랍니다.",cbs,고창군,,,"[('발생 입산 금지 화재', 0.692)]"
