create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2021/11/07 08:51:24,203,전라북도 고창군,128625,"11.7. 08:00 기준 관내 확진자(고창67,68번) 2명 발생. 10.30(토)10:20~12:20고창읍 황토건강방(사우나) 및",cbs,고창군청1,"고창67,68번",,"[('12 20고창읍 황토건강방 사우나', 0.5885)]"
2021/03/12 12:27:23,203,전라북도 고창군,97294,사회적거리두기 1.5단계 행정명령 유지(3.15일 0시~3.28일 24시)에 따라 5인이상 사적모임 금지는 현행대로 유지됩니다.,cbs,고창군청1,3.15일 0시~3.28일 24시,,"[('행정명령 유지', 0.5588)]"
2021/03/07 10:50:38,203,전라북도 고창군,96400,"고창15번 확진관련▶가족등 밀접촉자12명, 동선포함자89명과 추가 검사결과 56명등 총157명 전원 음성입니다▶마스크 착용을 잘해주신 좋은 결과입니다",cbs,고창군청1,,,"[('총157명 전원 음성입니다', 0.749)]"
2021/03/06 14:24:37,203,전라북도 고창군,96288,고창 15번 코로나 확진관련 검사결과 가족 등 밀접촉자 12명 전원 음성입니다.,cbs,고창군청1,,,"[('고창 15번 코로나', 0.5763)]"
2021/02/26 14:23:05,203,전라북도 고창군,94766,사회적거리두기 1.5단계 행정명령 2주간 연장(3. 1. 0시~3. 14. 24시) 하며 5인 이상 사적모임 금지는 현행대로 유지됩니다.,cbs,고창군청1,3. 1. 0시~3. 14. 24시,,"[('24시 하며 5인 이상', 0.5966)]"
2021/02/13 11:39:19,203,전라북도 고창군,91507,<사회적거리두기 1.5단계 조정방안>▲기간 : 2.15(월)0시~2.28(일)24시▲5인이상 사적모임 금지 유지(직계가족 예외 허용)됩니다.,cbs,고창군청1,월,,"[('금지 유지 직계가족 예외', 0.5494)]"
2021/01/17 18:17:59,203,전라북도 고창군,85155,사회적거리두기2단계1.31일까지 2주연장(홈페이지참고)▶종교시설주관모임·식사금지▶5명부터사적모임금지▶주기적환기소독▶마스크쓰기 등 방역수칙준수바랍니다,cbs,고창군청1,홈페이지참고,,"[('식사금지 5명부터사적모임금지 주기적환기소독 마스크쓰기', 0.5781)]"
2021/01/07 18:59:14,203,전라북도 고창군,82198,"폭설과 한파로 모든 도로 결빙 중, 특히 양고살재, 솔재, 암치재등 고개길 교통 위험, 차량운행 자제, 외출자제, 시설물점검에 각별히 주의바랍니다.",cbs,고창군청1,,,"[('도로 결빙 특히', 0.6757)]"
2021/01/03 17:21:17,203,전라북도 고창군,80589,사회적거리두기 2단계 연장 1월4일0시~1월17일24시까지. 5인부터 사적모임 금지/식당 등 다중이용시설 5명이상 예약 및 동반입장 금지,cbs,고창군청1,,,"[('1월17일24시까지 5인부터 사적모임', 0.6994)]"
2020/12/28 17:45:08,203,전라북도 고창군,78396,"12.29.0시부터거리두기2단계연장.유흥시설5종 집합금지,노래방 21시이후 운영중단,식당에서 5명부터 집합금지 및 21시 이후에는 포장·배달만 허용.",cbs,고창군청1,,,"[('유흥시설5종 집합금지', 0.7065)]"
2020/12/10 15:47:58,203,전라북도 고창군,71945,전북477번확진자 이동경로 12.1(화) 07:30~07:40 농어촌버스(해리사반→해리소재지)/10:55~11:20(해리소재지→해리사반)/,cbs,고창군청1,화,,"[('전북477번확진자 이동경로 12 07', 0.5961)]"
2020/12/08 15:56:55,203,전라북도 고창군,71337,"3주간 거리두기 2단계.유흥시설 5종 집합금지,노래방과 방문판매 등 21~05시 운영중단,식당은 21~05시 포장·배달만 허용.방역수칙 준수바랍니다.",cbs,고창군청1,,,"[('21 05시 포장 배달만', 0.6795)]"
2020/11/27 13:40:55,203,전라북도 고창군,67966,"관내 코로나19 확진자(전북295번)는 경남562번의 확진자의 접촉자로 역학조사 결과 동선은 11.23.(월) 13:30~16:10 OO의원이며,",cbs,고창군청1,전북295번,,"[('경남562번의 확진자의 접촉자로 역학조사', 0.6353)]"
2020/09/27 18:15:03,203,전라북도 고창군,59147,"추석특별방역강화기간(9.28.~10.11.) 유흥시설5종(콜라텍, 유흥주점, 단란주점, 감성주점·헌팅포차 형태의 운영업종)은 10월4일까지 집합금지",cbs,고창군청1,9.28.~10.11.,,"[('콜라텍 유흥주점 단란주점', 0.703)]"
2020/08/29 11:18:41,203,전라북도 고창군,51211,코로나 19 전파 차단을 위해 타지역 방문자가 많이 이용하는 운동시설 등 입장과 운동중에도 마스크쓰기와 거리두기등 방역수칙을 지켜 주시기 바랍니다.,cbs,고창군청1,,,"[('코로나 19 전파 차단을', 0.6102)]"
2020/07/01 13:49:22,203,전라북도 고창군,39198,우리군 인근지역에 코로나19 확진자 발생이 증가하고 있습니다. 군민들께서는 확진자 발생지역 방문을 자제하여 주시기 바랍니다.,cbs,고창군청1,,,"[('확진자 발생지역 방문을', 0.6851)]"
2020/06/27 09:39:31,203,전라북도 고창군,38753,"최근 익산시에서 코로나19 확진환자 발생했습니다 군민들께서는 각종모임, 종교행사, 체육시설 및 음식점 이용시 마스크착용등 방역수칙을 준수하여 주시고",cbs,고창군청1,,,"[('익산시에서 코로나19 확진환자 발생했습니다', 0.7792)]"
2020/04/04 10:12:25,203,전라북도 고창군,32555,정부는 코로나19 종식을 위해 밀접접촉 및 단체행사 금지 등 고강도 사회적거리두기 운동을 연장했으며 청정고창을 위해 군민들의 울력을 당부드립니다,cbs,고창군청1,,,"[('위해 밀접접촉 단체행사', 0.6362)]"
