create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2021/11/07 08:51:46,203,전라북도 고창군,128626,"10.31(일)~11.5(금)기간 중 고창읍 소재 희수배웰빙리듬댄스, 중년 8090나이트(콜라텍) 이용자 및 의심 증상시 검사 받으시기 바랍니다.",cbs,고창군청2,일,,"[('의심 증상시 검사', 0.5707)]"
2021/03/12 12:27:46,203,전라북도 고창군,97295,"5인이상 사적모임 금지에 직계가족, 상견례, 6세미만영유아는 예외 적용되며 8인까지 허용되고, 돌잔치전문점도 예외적용 됩니다.",cbs,고창군청2,,6세,"[('8인까지 허용되고 돌잔치전문점도', 0.5592)]"
2021/03/07 10:55:44,203,전라북도 고창군,96402,"일상속 감염지속▶수도권등 타지역 방문 및 방문인 만남 자제▶주말 정규예배, 미사, 법회 등 좌석수의 30%이내▶마스크착용 등 방역수칙 준수 바랍니다.",cbs,고창군청2,,,"[('만남 자제', 0.619)]"
2021/03/06 14:25:16,203,전라북도 고창군,96290,"하지만, 3.2~4일까지 고창읍사무소 민원실을 방문하신 군민중 의심증상이 있으신 분은 보건소 선별진료소(주말 오후6시까지)에서 검사 바랍니다.",cbs,고창군청2,주말 오후6시까지,,"[('고창읍사무소 민원실을', 0.7085)]"
2021/02/26 14:23:30,203,전라북도 고창군,94767,"유흥·단란주점,콜라텍등 유흥시설(8㎡당1명), 방문판매등직접판매홍보관(4㎡당1명)은 인원제한되고 22시~익일 05시까지 영업제한 현행대로 유지됩니다.",cbs,고창군청2,8㎡당1명,,"[('인원제한되고 22시 익일', 0.5965)]"
2021/01/17 18:18:15,203,전라북도 고창군,85156,"유흥시설5종,홀덤펍,파티룸집합금지 노래방,방문판매,실내체육시설,학원·교습소,독서실·스터디카페등 21시~익일05시운영중단,음식섭취금지,시설면적당인원제한",cbs,고창군청2,,,"[('음식섭취금지 시설면적당인원제한', 0.6289)]"
2021/01/07 18:59:29,203,전라북도 고창군,82199,"10일까지 폭설,한파 예상,▷독거노인 안부전화▷수도계량기 수돗물 조금틀어놓기 등 동파방지▷농수축산시설 피해예방조치▷전열기 사용증가로 화재주의바랍니다.",cbs,고창군청2,,,"[('10일까지 폭설 한파 예상', 0.7095)]"
2021/01/03 17:22:04,203,전라북도 고창군,80593,"숙박시설 객실수의 2/3 이내 예약제한, 초과인원 수용금지/종교시설 비대면 실시, 모임 식사 금지/실내체육시설 21시이후 운영중단",cbs,고창군청2,,,"[('객실수의 이내 예약제한 초과인원', 0.6118)]"
2020/12/28 17:45:15,203,전라북도 고창군,78397,"(2단계수칙안내)종교시설 비대면 예배 원칙,모임·식사 금지.실내전체와 실외집회, 스포츠 경기장 마스크착용 의무화.자세한내용은 ▶ c11.kr/kqcn",cbs,고창군청2,2단계수칙안내,,"[('경기장 마스크착용 의무화', 0.4955)]"
2020/12/10 15:48:22,203,전라북도 고창군,71946,12.4(금) 07:30~07:40 (해리사반→해리소재지)/07:40~08:20(해리소재지→고창터미널)/10:10~11:00(고창터미널→해리사반),cbs,고창군청2,금,,"[('해리소재지 고창터미널 10', 0.54)]"
2020/12/08 15:57:17,203,전라북도 고창군,71338,"(2단계)카페는 포장·배달만 허용. 음식섭취금지(목욕장업,오락실,멀티방,학원,영화관,공연장,PC방,독서실,스터디카페 등) 등 방역수칙 준수 바랍니다.",cbs,고창군청2,2단계,,"[('오락실 멀티방', 0.5679)]"
2020/11/27 13:41:14,203,전라북도 고창군,67967,"11.25.(수) 13:29~16:10 OO의원 방문 그 외는 자택기거. 접촉자6명 자가격리조치, 동선포함자 61명 검사진행중입니다.",cbs,고창군청2,수,,"[('방문 외는 자택기거', 0.4547)]"
2020/09/27 18:15:21,203,전라북도 고창군,59148,방문판매 직접판매홍보관은 10월 11일까지 집합 금지임을 알려드립니다. blog.naver.com/jbgokr/222099438732,cbs,고창군청2,,,"[('알려드립니다 blog naver com', 0.313)]"
2020/08/29 11:34:28,203,전라북도 고창군,51235,"코로나 19 전국 확산세 심각, 광주 등 타지역 방문과 모임 자제, 실내외 마스크 쓰기와 거리두기 등 방역수칙을 반드시 지켜 주시기 바랍니다.",cbs,고창군청2,,,"[('거리두기 방역수칙을 반드시', 0.6936)]"
2020/08/23 09:08:52,203,전라북도 고창군,48201,이시간때에 방문하신분은 보건소 선별진료소에서 코로나19 검사하여 주시기 바라며 서로의안전을 위하여 마스크를 반드시 착용하여 주시기 바랍니다.,cbs,고창군청2,,,"[('바라며 서로의안전을 위하여 마스크를', 0.7274)]"
2020/07/01 13:56:34,203,전라북도 고창군,39199,"손씻기, 기침예절, 마스크 착용 등 방역수칙을 준수하여 코로나19로부터 청정한 고창 유지에 동참하여 주시기 바랍니다.",cbs,고창군청2,,,"[('유지에 동참하여', 0.7111)]"
2020/06/27 09:40:00,203,전라북도 고창군,38754,"군민들께서는 코로나19 확진 환자가 발생한 수도권과 정읍시, 익산시 등 방문을 자제하여 청정 고창 유지에 적극 동참하여 주시기 바랍니다.",cbs,고창군청2,,,"[('방문을 자제하여', 0.6508)]"
2020/04/04 10:12:58,203,전라북도 고창군,32556,청명과 한식에 성묘등 입산시 화기소지 및 쓰레기소각 금지등 산불이 발생하지 않도록 유의해 주시고 휴일지킴이 약국은 영호약국(564-3666)입니다,cbs,고창군청2,564-3666,,"[('금지등 산불이 발생하지 않도록', 0.6513)]"
