create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2023/01/24 17:43:16,182,전라남도 곡성군,191701,"매우 강한 한파 영향 지속 ▲보행자 미끄럼 주의 ▲차량 교통사고주의(교량, 응달지역) ▲ 취약계층 외출자제 등 안전에 유의하시기 바랍니다.",cbs,곡성군청,"교량, 응달지역",,"[('보행자 미끄럼 주의', 0.7328)]"
2023/01/24 11:10:01,182,전라남도 곡성군,191624,"한파경보 발효 중. 도로결빙으로 인한 안전사고, 농축산물피해, 수도관·계량기 동파 등에 유의하시고 내 집 앞 눈 치우기에 동참하여 주시기 바랍니다.",cbs,곡성군청,,,"[('한파경보 발효 도로결빙으로', 0.7315)]"
2023/01/23 15:34:00,182,전라남도 곡성군,191415,"오늘밤 21시 한파주의보 발효예정, 수도관 동파 방지, 노약자 외출자제, 온열기 화재방지 등 주의 바랍니다.",cbs,곡성군청,,,"[('발효예정 수도관 동파', 0.7088)]"
2023/01/20 09:00:38,182,전라남도 곡성군,190967,"도로 결빙(블랙 아이스)으로 인한 차량운행 주의 및 감속운행 바라며, 노약자는 외출을 자제하여 주시기 바랍니다.",cbs,곡성군청,블랙 아이스,,"[('주시기 바랍니다', 0.7258)]"
2022/12/23 07:48:21,182,전라남도 곡성군,186840,"현재 대설경보 발효중!많은 적설로 인한 도로결빙이 우려되어 출근길 안전 운행, 야외 활동 자제, 비닐하우스 등 시설물관리에 철저를 기하시기 바랍니다.",cbs,곡성군청,,,"[('인한 도로결빙이', 0.7023)]"
2022/12/22 18:04:02,182,전라남도 곡성군,186720,"현재 대설주의보 발효중! 곡성군 계속되는 눈으로 인한 도로 결빙 우려, 수도관 동파방지, 농축산물 피해 예방 등 안전에 유의하여 주시기 바랍니다.",cbs,곡성군청,,,"[('동파방지 농축산물', 0.7522)]"
2022/10/15 11:50:12,182,전라남도 곡성군,177021,"곡성군 선별진료소 주말,공휴일 운영시간 변경안내 9시~12시까지 / 10.15.(토)부터~ ☎ 061-360-8945",cbs,곡성군청,토,,"[('주말 공휴일', 0.5746)]"
2022/09/05 21:11:52,182,전라남도 곡성군,171392,"오늘 21:00경 곡성군 산사태 발생위험 높음. 산림, 급경사지 등 위험지역 주민과 방문객은 유사시 안전지대로 반드시 대피하여 주시기 바랍니다.",cbs,곡성군청,,,"[('곡성군 산사태 발생위험 높음', 0.6256)]"
2022/09/05 21:03:22,182,전라남도 곡성군,171382,"오늘 21:00 곡성지역 태풍 경보 발효. 태풍 정보를 공유하고, 하천, 세월교 등 위험지역 접근금지, 논밭 관리행위 자제 등 안전에 주의 바랍니다.",cbs,곡성군청,,,"[('정보를 공유하고 하천 세월교', 0.5542)]"
2022/09/05 14:11:13,182,전라남도 곡성군,171148,"오늘 14:00경 곡성지역 태풍주의보 발효. 태풍정보를 공유하고, 하천, 세월교 등 위험지역 접근금지, 논밭 관리행위 자제 등 안전에 주의 바랍니다.",cbs,곡성군청,,,"[('00경 곡성지역 태풍주의보 발효', 0.5642)]"
