create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2023/01/27 10:00:00,223,충청남도 공주시,192044,"30일부터 실내 마스크 착용 권고(단, 의료기관, 감염취약시설, 대중교통 의무 착용) ▲ 1. 27.(0시 기준) 확진자 63명 발생",cbs,공주시청,"단, 의료기관, 감염취약시설, 대중교통 의무 착용",,"[('대중교통 의무 착용', 0.6087)]"
2023/01/26 09:59:59,223,충청남도 공주시,191924,"30일부터 실내 마스크 착용 권고(단, 의료기관, 감염취약시설, 대중교통 의무 착용) ▲ 1. 26.(0시 기준) 확진자 75명 발생",cbs,공주시청,"단, 의료기관, 감염취약시설, 대중교통 의무 착용",,"[('착용 26', 0.6027)]"
2023/01/25 09:59:59,223,충청남도 공주시,191786,"30일부터 실내 마스크 착용 권고(단, 의료기관, 감염취약시설, 대중교통 의무 착용) ▲ 1. 25.(0시 기준) 확진자 45명 발생",cbs,공주시청,"단, 의료기관, 감염취약시설, 대중교통 의무 착용",,"[('실내 마스크 착용 권고', 0.5978)]"
2023/01/24 09:59:20,223,충청남도 공주시,191584,"설연휴 기간 마스크 착용, 증상발현시 검사 받고 집에 머무르기 등 개인방역수칙 준수 ▲ 1. 24.(0시 기준) 확진자 29명 발생",cbs,공주시청,0시 기준,,"[('개인방역수칙 준수', 0.6684)]"
2023/01/23 09:59:50,223,충청남도 공주시,191331,"설연휴 기간 마스크 착용, 증상발현시 검사 받고 집에 머무르기 등 개인방역수칙 준수 ▲ 1. 23.(0시 기준) 확진자 20명 발생",cbs,공주시청,0시 기준,,"[('머무르기 개인방역수칙', 0.7133)]"
2023/01/22 09:59:59,223,충청남도 공주시,191236,"설 연휴 기간 마스크 착용, 증상 발현 시 검사받고 집에 머무르기 등 개인방역수칙 준수 ▲ 1. 22.(0시 기준) 확진자 29명 발생",cbs,공주시청,0시 기준,,"[('발현 검사받고 집에 머무르기', 0.5999)]"
2023/01/21 10:00:03,223,충청남도 공주시,191138,"설연휴 기간 마스크 착용, 증상발현시 검사 받고 집에 머무르기 등 개인방역수칙 준수 ▲ 1. 21.(0시 기준) 확진자 44명 발생",cbs,공주시청,0시 기준,,"[('머무르기 개인방역수칙', 0.6941)]"
2023/01/20 09:58:03,223,충청남도 공주시,190985,"설연휴 기간 마스크 착용, 증상발현시 검사 받고 집에 머무르기 등 개인방역수칙 준수 ▲ 1. 20.(0시 기준) 확진자 52명 발생",cbs,공주시청,0시 기준,,"[('머무르기 개인방역수칙', 0.693)]"
2023/01/19 10:00:07,223,충청남도 공주시,190872,12세 이상 기초접종 완료자 동절기 추가접종 참여. 60세 이상 위중증 예방 위해 추가접종 적극 권고 ▲ 1. 19.(0시 기준) 확진자 49명 발생,cbs,공주시청,0시 기준,12세,"[('12세 이상 기초접종', 0.7057)]"
2023/01/18 10:01:47,223,충청남도 공주시,190748,12세 이상 기초접종 완료자 동절기 추가접종 참여. 60세 이상 위중증 예방 위해 추가접종 적극 권고 ▲ 1. 18.(0시 기준) 확진자 61명 발생,cbs,공주시청,0시 기준,12세,"[('12세 이상 기초접종', 0.7051)]"
2023/01/17 09:59:59,223,충청남도 공주시,190616,12세 이상 기초접종 완료자 동절기 추가접종 참여. 60세 이상 위중증 예방 위해 추가접종 적극 권고 ▲ 1. 17.(0시 기준) 확진자 48명 발생,cbs,공주시청,0시 기준,12세,"[('위해 추가접종 적극 권고', 0.6901)]"
2023/01/16 10:00:00,223,충청남도 공주시,190481,12세 이상 기초접종 완료자 동절기 추가접종 참여. 60세 이상 위중증 예방 위해 추가접종 권고. ▲ 1. 16.(0시 기준) 확진자 19명 발생,cbs,공주시청,0시 기준,12세,"[('기준 확진자 19명', 0.6591)]"
2023/01/14 10:00:02,223,충청남도 공주시,190179,"60세 이상 위중증 예방 위해 동절기 추가접종 적극 권고. 마스크 착용, 손씻기 등 개인방역수칙 준수 ▲ 1. 14.(0시 기준) 확진자 61명 발생",cbs,공주시청,0시 기준,60세,"[('60세 이상', 0.6616)]"
2023/01/13 10:00:00,223,충청남도 공주시,190026,"60세 이상 위중증 예방 위해 동절기 추가접종 적극 권고. 마스크 착용, 손씻기 등 개인방역수칙 준수 ▲ 1. 13.(0시 기준) 확진자 58명 발생",cbs,공주시청,0시 기준,60세,"[('손씻기 개인방역수칙', 0.6381)]"
2023/01/12 10:00:00,223,충청남도 공주시,189880,"60세 이상 위중증 예방 위해 동절기 추가접종 적극 권고. 마스크 착용, 손씻기 등 개인방역수칙 준수 ▲ 1. 12.(0시 기준) 확진자 60명 발생",cbs,공주시청,0시 기준,60세,"[('손씻기 개인방역수칙', 0.5619)]"
2023/01/11 09:59:59,223,충청남도 공주시,189749,"건강한 겨울나기 위해 코로나19 동절기 추가접종 권고. 마스크 착용, 손씻기 등 개인방역수칙 준수 ▲ 1. 11.(0시 기준) 확진자 79명 발생",cbs,공주시청,0시 기준,,"[('동절기 추가접종 권고 마스크', 0.6788)]"
2023/01/10 09:59:56,223,충청남도 공주시,189622,"건강한 겨울나기 위해 코로나19 동절기 추가접종 권고. 마스크 착용, 손씻기 등 개인방역수칙 준수 ▲ 1. 10.(0시 기준) 확진자 119명 발생",cbs,공주시청,0시 기준,,"[('기준 확진자 119명 발생', 0.707)]"
2023/01/09 09:59:59,223,충청남도 공주시,189494,"건강한 겨울나기 위해 코로나19 동절기 추가접종 권고. 마스크 착용, 손씻기 등 개인방역수칙 준수 ▲ 1. 9.(0시 기준) 확진자 33명 발생",cbs,공주시청,0시 기준,,"[('개인방역수칙 준수', 0.6641)]"
2023/01/08 09:59:41,223,충청남도 공주시,189345,중국·홍콩·마카오발 국내 입국자 입국 전 PCR검사 및 큐코드 입력. 마스크 쓰기 등 개인방역수칙 준수 ▲ 1. 8.(0시 기준) 확진자 65명 발생,cbs,공주시청,0시 기준,,"[('마스크 쓰기 개인방역수칙', 0.3877)]"
2023/01/07 10:01:50,223,충청남도 공주시,189208,"중국, 홍콩·마카오 입국자(내국인·장기체류 외국인) 입국 후 1일이내 PCR검사 의무 시행 ▲ 1. 7.(0시 기준) 확진자 94명 발생",cbs,공주시청,내국인·장기체류 외국인,,"[('의무 시행 0시 기준', 0.435)]"
