create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2023/10/23 20:52:58,99,광주광역시 광산구,206215,"금일 19:39경 광산구 소촌동 855에서 발생한 화재는 화재진압 완료되었으니, 교통통행에 지장없음을 알려드립니다.",cbs,광산구,,,"[('화재진압 완료되었으니 교통통행에', 0.6064)]"
2023/08/23 13:32:17,99,광주광역시 광산구,204197,8월23일 14:00~14:20 민방위 훈련 실시로 일부도로 차량이동 통제 실시합니다. ▶월곡시장→산정공원로 구간(14시 20분 경보해제 후 일상복귀),cbs,광산구,14시 20분 경보해제 후 일상복귀,,"[('실시합니다 월곡시장 산정공원로', 0.5484)]"
2023/07/24 10:07:28,99,광주광역시 광산구,199657,"장성댐 방류로 황룡강 수위 상승이 예상되오니 하천변 접근 금지, 사전 대피 등 안전에 유의하시기 바랍니다.",cbs,광산구,,,"[('하천변 접근', 0.6889)]"
2023/07/24 06:45:56,99,광주광역시 광산구,199623,오늘 광산구 지역 많은 비로 산사태 경보 발령. 산림 주변 위험지역 통행 금지 및 대피명령 있을 시 대피장소나 안전지대로 반드시 대피 바랍니다.,cbs,광산구,,,"[('산림 주변 위험지역 통행', 0.5702)]"
2023/07/24 06:28:58,99,광주광역시 광산구,199621,"산동교 하부도로, 운남교 하부도로, 신덕지하차도 통제중이오니 우회하여 주시기 바랍니다.",cbs,광산구,,,"[('신덕지하차도 통제중이오니 우회하여 주시기', 0.5804)]"
2023/07/24 03:30:43,99,광주광역시 광산구,199608,"광산구 풍영정천 2교 , 장록교 주변 홍수 주의 단계로 방송 등을 통해 홍수 상황을 확인하시고, 하천변 이용을 금지하시기 바랍니다.",cbs,광산구,,,"[('단계로 방송 등을 통해', 0.7585)]"
2023/07/24 02:01:56,99,광주광역시 광산구,199601,"황룡강 홍수주의보 발령, 하천 수위 상승이 예상되오니 하천변 산책로 등 접근 금지, 위험지역 대피 등 안전에 주의하시기 바랍니다.",cbs,광산구,,,"[('안전에 주의하시기 바랍니다', 0.7576)]"
2023/07/24 00:52:15,99,광주광역시 광산구,199597,"24일 새벽 많은 비가 예상됨에 따라 하부도로(극락, 광신, 운남 등), 주요 지하차도를 통제하오니 인근 차량은 우회하시기 바랍니다.",cbs,광산구,"극락, 광신, 운남 등",,"[('하부도로 극락', 0.6204)]"
2023/07/23 21:59:13,99,광주광역시 광산구,199579,"황룡강 등 하천 수위 상승이 예상되오니 하천변 자전거도로, 산책로, 하부도로 접근을 금하여 주시기 바랍니다.",cbs,광산구,,,"[('산책로 하부도로', 0.7655)]"
2023/07/18 23:07:48,99,광주광역시 광산구,198935,"진곡산단 진입도로, 임방울대로 등 시내 주요도로에 도로파임(포트홀)이 다수 발생하여 위험하오니, 서행 안전 운전하시기 바랍니다.",cbs,광산구,포트홀,,"[('시내 주요도로에', 0.6744)]"
2023/07/17 07:51:23,99,광주광역시 광산구,198372,영산강 수위 상승으로 광신대교 하부도로를 통제하오니 주변 도로 이용 차량은 우회하시기 바랍니다.,cbs,광산구,,,"[('차량은 우회하시기 바랍니다', 0.6365)]"
2023/07/15 18:22:19,99,광주광역시 광산구,197990,"집중호우에 따라 광주공항역사거리에서 우산동 방향 차량 통제중, 인근 차량은 우회하여 운행 바랍니다.",cbs,광산구,,,"[('우회하여 운행', 0.5975)]"
2023/07/15 12:09:31,99,광주광역시 광산구,197856,장성댐 방류로 하천수위 상승이 예상되오니 황룡강 등 하천변 접근금지 및 안전한 곳으로 이동바랍니다.,cbs,광산구,,,"[('장성댐 방류로', 0.6388)]"
2023/07/14 10:38:30,99,광주광역시 광산구,197362,7. 14.(금) 10:10 황룡강 장록교 홍수주의보 발효에 따라 하천변 이용을 자제하시고 안전에 유의하시기 바랍니다.,cbs,광산구,금,,"[('장록교 홍수주의보 발효에', 0.6337)]"
2023/07/14 07:25:08,99,광주광역시 광산구,197288,"7. 14.(금) 07시 광산구 본량동, 임곡동, 삼도동, 평동, 어룡동 지역에 산사태 주의보를 발령하오니 안전에 유의하시기 바랍니다.",cbs,광산구,금,,"[('광산구 본량동 임곡동', 0.5999)]"
2023/07/13 19:00:57,99,광주광역시 광산구,197131,"호우에 따른 산사태 우려로 인명피해 우려지역인 하천산책로, 자전거도로, 등산로를 금일부터 통제함을 알려드립니다.",cbs,광산구,,,"[('통제함을 알려드립니다', 0.7606)]"
2023/07/11 13:51:27,99,광주광역시 광산구,196794,광주공항사거리에서 우산동 방면 호우 침수로 교통안전사고 예방을 위해 서행하시기 바랍니다.,cbs,광산구,,,"[('우산동 방면 호우', 0.6574)]"
2020/08/07 23:56:32,99,광주광역시 광산구,42890,8.7. 23:50 산사태 발생 위험 높음. 산림 및 발생 우려지역 주민과 방문객은 입산 금지 및 산에서 떨어진 안전한 곳으로 대피해 주시기 바랍니다.,cbs,광산구,,,"[('안전한 곳으로 대피해', 0.4961)]"
