create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2023/11/18 08:26:09,183,전라남도 광양시,206843,"밤사이 내린 눈과 영하의 기온으로 인해 결빙이 우려되오니 운전시 서행하여 주시기바라며, 외출 시 미끄럼 사고에 유의하여 주시기 바랍니다.",cbs,광양시,,,"[('서행하여 주시기바라며 외출 미끄럼', 0.7607)]"
2023/08/08 13:00:12,183,전라남도 광양시,201724,"폭염경보 지속 발효 중. 물 마시기, 무더위쉼터 이용, 논ㆍ밭 등 야외활동 자제, 실외작업장 안전수칙(물,그늘,휴식) 지키기 등 건강에 유의바랍니다.",cbs,광양시,"물,그늘,휴식",,"[('발효 마시기 무더위쉼터', 0.6754)]"
2023/08/07 13:03:40,183,전라남도 광양시,201574,"폭염경보 지속 발효 중. 물 마시기, 무더위쉼터 이용, 논ㆍ밭 등 야외활동 자제, 실외작업장 안전수칙(물,그늘,휴식) 지키기 등 건강에 유의바랍니다.",cbs,광양시,"물,그늘,휴식",,"[('발효 마시기 무더위쉼터', 0.6754)]"
2023/08/06 12:54:23,183,전라남도 광양시,201418,"폭염주의보 지속 발효 중. 물 마시기, 무더위쉼터 이용, 논ㆍ밭 등 야외활동 자제, 실외작업장 안전수칙(물,그늘,휴식) 지키기 등 건강에 유의바랍니다.",cbs,광양시,"물,그늘,휴식",,"[('마시기 무더위쉼터', 0.6726)]"
2023/08/05 12:58:36,183,전라남도 광양시,201231,"폭염경보 지속 발효 중. 물 마시기, 무더위쉼터 이용, 논ㆍ밭 등 야외활동 자제, 실외작업장 안전수칙(물,그늘,휴식) 지키기 등 건강에 유의바랍니다.",cbs,광양시,"물,그늘,휴식",,"[('발효 마시기 무더위쉼터', 0.6754)]"
2023/08/04 13:00:47,183,전라남도 광양시,201054,"폭염경보 지속 발효 중. 물 마시기, 무더위쉼터 이용, 논ㆍ밭 등 야외활동 자제, 실외작업장 안전수칙(물,그늘,휴식) 지키기 등 건강에 유의바랍니다.",cbs,광양시,"물,그늘,휴식",,"[('발효 마시기 무더위쉼터', 0.6754)]"
2023/08/03 13:13:05,183,전라남도 광양시,200906,"폭염경보 지속 발효 중. 물 마시기, 무더위쉼터 이용, 논ㆍ밭 등 야외활동 자제, 실외작업장 안전수칙(물,그늘,휴식) 지키기 등 건강에 유의바랍니다.",cbs,광양시,"물,그늘,휴식",,"[('발효 마시기 무더위쉼터', 0.6754)]"
2023/08/02 13:01:04,183,전라남도 광양시,200766,"폭염경보 지속 발효 중. 물 마시기, 무더위쉼터 이용, 논ㆍ밭 등 야외활동 자제, 실외작업장 안전수칙(물,그늘,휴식) 지키기 등 건강에 유의바랍니다.",cbs,광양시,"물,그늘,휴식",,"[('발효 마시기 무더위쉼터', 0.6754)]"
2023/08/01 13:07:39,183,전라남도 광양시,200624,"폭염경보 지속 발효 중. 물 마시기, 무더위쉼터 이용, 논ㆍ밭 등 야외활동 자제, 실외작업장 안전수칙(물,그늘,휴식) 지키기 등 건강에 유의바랍니다.",cbs,광양시,"물,그늘,휴식",,"[('발효 마시기 무더위쉼터', 0.6754)]"
2023/07/31 13:03:37,183,전라남도 광양시,200476,"폭염경보 지속 발효 중. 물 마시기, 무더위쉼터 이용, 논ㆍ밭 등 야외활동 자제, 실외작업장 안전수칙(물,그늘,휴식) 지키기 등 건강에 유의바랍니다.",cbs,광양시,"물,그늘,휴식",,"[('발효 마시기 무더위쉼터', 0.6754)]"
2023/07/28 13:29:53,183,전라남도 광양시,200061,"폭염주의보 지속 발효 중. 물 마시기, 무더위쉼터 이용, 논ㆍ밭 등 야외활동 자제, 실외작업장 안전수칙(물,그늘,휴식) 지키기 등 건강에 유의바랍니다.",cbs,광양시,"물,그늘,휴식",,"[('마시기 무더위쉼터', 0.6726)]"
2023/07/18 15:50:47,183,전라남도 광양시,198709,15시 45분부터 가야산 중복도로 법면 유실 징후에 따라 도로 양방향(중마동↔광영동)을 통제하오니 우회하시기 바랍니다.,cbs,광양시,중마동↔광영동,,"[('징후에 따라 도로', 0.67)]"
2023/07/18 09:53:33,183,전라남도 광양시,198577,"호우경보 발효에 따른 하천 수위 급상승 중으로 광양읍 서천, 동천변 등 하천변 산책로 출입을 금지하여 주시기 바랍니다.",cbs,광양시,,,"[('출입을 금지하여 주시기', 0.7509)]"
2023/07/12 04:32:07,183,전라남도 광양시,196917,"호우로 인하여 우림 필유에서 광양식자재 가는 방향, 홈플러스 앞 사거리 도로침수에 따라 도로 통제 중이니 우회하시기 바랍니다.",cbs,광양시,,,"[('방향 홈플러스 사거리', 0.6868)]"
2023/06/27 22:06:24,183,전라남도 광양시,195972,6월27일 22시 현재 갑작스런 호우로 인한 침수로 중마동 지역 차량 통행불가 지역이 많습니다. 가급적 차량운행 자제 바랍니다.,cbs,광양시,,,"[('지역이 많습니다 가급적', 0.5997)]"
2020/10/28 13:51:12,183,전라남도 광양시,62607,"▶제외: 소상공인 지원자, 구직급여자, 기초 생계급여자, 긴급 생계지원자 등 ▶기간: 11.6.까지 읍면동 주민센터 신청(문의797-2935,3144)",cbs,광양시,"문의797-2935,3144",,"[('긴급 생계지원자 기간 11', 0.662)]"
2020/10/28 13:50:52,183,전라남도 광양시,62606,위기가구 긴급생계지원 안내 ▶ 대상: 코로나19로 소득이 감소한 기준 중위소득 75% 이하 위기가구,cbs,광양시,,,"[('대상 코로나19로', 0.6208)]"
