create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2023/08/06 14:42:55,100,광주광역시 남구,201465,"폭염절정. 예방 3대수칙(물,그늘,휴식)준수. 낮 시간대 야외활동 및 작업 자제. 모자나 양산 사용 등 폭염 질환에 대비바랍니다.",cbs,광주광역시 남구,"물,그늘,휴식",,"[('자제 모자나 양산', 0.6585)]"
2023/08/05 14:13:32,100,광주광역시 남구,201274,기온 급상승. 폭염경고 지속 발효중. 폭염취약시간(12~17시)대 농업 및 야외활동 자제. 충분한 물 마시기와 휴식으로 건강 유념 바랍니다.,cbs,광주광역시 남구,12~17시,,"[('12 17시 농업', 0.6113)]"
2023/08/03 15:58:10,100,광주광역시 남구,200961,"폭염경보 지속 발효중. 야외활동을 자제하시고, 무더위 쉼터 이용 및 그늘·실내에서 휴식 등 건강관리에 주의하시기 바랍니다.",cbs,광주광역시 남구,,,"[('지속 발효중 야외활동을 자제하시고', 0.6858)]"
2023/08/02 10:25:17,100,광주광역시 남구,200721,"폭염경보 지속 발효중. 취약시간(12~17시) 야외활동 자제(논,밭,공사장 등), 충분한 물 마시기 등 건강관리에 유의 바랍니다.",cbs,광주광역시 남구,12~17시,,"[('폭염경보 지속', 0.6323)]"
2023/07/26 10:45:55,100,광주광역시 남구,199809,10시 폭염경보 발효. 취약시간(14시~17시)에는 야외활동 자제하고 충분한 휴식 및 물섭취로 온열질환 예방에 철저를 기하여 주시기 바랍니다.,cbs,광주광역시 남구,14시~17시,,"[('철저를 기하여', 0.6873)]"
2023/07/21 16:32:22,100,광주광역시 남구,199122,7월 18일자 통행금지 한 송암로24번길 일부구간에 대해 위험요소가 제거되어 21일(금) 통행금지를 해지하오니 참고하시기 바랍니다.,cbs,광주광역시 남구,금,,"[('18일자 통행금지', 0.6447)]"
2023/07/21 16:16:46,100,광주광역시 남구,199119,7월 28일자 통행금지 한 송암로24번길 일부구간에 대해 위험요소가 제거되어 21일(금) 통행금지를 해지합니다.,cbs,광주광역시 남구,금,,"[('위험요소가 제거되어 21일', 0.585)]"
2023/07/15 19:28:27,100,광주광역시 남구,198027,기습적인 폭우로 산사태 및 하천 수위상승이 예상되오니 위험지역 접근을 금지하시고 인명 및 침수차량 피해가 발생하지 않도록 유의하시기 바랍니다.,cbs,광주광역시 남구,,,"[('기습적인 폭우로', 0.7185)]"
2023/07/15 18:34:19,100,광주광역시 남구,197998,"집중호우로 산사태 위험지역, 급경사지(인근 상가 등), 하천변 산책로 등 주민은 안전한 곳으로 이동하여 주시기 바랍니다.",cbs,광주광역시 남구,인근 상가 등,,"[('상가 하천변 산책로', 0.7811)]"
2023/06/29 18:49:16,100,광주광역시 남구,196174,"내일까지 많은 비가 예상되오니, 급경사지, 하천변 등 위험지역 자제 및 지하 침수피해에 대비하시고 안전에 유의하여 주시기 바랍니다.",cbs,광주광역시 남구,,,"[('예상되오니 급경사지', 0.7421)]"
2023/02/14 11:48:16,100,광주광역시 남구,193010,"백운광장일원 상수관로 복구 작업으로 인해 금일 오후12시~18시까지 진월동, 주월동 일원에 흐린물이 출수가 될 수 있으니 주의하시기 바랍니다.",cbs,광주광역시 남구,,,"[('있으니 주의하시기 바랍니다', 0.6887)]"
