create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2023/11/18 05:13:35,98,광주광역시 전체,206812,4시 40분 대설주의보 발효. 약 5cm 적설 될 것으로 예상되고 강한 바람이 예상되오니 외출 시 유의하시기 바랍니다.,cbs,광주광역시,,,"[('것으로 예상되고 강한 바람이', 0.485)]"
2023/09/16 13:53:09,98,광주광역시 전체,205198,"광주지역 호우주의보 발효 낙뢰를 동반한 50~150mm의 강한 비가 예상 되므로 하천변, 경사지 접근 금지/지하시설 이용에 유의하시기 바랍니다.",cbs,광주광역시,,,"[('지하시설 이용에 유의하시기 바랍니다', 0.5238)]"
2023/09/04 10:44:53,98,광주광역시 전체,204862,"10시 폭염주의보 발효. 현재 체감온도 31℃. 부모님께 안부전화해 주시고, 야외활동 시 양산쓰기 등 폭염예방수칙을 적극 실천하여 주시기 바랍니다.",cbs,광주광역시,,,"[('실천하여 주시기', 0.7445)]"
2023/08/29 17:50:09,98,광주광역시 전체,204570,"모레까지 50~120mm의 많은 비가 예상되므로 저지대, 하천변 산책로, 경사지 접근 금지 / 지하시설 이용에 유의하시기 바랍니다.",cbs,광주광역시,,,"[('접근 금지 지하시설', 0.4578)]"
2023/08/23 16:53:12,98,광주광역시 전체,204248,"현재 100mm이상 예상되는 강한 비가 내리고 있으니, 하천변 산책로, 야영장, 산간계곡 등 위험지역 출입금지 등 안전사고에 유의하시기 바랍니다.",cbs,광주광역시,,,"[('안전사고에 유의하시기 바랍니다', 0.4677)]"
2023/08/23 15:39:54,98,광주광역시 전체,204230,"15시 20분 광주지역 호우주의보 발효 강한 비가 예상되므로 저지대, 하천변, 경사지 접근 금지 / 지하시설 이용에 각별히 유의하시기 바랍니다.",cbs,광주광역시,,,"[('지하시설 이용에 각별히', 0.7127)]"
2023/08/22 10:58:34,98,광주광역시 전체,203941,"광주 지역 폭염경보 지속 발령 중, 야외활동 시 충분한 물 섭취와 모자/양산 쓰기, 노약자분들께는 안부 확인 등 건강관리에 유의하시기 바랍니다.",cbs,광주광역시,,,"[('폭염경보 지속', 0.7104)]"
2023/08/20 11:11:16,98,광주광역시 전체,203762,"광주 전 지역 폭염주의보 발효 중 ▲외출 및 야외 작업 자제 ▲폭염안전 3대수칙(물, 그늘, 휴식) 준수 등 안전관리에 유의바랍니다.",cbs,광주광역시,"물, 그늘, 휴식",,"[('광주 지역 폭염주의보', 0.6723)]"
2023/08/18 19:25:31,98,광주광역시 전체,203655,광주지역 호우경보 발효 강한 비가 예상되므로 하천변 출입금지 및 지하시설 이용에 각별히 유의하시기 바랍니다.,cbs,광주광역시,,,"[('강한 비가 예상되므로 하천변', 0.7224)]"
2023/08/16 13:25:39,98,광주광역시 전체,203443,"광주지역 폭염경보 지속! 충분한 물 섭취와 함께 현기증, 메스꺼움, 두통 증세가 있으면 시원한 장소를 이용하는 등 온열질환에 대비하여 주십시오.",cbs,광주광역시,,,"[('함께 현기증 메스꺼움 두통', 0.7525)]"
2023/08/15 10:41:51,98,광주광역시 전체,203316,"폭염경보 발효중. ▲폭염예방수칙(물,그늘,휴식)준수 ▲모자나 양산 쓰기 ▲부모님께 안부전화하기 등을 적극 실천해 주십시오",cbs,광주광역시,"물,그늘,휴식",,"[('발효중 폭염예방수칙 그늘', 0.6263)]"
2023/08/14 21:30:56,98,광주광역시 전체,203284,"광주지역 호우주의보 발효. 강한 비가 예상되므로 하천변, 경사지 출입을 금지하여 주시기 바랍니다.",cbs,광주광역시,,,"[('금지하여 주시기', 0.7516)]"
2023/08/10 11:26:21,98,광주광역시 전체,202687,태풍 북상중입니다. 우리지역 평균누적강수량 80㎜ 기록 중. 지반약화로 산사태 등이 우려되니 위험지역 방문을 자제하시기 바랍니다.,cbs,광주광역시,,,"[('우려되니 위험지역 방문을', 0.5384)]"
2023/08/10 05:33:46,98,광주광역시 전체,202299,"현재 강수량 35mm, 최대풍속 17.5m/s. 제6호 태풍이 접근하고 있으니 출근길에 유의하여 주시기 바랍니다.",cbs,광주광역시,,,"[('접근하고 있으니 출근길에 유의하여', 0.4444)]"
2023/08/09 20:47:49,98,광주광역시 전체,202221,"광주지역에 강력한 태풍이 오고 있습니다. 되도록 외출 금지하시고 산사태, 강변 등 위험 구간은 피하시고 부모님께 안부 전화하시기 바랍니다.",cbs,광주광역시,,,"[('구간은 피하시고', 0.7529)]"
