create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2023/08/30 17:49:16,26,경기도 광주시,204686,"호우가 지속되고 있습니다. 임야 주변 또는 임야 내 산사태 우려 지역에 계시는 분들은 즉시 이동하시기를 바라며, 시민 안전에 유의 바랍니다.",cbs,광주시,,,"[('시민 안전에 유의', 0.6981)]"
2023/08/29 18:34:22,26,경기도 광주시,204571,"관내 호우로 산사태 발생이 우려됩니다. 산림 주변 활동을 자제하시고, 기상정보 등을 확인하시어 산사태로 인한 피해가 없도록 주의 바랍니다.",cbs,광주시,,,"[('산사태로 인한 피해가 없도록', 0.6254)]"
2023/08/23 22:14:57,26,경기도 광주시,204296,산사태 위기경보 주의단계로 산사태 발생 위험이 높으므로 산림 인접 주민께서는 유사시 인근 마을회관으로 대피하시기 바랍니다.,cbs,광주시,,,"[('높으므로 산림 인접 주민께서는', 0.6895)]"
2023/08/23 15:16:45,26,경기도 광주시,204224,8월 23~24일 집중호우에 따라 하천(경안천 등)산책로 출입을 통제하오니 시민분들께서는 인명피해가 발생하지 않도록 협조하여 주시기 바랍니다.,cbs,광주시,경안천 등,,"[('따라 하천 경안천 산책로', 0.6905)]"
2023/08/23 11:13:29,26,경기도 광주시,204140,"오늘(8월 23일) 14시부터 20분간 송정교~교육청 구간에서 민방위훈련 차량이동통제가 실시되오니, 훈련에 적극 협조하여 주시기 바랍니다.",cbs,광주시,8월 23일,,"[('교육청 구간에서 민방위훈련', 0.5695)]"
2023/08/23 10:55:20,26,경기도 광주시,204126,"오늘(8월 23일) 14시부터 20분간 송정교~교육청 구간에서 민방위훈련 차량이동통제가 실시되오니, 통행차량은 교통정보 확인 및 우회 바랍니다.",cbs,광주시,8월 23일,,"[('교육청 구간에서 민방위훈련', 0.531)]"
2023/08/22 20:06:27,26,경기도 광주시,204030,8.22~24일 집중호우에 따라 하천(경안천 등) 산책로 출입을 통제하오니 시민분들께서는 인명피해가 발생하지 않도록 협조하여 주시기 바랍니다.,cbs,광주시,경안천 등,,"[('발생하지 않도록 협조하여 주시기', 0.6321)]"
2023/08/22 19:32:52,26,경기도 광주시,204024,금일 강한 비가 예보되어 산사태 발생 위험이 높으므로 배수로를 정비하여 주시기 바라며 유사시 인근 마을회관 등으로 대피하시기 바랍니다.,cbs,광주시,,,"[('강한 비가 예보되어 산사태', 0.7183)]"
2023/08/14 10:30:40,98,광주광역시 전체,203215,"광주지역 폭염주의보 발효중. 체감온도가 31℃를 웃돌고 있습니다. 부모님께 안부전화하기, 야외활동 시 양산쓰기 등 폭염예방수칙을 적극 실천해 주십시오.",cbs,광주시,,,"[('부모님께 안부전화하기', 0.7049)]"
2023/08/13 12:33:17,26,경기도 광주시,203145,"오늘 광주시 31℃ 이상 무더운 날씨 예상 ▲논,밭 야외작업 자제 ▲ 물 자주 마시기 ▲ 그늘에서 휴식 등 폭염안전수칙 준수하여 건강에 유의바랍니다.",cbs,광주시,,,"[('이상 무더운', 0.5972)]"
2023/08/10 17:19:22,26,경기도 광주시,202968,"태풍(카눈) 북상중으로 강풍에 취약한 옥외 간판, 도로변 입간판, 에어라이트, 배너, 현수막 등 정비 및 이동 조치하여 시민 안전에 유의바랍니다.",cbs,광주시,카눈,,"[('정비 이동 조치하여 시민', 0.6721)]"
2023/08/10 17:07:20,26,경기도 광주시,202958,"태풍(카눈)이 접근함에 따라 강한 비와 바람으로 산사태 위험이 매우 높습니다. 산사태 발생 시 마을회관, 학교 등 안전한 대피소로 이동하시기 바랍니다.",cbs,광주시,카눈,,"[('태풍 카눈 접근함에', 0.62)]"
2023/08/10 11:25:51,26,경기도 광주시,202686,"산사태 위기경보 경계 북진하는 태풍으로 인해 산사태 발생 위험이 높으므로 배수로 정비, 위험요인을 제거하시기 바라며, 유사시 안전한 곳으로 대피바랍니다.",cbs,광주시,,,"[('태풍으로 인해 산사태', 0.7258)]"
