create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2023/07/16 11:37:27,26,경기도 광주시,198215,많은 비로 지반이 약해져 산사태 발생위험이 높으므로 산림주변 위험지역 접근 통행 금지 및 유사시 신속히 대피하시기 바랍니다.,cbs,광주시청,,,"[('통행 금지', 0.6893)]"
2023/04/02 17:58:16,26,경기도 광주시,194055,오늘 16:24경 광주시 목동 412-29번지 내 금광산업 공장 화재 발생. 이 지역을 우회하여 주시고 인근 주민은 안전사고 발생에 유의 바랍니다.,cbs,광주시청,,,"[('주민은 안전사고 발생에', 0.5626)]"
2023/02/10 18:11:02,26,경기도 광주시,192915,"성남에서 광주방향 직동터널 내 차량사고로 인한 도로 전면통제 중, 교통정보 확인 및 우회 바랍니다.",cbs,광주시청,,,"[('차량사고로 인한', 0.587)]"
2023/02/06 11:00:33,26,경기도 광주시,192736,"▲2월 6일 0시 기준 확진자 18명 발생 ▲12세 이상 기초접종완료자(1, 2차)는 동절기 코로나19 추가접종에 참여하여 주시기 바랍니다.",cbs,광주시청,"1, 2차",12세,"[('코로나19 추가접종에 참여하여 주시기', 0.5971)]"
2023/02/05 11:01:17,26,경기도 광주시,192696,"▲2월 5일 0시 기준 확진자 79명 발생 ▲12세 이상 기초접종완료자(1, 2차)는 동절기 코로나19 추가접종에 참여하여 주시기 바랍니다.",cbs,광주시청,"1, 2차",12세,"[('추가접종에 참여하여 주시기', 0.5624)]"
2023/02/04 11:12:54,26,경기도 광주시,192653,"▲2월 4일 0시 기준 확진자 101명 발생 ▲12세 이상 기초접종완료자(1, 2차)는 동절기 코로나19 추가접종에 참여하여 주시기 바랍니다.",cbs,광주시청,"1, 2차",12세,"[('2차 동절기 코로나19', 0.561)]"
2023/02/03 10:59:39,26,경기도 광주시,192596,"▲2월 3일 0시 기준 확진자 83명 발생 ▲12세 이상 기초접종완료자(1, 2차)는 동절기 코로나19 추가접종에 참여하여 주시기 바랍니다.",cbs,광주시청,"1, 2차",12세,"[('기준 확진자 83명', 0.5622)]"
2023/02/02 10:59:31,26,경기도 광주시,192553,"▲2월 2일 0시 기준 확진자 120명 발생 ▲12세 이상 기초접종완료자(1, 2차)는 동절기 코로나19 추가접종에 참여하여 주시기 바랍니다.",cbs,광주시청,"1, 2차",12세,"[('확진자 120명 발생', 0.5688)]"
2023/02/01 10:59:33,26,경기도 광주시,192485,"▲2월 1일 0시 기준 확진자 93명 발생 ▲12세 이상 기초접종완료자(1, 2차)는 동절기 코로나19 추가접종에 참여하여 주시기 바랍니다.",cbs,광주시청,"1, 2차",12세,"[('동절기 코로나19 추가접종에', 0.566)]"
2023/01/31 10:58:37,26,경기도 광주시,192409,"▲1월 31일 0시 기준 확진자 124명 발생 ▲12세 이상 기초접종완료자(1, 2차)는 동절기 코로나19 추가접종에 참여하여 주시기 바랍니다.",cbs,광주시청,"1, 2차",12세,"[('기준 확진자 124명', 0.5842)]"
