create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2023/09/20 16:05:37,239,충청북도 괴산군,205420,"호우주의보 발효 ▲하천변, 급경사지, 산사태우려지역 등 위험지역 접근 금지, 시설물 관리 철저 및 외출 자제 등 안전에 유의 바랍니다.",cbs,괴산군,,,"[('위험지역 접근 금지 시설물', 0.7589)]"
2023/09/16 17:52:49,239,충청북도 괴산군,205241,"호우주의보 발효중. 하천변, 급경사지, 산사태우려지역 등 위험지역 접근 금지, 시설물 관리 철저 및 외출 자제 등 안전에 유의 바랍니다.",cbs,괴산군,,,"[('발효중 하천변', 0.7616)]"
2023/08/10 16:47:43,239,충청북도 괴산군,202947,"현재 태풍주의보 발효중. 강풍을 동반한 집중호우가 예상되니 하천,계곡,저지대,급경사지 등 위험지역 접근을 금지해주시고 외출을 자제하시기 바랍니다.",cbs,괴산군,,,"[('태풍주의보 발효중 강풍을', 0.7225)]"
2023/08/10 14:41:00,239,충청북도 괴산군,202862,오늘 14시29분 산사태 주의보 발령. 산림 주변 위험지역 접근을 자제하여 주시고 산림 인근 거주민께서는 안전지대로 사전대피 등 안전에 유의 바랍니다.,cbs,괴산군,,,"[('접근을 자제하여 주시고', 0.656)]"
2023/08/10 14:32:22,239,충청북도 괴산군,202857,"오늘 14:10 달천 목도교 지점 홍수주의보 발령, 방송 등을 통해 홍수상황을 확인하시고, 하천변 이용을 자제하시기 바랍니다.",cbs,괴산군,,,"[('홍수상황을 확인하시고 하천변 이용을', 0.5285)]"
2023/08/10 12:23:45,239,충청북도 괴산군,202744,괴산군 태풍경보 발효중. ▲외출자제 ▲하천변 등 위험지역 접근 금지 ▲위험징후 발견 시 즉시 대피 등 안전에 유의하시기 바랍니다.,cbs,괴산군,,,"[('하천변 위험지역 접근', 0.7055)]"
2023/08/10 08:34:30,239,충청북도 괴산군,202463,"태풍주의보 발효중. 외출자체,하천변, 산사태 취약지역 등 위험지역 접근금지, 논밭 관리행위 자제, 옥외 간판 및 입간판 정비 등 안전에 주의 바랍니다.",cbs,괴산군,,,"[('외출자체 하천변 산사태 취약지역', 0.6866)]"
2023/08/10 08:04:59,239,충청북도 괴산군,202430,강우를 동반한 태풍으로 인하여 산사태 발생이 우려됩니다. 산림 연접지 주민은 위기 징후 발생 시 마을회관 등 대피소로 긴급 대피 바랍니다.,cbs,괴산군,,,"[('연접지 주민은', 0.6986)]"
2023/08/08 11:17:12,239,충청북도 괴산군,201707,"폭염경보 지속 발효중▲낮 시간 외출 및 야외활동 자제(논,밭,공사장 등)▲무더위쉼터 이용▲폭염안전수칙(물,그늘,휴식) 준수 등 건강관리에 유의 바랍니다",cbs,괴산군,"논,밭,공사장 등",,"[('지속 발효중', 0.6646)]"
2023/08/07 13:00:05,239,충청북도 괴산군,201572,"폭염경보 지속 발효중▲낮 시간 외출 및 야외활동 자제(논,밭,공사장 등)▲무더위쉼터 이용▲폭염안전수칙(물,그늘,휴식) 준수 등 건강관리에 유의 바랍니다",cbs,괴산군,"논,밭,공사장 등",,"[('지속 발효중', 0.6646)]"
2023/08/04 10:19:13,239,충청북도 괴산군,201010,"현재 폭염경보 발효중이오니, 야외활동 자제(논밭, 공사장 등), 충분한 휴식과 물 마시기, 양산 착용 등 건강에 유의 바랍니다.",cbs,괴산군,"논밭, 공사장 등",,"[('마시기 양산 착용 건강에', 0.628)]"
2023/08/03 10:36:18,239,충청북도 괴산군,200857,"현재 폭염특보가 발효중이오니, 야외활동 자제(논밭, 공사장 등), 충분한 휴식과 물 마시기, 양산 착용 등 건강에 유의 바랍니다.",cbs,괴산군,"논밭, 공사장 등",,"[('야외활동 자제 논밭 공사장', 0.6223)]"
