create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2023/08/30 10:19:07,184,전라남도 구례군,204640,"금일 09시20 구례군 호우경보 발효. 야외활동 및 외출자제, 하천범람·산사태 취약지역 접근 금지, 물꼬작업 금지 등 안전사고에 유의바랍니다.",cbs,구례군,,,"[('호우경보 발효', 0.6927)]"
2023/08/30 07:29:39,184,전라남도 구례군,204611,"금일 07시 구례군 8개 읍면 산사태 주의보 발령 ▲야외활동 자제▲산림 주변 거주자께서는 비상시 경로당,마을회관 등 안전한 곳으로 대피하시기 바랍니다",cbs,구례군,,,"[('읍면 산사태 주의보', 0.6002)]"
2023/08/24 17:14:14,184,전라남도 구례군,204385,"금일 17시 문척,간전,토지면 산사태 주의보 발령 ▲야외활동 자제▲산림 주변 거주자께서는 비상시 경로당,마을회관 등 안전한 곳으로 대피하시기 바랍니다",cbs,구례군,,,"[('비상시 경로당', 0.71)]"
2023/08/10 09:23:43,184,전라남도 구례군,202522,"금일 09시 간전,토지,산동면 산사태 주의보 발령 ▲야외활동 자제▲산림 주변 거주자께서는 비상시 경로당,마을회관 등 안전한 곳으로 대피하시기 바랍니다",cbs,구례군,,,"[('산사태 주의보 발령', 0.7698)]"
2023/08/09 18:03:53,184,전라남도 구례군,202148,"현재 구례군에 호우주의보가 발효중이며, 태풍 카눈 북상중으로 강한 비바람 예상. 산사태 위험지역, 하천변 등 위험지역 접근금지 및 외출 자제 바랍니다.",cbs,구례군,,,"[('북상중으로 강한', 0.7177)]"
2023/08/01 13:31:15,184,전라남도 구례군,200634,"현재 구례군 폭염경보 발효 중▲낮시간대 야외활동(논,밭,비닐하우스,공사장 등) 및 외출자제▲폭염 안전수칙(물,그늘,휴식)준수 등 건강관리에 유의바랍니다.",cbs,구례군,"논,밭,비닐하우스,공사장 등",,"[('휴식 준수 건강관리에', 0.6351)]"
2023/07/24 10:06:35,184,전라남도 구례군,199656,구례군 산사태주의보 전 지역으로 확대. 산림 주변 야외활동 자제 및 비상 시 마을회관 등 안전한 곳으로 대피하시기 바랍니다,cbs,구례군,,,"[('지역으로 확대', 0.6847)]"
2023/07/24 07:44:34,184,전라남도 구례군,199639,"구례군 간전,산동면 산사태주의보 발령, 급경사지,절개지 등 산사태 발생 우려지에 접근하지 마시고 비상시 마을회관 등 안전한 곳으로 대피해주시기 바랍니다",cbs,구례군,,,"[('간전 산동면 산사태주의보', 0.742)]"
2023/07/18 08:57:36,184,전라남도 구례군,198560,구례군 전 지역 산사태주의보 발령중 급경사지와 절개지 등 산사태 발생 우려지에 접근하지 마시고 비상시 마을회관 등 안전한 곳으로 대피하시기 바랍니다,cbs,구례군,,,"[('마시고 비상시 마을회관 안전한', 0.8142)]"
2023/07/15 21:54:34,184,전라남도 구례군,198102,7. 15.(토) 21:40 섬진강 구례군(구례교)지점 홍수주의보 발효에 따라 하천변은 접근하지 마시고 안전에 유의하시기 바랍니다.,cbs,구례군,토,,"[('지점 홍수주의보 발효에 따라', 0.5727)]"
2023/07/15 20:07:39,184,전라남도 구례군,198049,"금일20시 구례군 전 지역 산사태주의보 발령 산림 주변에서 야외활동 자제, 산사태 발생 우려 시 마을회관, 경로당 등 안전한 곳으로 대피바랍니다.",cbs,구례군,,,"[('야외활동 자제 산사태 발생', 0.7743)]"
2023/07/15 19:47:32,184,전라남도 구례군,198032,"금일19시 구례읍,마산,광의,용방,산동면 산사태주의보 발령 산사태취약지역, 산림 주변 거주자는 비상시 마을회관, 경로당 등 안전한 곳으로 대피바랍니다",cbs,구례군,,,"[('마을회관 경로당 안전한', 0.6991)]"
2023/07/15 18:04:11,184,전라남도 구례군,197979,"금일 17:40 구례군 호우경보 발효. 집중호우가 예상되니 하천변, 위험지역에 접근하지 마시고, 외출자제 및 안전사고 예방에 유의하여 주시기 바랍니다.",cbs,구례군,,,"[('구례군 호우경보 발효', 0.711)]"
2023/07/15 17:40:32,184,전라남도 구례군,197964,"금일17시 구례읍, 광의, 용방, 산동면 산사태 주의보 발령 산사태취약지역, 산림 주변 거주자는 비상시 마을회관, 경로당 등 안전한 곳으로 대피바랍니다.",cbs,구례군,,,"[('주의보 발령 산사태취약지역 산림', 0.6904)]"
2023/07/14 10:48:23,184,전라남도 구례군,197366,"현재 구례군에 지속된 강우로 인해 산사태주의보 발령되었습니다. 산림주변 야외활동 자제, 입산금지 등 안전에 유의하시기 바랍니다.",cbs,구례군,,,"[('지속된 강우로 인해', 0.7356)]"
2023/07/14 08:32:28,184,전라남도 구례군,197313,"금일 04:00 호우주의보 발효. 섬진강댐 초당300톤 이내 방류중. 하천변, 급경사지 등 출입금지. 산사태위험지역 인근주민은 안전에 주의바랍니다.",cbs,구례군,,,"[('00 호우주의보 발효', 0.6491)]"
2023/06/29 21:52:25,184,전라남도 구례군,196189,"금일 21시30 구례군 호우주의보 발효. 야외활동 및 외출자제, 하천범람·산사태 취약지역 접근 금지, 물꼬작업 금지 등 안전사고에 유의하시기 바랍니다.",cbs,구례군,,,"[('발효 야외활동 외출자제 하천범람', 0.677)]"
2023/06/27 22:41:31,184,전라남도 구례군,195985,"현재 구례군에 호우경보 발효중입니다. 많은 비가 예상되오니 산사태, 급경사지, 하천, 계곡 등 위험지역 출입 및 외출을 자제하여 주시기 바랍니다.",cbs,구례군,,,"[('출입 외출을 자제하여', 0.6415)]"
