create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2023/08/23 13:17:50,143,서울특별시 구로구,204190,"현재 구로구에 많은 비가 내리고 있습니다. 도림천, 목감천 등 하천 출입통제 중으로 접근하지 마시고 반지하 침수방지시설 점검 등 안전에 유의 바랍니다.",cbs,구로구,,,"[('점검 안전에 유의', 0.688)]"
2023/08/22 18:23:35,143,서울특별시 구로구,204018,"현재 구로구에 많은 비가 예상됩니다. 도림천 등 하천변에 접근하지 마시고, 저지대 주택은 배수시설 사전 점검 등 안전에 유의하시기 바랍니다.",cbs,구로구,,,"[('예상됩니다 도림천 하천변에', 0.7521)]"
2023/08/09 18:01:05,143,서울특별시 구로구,202143,"태풍 북상 중으로 강한 바람과 비가 예상됩니다. 하천변 접근 자제, 창문·간판 고정, 배수시설 사전점검 등 철저히 대비하여 주시기 바랍니다.",cbs,구로구,,,"[('강한 바람과 비가 예상됩니다', 0.7267)]"
2023/07/30 18:29:45,143,서울특별시 구로구,200378,"현재 구로구에 많은 비가 내리고 있습니다. 도림천 등 하천변에 접근하지 마시고, 저지대 주택은 배수시설 사전 점검 등 안전에 유의하시기 바랍니다.",cbs,구로구,,,"[('있습니다 도림천 하천변에', 0.743)]"
2023/07/23 07:29:28,143,서울특별시 구로구,199425,"현재 구로구에 많은 비가 예상됩니다. 도림천 등 하천변에 접근하지 마시고, 저지대 주택은 배수시설 사전 점검 등 안전에 유의하시기 바랍니다.",cbs,구로구,,,"[('예상됩니다 도림천 하천변에', 0.7521)]"
2023/07/13 18:03:52,143,서울특별시 구로구,197117,"그동안 내린 비와 밤 사이 많은 비가 예상됨에 따라 도림천 등 하천변에 접근하지 마시고, 반지하주택 배수시설 점검 등 안전에 유의하여 주시기 바랍니다.",cbs,구로구,,,"[('반지하주택 배수시설 점검 안전에', 0.7508)]"
2023/07/13 10:38:55,143,서울특별시 구로구,197022,"현재 구로구에 많은 비가 예상됩니다. 도림천 등 하천변에 접근하지 마시고, 저지대 주택은 배수시설 사전 점검 등 안전에 유의하시기 바랍니다.",cbs,구로구,,,"[('예상됩니다 도림천 하천변에', 0.7521)]"
2023/07/11 16:45:37,143,서울특별시 구로구,196868,"현재 집중호우 영향으로 인한 저지대 및 반지하 주택 등에 침수 우려가 있으니 주민께서는 침수피해에 대비하시고, 기상예보에 주의를 기울여주시기 바랍니다.",cbs,구로구,,,"[('주택 등에 침수 우려가', 0.7487)]"
2023/07/11 16:13:53,"7142,7143,7144","서울특별시 구로구,서울특별시 구로구,서울특별시 구로구",196851,극한강우로 인한 역곡천 수위 상승으로 하천변 출입을 전면 통제하오니 인근 주민께서는 접근을 삼가하여 주시기 바랍니다.,cbs,구로구,,,"[('인한 역곡천', 0.7339)]"
2023/07/04 20:30:46,143,서울특별시 구로구,196476,"오늘 밤 구로구에 많은 비가 예상되오니 도림천 등 하천변 접근을 자제하시고, 침수취약지역 주택은 배수시설 사전 점검 등 안전에 유의하시기 바랍니다.",cbs,구로구,,,"[('배수시설 사전 점검', 0.6649)]"
2023/06/29 11:31:02,143,서울특별시 구로구,196120,"오늘 구로구에 많은 비가 예상되오니 도림천 등 하천변 접근을 자제하시고, 침수취약지역 주민께서는 침수방지시설 점검 등 안전에 유의하시기 바랍니다.",cbs,구로구,,,"[('주민께서는 침수방지시설', 0.7083)]"
2022/12/21 17:51:23,143,서울특별시 구로구,186437,"금일 21시 한파특보 발효예정입니다. 각 가정에서는 난방유지, 계량기 및 수도관 동파에 유의하시고 결빙에 대비 대중교통 이용 및 운전시 감속 바랍니다.",cbs,구로구,,,"[('대중교통 이용 운전시', 0.6704)]"
2022/12/16 14:19:35,143,서울특별시 구로구,185441,"이번 주말(12.17~18) 구로구 전지역 한파가 예상되오니, 야외활동 시 보온 유지하시기 바라며 계량기 동파ㆍ미끄럼 사고 등 안전사고에 유의 바랍니다.",cbs,구로구,12.17~18,,"[('안전사고에 유의', 0.7081)]"
