create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2023/08/23 10:36:53,27,경기도 구리시,204118,"오늘 14:00경 민방위훈련으로 15분간 일부도로 통제예정, ] 교문사거리~구리소방서 앞(약 500m)",cbs,구리시,약 500m,,"[('일부도로 통제예정', 0.5053)]"
2023/08/23 08:18:07,27,경기도 구리시,204071,"오늘 08시 호우주의보 발효. 강한 비가 예상되오니 하천변 산책로 등 위험지역 접근금지, 가급적 외출을 자제하시고 안전에 유의하시기 바랍니다.",cbs,구리시,,,"[('발효 강한 비가 예상되오니', 0.6311)]"
2023/08/20 11:27:49,27,경기도 구리시,203764,"무더위가 지속되고 있습니다. 외출자제, 뙤약볕 논밭작업 중단 ▲수분섭취 ▲그늘휴식 ▲외출시 모자 또는 양산이용등 건강에 유의바랍니다.",cbs,구리시,,,"[('수분섭취 그늘휴식', 0.6467)]"
2023/08/19 10:53:58,27,경기도 구리시,203677,"무더위가 지속되고 있습니다. 외출자제, 뙤약볕 논밭작업 중단 ▲수분섭취 ▲그늘휴식 ▲외출시 모자 또는 양산이용등 건강에 유의바랍니다.",cbs,구리시,,,"[('수분섭취 그늘휴식', 0.6467)]"
2023/08/18 08:59:17,27,경기도 구리시,203567,"폭염주의보. 무더위가 지속되고 있습니다. 외출을 자제하시고, 외출시 모자.양산이용, 수분섭취, 그늘휴식등 온열질환 예방수칙을 준수하여 주시기바랍니다.",cbs,구리시,,,"[('외출시 모자', 0.6588)]"
2023/08/16 13:16:23,27,경기도 구리시,203439,폭염주의발효중 ▲고령농작업 및 야외근로자 수분섭취 및 그늘휴식 ▲고령농업인 논밭일 중단 ▲야외활동 자제 등 안전 및 건강에 유의바랍니다.,cbs,구리시,,,"[('자제 안전 건강에', 0.6744)]"
2023/08/15 10:25:04,27,경기도 구리시,203312,"폭염주의보. 무더위가 지속되고 있습니다. 외출을 자제하시고, 외출시 모자.양산이용, 수분섭취, 그늘휴식등 온열질환 예방수칙을 준수하여 주시기바랍니다.",cbs,구리시,,,"[('외출시 모자', 0.6588)]"
2023/08/14 11:46:31,27,경기도 구리시,203233,"폭염주의보 발효중 ★폭염대응 행동요령 준수 ▲무리한 논밭작업, 야외활동자제 ▲그늘에서 휴식하기 ▲물 마시기▲야외활동시 모자, 양산 사용하기",cbs,구리시,,,"[('논밭작업 야외활동자제 그늘에서 휴식하기', 0.598)]"
2023/08/13 11:53:06,27,경기도 구리시,203140,폭염주의보 발효(8월13일 10시) 야외활동 자제하여주시고 ▲수분섭취 ▲그늘휴식 ▲외출시 모자 또는 양산이등 폭염예방 안전수칙준수하여주시기 바랍니다.,cbs,구리시,8월13일 10시,,"[('그늘휴식 외출시 모자 또는', 0.6489)]"
2023/08/09 16:06:29,27,경기도 구리시,202062,현재 태풍 북상 중에 있습니다. 시민 여러분께서는 시설물 결박 등 안전조치에 만전을 기하여 주시고 하천가 산책로 출입을 자제하여 주시기 바랍니다.,cbs,구리시,,,"[('출입을 자제하여 주시기', 0.7379)]"
