create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2023/11/05 17:22:29,27,경기도 구리시,206467,"저녁부터 강한 비와 강풍이 예상되오니 하천 출입금지, 낙하물 피해 대비 간판 등 시설물 사전 고정, 저지대 침수에 유의하여 주시기 바랍니다.",cbs,구리시청,,,"[('대비 간판 시설물', 0.7077)]"
2023/08/28 11:39:34,27,경기도 구리시,204516,"금일 수도관 파손으로 수택동,토평동,교문1동,교문2동,아천동 지역의 수도공급이 중단되어 복구작업 중에 있으며 16시 완료예정(031-550-8552)",cbs,구리시청,031-550-8552,,"[('수도공급이 중단되어 복구작업 중에', 0.6995)]"
2023/08/10 20:03:25,27,경기도 구리시,203005,"태풍 '카눈' 접근 중. 가급적 외출과 하천변 산책로, 세월교 주변 등 위험지역 출입을 자제하시고, 강풍에 의한 낙하물 피해에 주의 바랍니다.",cbs,구리시청,,,"[('가급적 외출과 하천변', 0.3986)]"
2023/08/10 07:50:18,27,경기도 구리시,202409,"금일 09시 태풍주의보 발효. 가급적 외출과 하천변, 세월교 주변 등 위험지역 출입을 자제하시고, 침수 대비 집 주변 배수로 사전점검 바랍니다.",cbs,구리시청,,,"[('하천변 세월교 주변', 0.7515)]"
2023/07/31 10:26:50,27,경기도 구리시,200433,폭염경보가 발효중입니다. 낮 시간에는 야외 활동을 자제하여 주시고 충분한 휴식과 수분섭취로 여름철 온열질환 예방 등 건강에 유의하여 주시기 바랍니다.,cbs,구리시청,,,"[('건강에 유의하여', 0.6442)]"
2023/07/26 11:43:01,27,경기도 구리시,199819,폭염주의보가 발효중입니다. 낮 시간에는 야외 활동을 자제하여 주시고 충분한 휴식과 수분섭취로 여름철 온열질환 예방등 건강에 유의하여 주시기 바랍니다.,cbs,구리시청,,,"[('예방등 건강에 유의하여 주시기', 0.6771)]"
2023/07/03 14:03:42,27,경기도 구리시,196383,폭염주의보가 발효중입니다. 낮 시간에는 야외 활동을 자제하여 주시고 충분한 휴식과 수분섭취로 여름철 온열질환 예방등 건강에 유의하여 주시기 바랍니다.,cbs,구리시청,,,"[('예방등 건강에 유의하여 주시기', 0.6771)]"
2023/02/02 17:35:41,27,경기도 구리시,192570,2. 2.(목) 신규확진자 48명 발생 me2.kr/otaEW 동절기추가접종안내 me2.kr/OLWHd 실내마스크의무조정 me2.kr/YgStM,cbs,구리시청,목,,"[('실내마스크의무조정 me2', 0.6775)]"
2023/02/01 17:32:42,27,경기도 구리시,192514,2. 1.(수) 신규확진자 50명 발생 me2.kr/zxhQw 동절기추가접종안내 me2.kr/OLWHd 실내마스크의무조정 me2.kr/YgStM,cbs,구리시청,수,,"[('me2 kr', 0.6435)]"
2023/01/31 17:25:39,27,경기도 구리시,192434,1. 31.(화) 신규확진자 61명 발생 me2.kr/MjxZr 동절기추가접종안내 me2.kr/OLWHd 실내마스크의무조정 me2.kr/YgStM,cbs,구리시청,화,,"[('me2 kr mjxzr', 0.6619)]"
2023/01/30 17:46:32,27,경기도 구리시,192371,1. 30.(월) 신규확진자 74명 발생 me2.kr/xHqzB 동절기추가접종안내 me2.kr/OLWHd 실내마스크의무조정 me2.kr/YgStM,cbs,구리시청,월,,"[('olwhd 실내마스크의무조정 me2', 0.5978)]"
2023/01/29 14:03:20,27,경기도 구리시,192277,1. 29.(일) 신규확진자 27명 발생 me2.kr/pGTzn 재택치료안내 me2.kr/MYfrm 동절기추가접종안내안내 me2.kr/HKEkj,cbs,구리시청,일,,"[('재택치료안내 me2', 0.6487)]"
2023/01/28 15:35:57,27,경기도 구리시,192204,1. 28.(토) 신규확진자 39명 발생 me2.kr/CVvYj 재택치료안내 me2.kr/MYfrm 동절기추가접종안내 me2.kr/HKEkj,cbs,구리시청,토,,"[('me2 kr myfrm', 0.6511)]"
2023/01/27 17:47:36,27,경기도 구리시,192114,1. 27. (금) 신규확진자 54명 발생 me2.kr/Hvhgm 재택치료안내 me2.kr/MYfrm 동절기추가접종안내 me2.kr/HKEkj,cbs,구리시청,금,,"[('재택치료안내 me2 kr myfrm', 0.6255)]"
2023/01/26 17:41:22,27,경기도 구리시,191984,1. 26. (목) 신규확진자 91명 발생 me2.kr/DCSiC 재택치료안내 me2.kr/MYfrm 동절기추가접종안내안내 me2.kr/HKEkj,cbs,구리시청,목,,"[('me2 kr', 0.6559)]"
2023/01/25 17:51:16,27,경기도 구리시,191841,1. 25. (수) 신규확진자 130명 발생 me2.kr/pTtFe 재택치료안내 me2.kr/SFccG 동절기추가접종안내안내 me2.kr/NMcEV,cbs,구리시청,수,,"[('sfccg 동절기추가접종안내안내 me2', 0.5343)]"
2023/01/24 15:26:47,27,경기도 구리시,191665,1. 24. (화) 신규확진자 68명 발생 me2.kr/HYiTv 재택치료안내 me2.kr/SFccG 설연휴코로나19 종합안내 me2.kr/JGuTg,cbs,구리시청,화,,"[('me2 kr hyitv', 0.6205)]"
2023/01/23 14:42:27,27,경기도 구리시,191403,1. 23. (월) 신규확진자 37명 발생 me2.kr/qdFzy 재택치료안내 me2.kr/SFccG 설연휴코로나19 종합안내 me2.kr/JGuTg,cbs,구리시청,월,,"[('신규확진자 37명 발생 me2', 0.6444)]"
2023/01/22 14:57:27,27,경기도 구리시,191279,1. 22.(일) 신규확진자 41명 발생 me2.kr/AUijl 재택치료안내 me2.kr/SFccG 설연휴코로나19 종합안내 me2.kr/JGuTg,cbs,구리시청,일,,"[('me2 kr', 0.6249)]"
2023/01/21 14:40:58,27,경기도 구리시,191177,1. 21. (토) 신규확진자 48명 발생 me2.kr/lRzxJ 재택치료안내 me2.kr/SFccG 설연휴코로나19 종합안내 me2.kr/JGuTg,cbs,구리시청,토,,"[('me2 kr lrzxj', 0.6237)]"
2023/01/20 17:49:47,27,경기도 구리시,191072,1. 20.(금) 신규확진자 101명 발생 me2.kr/kXejQ 재택치료안내 me2.kr/SFccG 설연휴코로나19 종합안내 me2.kr/JGuTg,cbs,구리시청,금,,"[('신규확진자 101명 발생 me2', 0.6061)]"
2023/01/19 17:27:00,27,경기도 구리시,190930,1. 19.(목) 신규확진자 141명 발생 me2.kr/SvBAi 재택치료안내 me2.kr/SFccG 설연휴코로나19 종합안내 me2.kr/JGuTg,cbs,구리시청,목,,"[('발생 me2', 0.6543)]"
2023/01/18 17:32:54,27,경기도 구리시,190811,1. 18. (수) 신규확진자 107명 발생 me2.kr/srwyh 재택치료안내 me2.kr/SFccG 동절기추가접종안내 me2.kr/HLftP,cbs,구리시청,수,,"[('me2 kr sfccg', 0.6137)]"
2023/01/17 17:36:56,27,경기도 구리시,190688,1. 17. (화) 신규확진자 167명 발생 me2.kr/YFrNI 재택치료안내 me2.kr/SFccG 동절기추가접종안내 me2.kr/HLftP,cbs,구리시청,화,,"[('me2 kr sfccg', 0.615)]"
2023/01/16 17:18:24,27,경기도 구리시,190551,1. 16. (월) 신규확진자 180명 발생 me2.kr/JOZRx 재택치료안내 me2.kr/SFccG 동절기추가접종안내 me2.kr/HLftP,cbs,구리시청,월,,"[('me2 kr', 0.5873)]"
2023/01/15 14:55:13,27,경기도 구리시,190386,1. 15. (일) 신규확진자 69명 발생 me2.kr/mqUvp 재택치료안내 me2.kr/SFccG 동절기추가접종안내 me2.kr/HLftP,cbs,구리시청,일,,"[('me2 kr', 0.6108)]"
2023/01/14 14:00:25,27,경기도 구리시,190223,1. 14. (토) 신규확진자 112명 발생 me2.kr/CdtWH 재택치료안내 me2.kr/SFccG 설연휴종합정보안내 me2.kr/JWXOU,cbs,구리시청,토,,"[('me2 kr', 0.6428)]"
