create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2023/09/09 10:48:37,204,전라북도 군산시,204997,금일 OCI 공장에서 발생한 가스 누출사고는 안정적으로 차단되어 추가 확산 가능성은 없습니다. 시민들께서는 일상생활로 복귀 바랍니다.,cbs,군산시,,,"[('안정적으로 차단되어 추가 확산', 0.586)]"
2023/09/09 09:27:07,204,전라북도 군산시,204994,"금일 08:50경 소룡동 oci공장 화학물질(질소)누출, 인근주민은 창문을 닫고 외출을 자제하여 주시기 바라며, 사고현장 접근을 금지하여 주시기 바랍니다",cbs,군산시,질소,,"[('사고현장 접근을 금지하여', 0.6944)]"
2023/09/09 09:21:16,204,전라북도 군산시,204993,"08:50분경 소룡동 oci공장 화학사고 누출, 인근주민은 문창초등학교로 대피하여 주시기 바랍니다.",cbs,군산시,,,"[('누출 인근주민은', 0.6363)]"
2023/08/30 17:00:17,204,전라북도 군산시,204683,"8/31(목)~9/3(일) 군산지역 해수면의 수위차가 큰 대조기로, 해안가 저지대 지역 침수, 범람 등의 우려가 있으니 안전에 유의하시기 바랍니다.",cbs,군산시,목,,"[('군산지역 해수면의', 0.5219)]"
2023/08/10 10:15:57,204,전라북도 군산시,202595,"오늘 10:00 태풍경보 발효 ▲외출 및 야외활동 자제 ▲산사태 우려지역 사전대피 ▲하천, 해안가 등 위험지역 출입금지 등 안전에 유의바랍니다.",cbs,군산시,,,"[('산사태 우려지역', 0.6549)]"
2023/08/10 09:20:05,204,전라북도 군산시,202518,"태풍 ‘카눈’ 북상에 따라 해안가 및 항포구, 저지대 등 위험지역 출입통제 중. 해안가 너울성 파도 유의 및 위험지역 방문을 자제해 주시기 바랍니다.",cbs,군산시,,,"[('해안가 너울성 파도', 0.4613)]"
2023/08/10 07:00:11,204,전라북도 군산시,202339,"태풍 ‘카눈’ 북상에 따라 오전 중 강한 비, 바람 예상. 외출 및 위험 지역 출입을 자제하시고 출근길 서행 운전으로 안전사고에 유의하시기 바랍니다.",cbs,군산시,,,"[('출근길 서행 운전으로', 0.4603)]"
2023/08/09 20:07:46,204,전라북도 군산시,202196,"태풍 ‘카눈’ 북상에 따라 해안가 및 항포구, 저지대 등 위험지역 출입통제 중. 해안가 너울성 파도 유의 및 위험지역 방문을 자제해 주시기 바랍니다.",cbs,군산시,,,"[('해안가 너울성 파도', 0.4613)]"
2023/08/09 14:00:32,204,전라북도 군산시,201983,"제6호 태풍 카눈 북상 중 ▲건물 옥상 등에 위치한 컨테이너 등 시설물 고정 ▲간판,창문,태양광 설비,비닐하우스 미리 고정 ▲위험지역 거주자 사전 대피",cbs,군산시,,,"[('태풍 카눈 북상', 0.7103)]"
2023/08/09 09:34:57,204,전라북도 군산시,201853,"폭염경보 발효 중, 야외활동 자제(논, 밭, 공사장 등), 1인 야외작업위험, 충분한 물 마시기, 외출시 모자나 양산 착용 등 건강관리에 유의바랍니다.",cbs,군산시,"논, 밭, 공사장 등",,"[('1인 야외작업위험 충분한', 0.6558)]"
