create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2023/04/06 18:20:00,204,전라북도 군산시,194214,"4월7일(06~21시까지)미세먼지 비상저감조치가 발령되었습니다. 5등급경유차 운행제한, 공사장 가동단축, 외출시 마스크착용 등 건강관리에 유의바랍니다.",cbs,군산시청,06~21시까지,,"[('미세먼지 비상저감조치가 발령되었습니다', 0.7015)]"
2023/02/10 08:18:06,204,전라북도 군산시,192884,"▶동절기 코로나19 추가접종 bit.ly/3yx7ukd ▶감염취약시설 중 입소형 시설, 의료기관, 약국, 대중교통 실내에서는 마스크 의무 착용!",cbs,군산시청,,,"[('실내에서는 마스크 의무 착용', 0.4653)]"
2023/02/03 08:03:07,204,전라북도 군산시,192575,"▶2/3(금)0시 코로나 93명(~147,370) ▶감염취약시설 중 입소형 시설, 의료기관, 약국, 대중교통 안에서는 마스크 의무 착용!",cbs,군산시청,금,,"[('약국 대중교통 안에서는', 0.3384)]"
2023/02/02 08:00:14,204,전라북도 군산시,192526,"▶2/2(목)0시 코로나109명(~147,277) ▶코로나 심리치유지원: 정신건강복지센터 bit.ly/3mMWLN5 (☎451-0363)",cbs,군산시청,목,,"[('심리치유지원 정신건강복지센터 bit ly', 0.4088)]"
2023/02/01 08:00:54,204,전라북도 군산시,192444,"▶2/1(수)0시 코로나118명(~147,168) ▶호흡기환자진료센터 bit.ly/3yht642 ▶코로나 생활지원비 격리해제일 90일이후 신청 불가",cbs,군산시청,수,,"[('코로나118명 147 168', 0.3921)]"
2023/01/31 08:00:29,204,전라북도 군산시,192376,"▶1/31(화) 0시 코로나116명(~147,050) ▶위중증화, 사망 예방을 위한 동절기 코로나19 추가접종 적극 참여 bit.ly/3yx7ukd",cbs,군산시청,화,,"[('코로나19 추가접종 적극', 0.4374)]"
2023/01/30 08:00:22,204,전라북도 군산시,192306,"▶1/30(월)0시 코로나68명(~146,934) ▶호흡기환자진료센터 bit.ly/3yht642 ▶코로나 생활지원비 격리해제일 90일 이후 신청불가",cbs,군산시청,월,,"[('3yht642 코로나', 0.4202)]"
2023/01/29 08:02:03,204,전라북도 군산시,192225,"▶1/29(일)0시 코로나138명(~146,866) ▶코로나 심리치유지원: 정신건강복지센터 bit.ly/3mMWLN5 (☎451-0363)",cbs,군산시청,일,,"[('146 866 코로나 심리치유지원', 0.3869)]"
2023/01/28 08:02:08,204,전라북도 군산시,192145,"▶1/28(토)0시 코로나114명(~146,729) ▶호흡기환자진료센터 bit.ly/3yht642 ▶코로나 생활지원비 격리해제일 90일 이후 신청불가",cbs,군산시청,토,,"[('bit ly', 0.4372)]"
2023/01/27 08:00:30,204,전라북도 군산시,192012,"▶1/27(금)0시 코로나182명(~146,617) ▶건강한 겨울나기는 동절기 코로나19 추가접종과 함께! bit.ly/3yx7ukd",cbs,군산시청,금,,"[('함께 bit ly 3yx7ukd', 0.4959)]"
2023/01/26 08:02:10,204,전라북도 군산시,191885,"▶1/26(목)0시 코로나164명(~146,436) ▶동절기 코로나19 추가접종 실시(12세 이상, 기초접종완료자) bit.ly/3yx7ukd",cbs,군산시청,목,12세,"[('이상 기초접종완료자 bit ly', 0.5026)]"
