create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2021/08/25 14:45:57,204,전라북도 군산시,119417,"자금성(칠성5길139) 8/19(목) 14:50~15:30, 8/23(월) 16:50~17:20 방문자는 보건소 선별검사(09~18시) 바랍니다.",cbs,군산시청2,칠성5길139,,"[('09 18시', 0.473)]"
2021/05/26 09:00:58,204,전라북도 군산시,106925,▲예약방법 -온라인<자녀 대리 신청가능> ncvr.kdca.go.kr -콜센터(1339 또는 063-454-4950) -읍면동주민센터,cbs,군산시청2,1339 또는 063-454-4950,,"[('자녀 대리', 0.4546)]"
2021/05/17 09:01:13,204,전라북도 군산시,105751,▲예약방법 -온라인<자녀 대리신청가능> ncvr.kdca.go.kr -콜센터(1339 또는 063-454-4950) -읍면동주민센터,cbs,군산시청2,1339 또는 063-454-4950,,"[('콜센터 1339 또는 063', 0.3929)]"
2021/05/10 14:01:25,204,전라북도 군산시,104845,▲예약방법 -온라인<자녀 대리신청가능> ncvr.kdca.go.kr -콜센터(1339 또는 063-454-4950) -읍면동주민센터,cbs,군산시청2,1339 또는 063-454-4950,,"[('콜센터 1339 또는 063', 0.3929)]"
2021/04/12 11:36:28,204,전라북도 군산시,101915,"▲지곡동 동아리 화로구이(음식점) ▲4/9(금) 19:27 현금결제 72,000원(남자4명) 즉시 보건소 연락 바랍니다.(063-463-4000)",cbs,군산시청2,음식점,,"[('000원 남자4명 즉시 보건소', 0.5283)]"
2021/04/09 09:09:41,204,전라북도 군산시,101604,"▲4/5(월) 21:00~23:20 훈민정음(수송동,술집) ▲방문자는 보건소 선별진료소(09시~18시) 검사 바랍니다.(063-463-4000)",cbs,군산시청2,월,,"[('18시 검사', 0.4771)]"
2021/03/18 21:54:28,204,전라북도 군산시,98525,▲위 날짜에 국제종합기계 방문자나 접촉자는 보건소 선별진료소(09:00~21:00)에서 검사받으시기 바랍니다. (063-463-4000),cbs,군산시청2,09:00~21:00,,"[('00 에서 검사받으시기', 0.6092)]"
2021/03/15 08:28:06,204,전라북도 군산시,97820,▲ 동시간대 음식점 방문자는 군산시 보건소 선별진료소(09:00~21:00)에서 검사 받으시기 바랍니다(063-463-4000),cbs,군산시청2,09:00~21:00,,"[('선별진료소 09', 0.6435)]"
2021/02/26 17:33:39,204,전라북도 군산시,94855,"▲방문판매 등 직접판매홍보관(22시~익일05시 운영제한) ▲5인 이상 사적모임 금지 ▲종교시설 30%이내 제한(모임,식사금지) ▲방역수칙 준수 철저",cbs,군산시청2,22시~익일05시 운영제한,,"[('5인 이상 사적모임 금지', 0.5837)]"
2021/02/13 10:23:10,204,전라북도 군산시,91426,"▲식당,카페,실내체육시설,노래연습장,파티룸(운영시간 제한해제) ▲방문판매등 직접판매홍보관(22시이후 운영제한) ▲결혼,장례식장등 500명 미만 제한",cbs,군산시청2,운영시간 제한해제,,"[('카페 실내체육시설 노래연습장', 0.641)]"
