create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2023/11/06 16:41:50,28,경기도 군포시,206563,"군포시 강풍주의보 발효중. 낙하물 안전사고에 유의하시고 간판, 비닐하우스 등 시설물은 고정 조치해주시기 바랍니다.",cbs,군포시청,,,"[('군포시 강풍주의보', 0.7859)]"
2023/09/20 17:16:21,28,경기도 군포시,205443,"금정고가교 상판 일부 파손으로 교통통제중이오니, 호계방향으로 이동시 당동지하차도로 우회하여 주시기 바랍니다.",cbs,군포시청,,,"[('금정고가교 상판 일부', 0.6296)]"
2023/09/20 15:28:18,28,경기도 군포시,205413,오늘 13시 34분경 금정고가차도 상판 일부파손으로 군포지샘병원→안양방향 교통통제중이오니 안전점검 완료시까지 우회하여 주시기 바랍니다.,cbs,군포시청,,,"[('금정고가차도 상판 일부파손으로', 0.6802)]"
2023/08/23 09:02:48,28,경기도 군포시,204079,"08시 군포시 호우주의보 발효. 많은 비가 예상되오니, 하천변, 산책로, 산사태위험지역, 상습침수지역 등 위험지역 접근을 자제하여 주시기 바랍니다.",cbs,군포시청,,,"[('산사태위험지역 상습침수지역 위험지역', 0.6987)]"
2023/08/21 11:27:25,28,경기도 군포시,203880,"폭염주의보 발효 중입니다. 논밭 및 옥외노동자 야외작업 자제, 폭염 안전수칙(물, 그늘, 휴식)지키기 등 건강에 유의바랍니다.",cbs,군포시청,"물, 그늘, 휴식",,"[('자제 폭염 안전수칙', 0.6557)]"
2023/08/20 12:02:09,28,경기도 군포시,203775,"폭염주의보 발효 중입니다. 논밭 및 옥외노동자 야외작업 자제, 폭염 안전수칙(물, 그늘, 휴식)지키기 등 건강에 유의바랍니다.",cbs,군포시청,"물, 그늘, 휴식",,"[('자제 폭염 안전수칙', 0.6557)]"
2023/08/19 11:24:17,28,경기도 군포시,203690,"폭염주의보 발효 중입니다. 논밭 및 옥외노동자 야외작업 자제, 폭염 안전수칙(물, 그늘, 휴식)지키기 등 건강에 유의바랍니다.",cbs,군포시청,"물, 그늘, 휴식",,"[('자제 폭염 안전수칙', 0.6557)]"
2023/08/17 10:49:05,28,경기도 군포시,203504,"폭염주의보 발효 중입니다. 논밭 및 옥외노동자 야외작업 자제, 폭염 안전수칙(물, 그늘, 휴식)지키기 등 건강에 유의바랍니다.",cbs,군포시청,"물, 그늘, 휴식",,"[('자제 폭염 안전수칙', 0.6557)]"
2023/08/16 10:42:56,28,경기도 군포시,203419,"폭염주의보 발효 중입니다. 논밭 및 옥외노동자 야외작업 자제, 폭염 안전수칙(물, 그늘, 휴식)지키기 등 건강에 유의바랍니다.",cbs,군포시청,"물, 그늘, 휴식",,"[('자제 폭염 안전수칙', 0.6557)]"
2023/08/15 13:46:48,28,경기도 군포시,203356,"폭염주의보 발효 중. 논밭 및 옥외노동자 야외작업 자제, 폭염 안전수칙(물, 그늘, 휴식)지키기 등 건강에 유의바랍니다",cbs,군포시청,"물, 그늘, 휴식",,"[('지키기 건강에', 0.6855)]"
2023/08/14 10:13:15,28,경기도 군포시,203208,"폭염주의보 발효 중. 논밭 및 옥외노동자 야외작업 자제, 폭염 안전수칙(물, 그늘, 휴식)지키기 등 건강에 유의바랍니다",cbs,군포시청,"물, 그늘, 휴식",,"[('지키기 건강에', 0.6855)]"
2023/08/13 10:12:16,28,경기도 군포시,203112,"2023. 8. 13. 10:00 폭염주의보 발효. 논밭 및 옥외노동자 야외작업 자제, 폭염 안전수칙(물, 그늘, 휴식)지키기 등 건강에 유의바랍니다.",cbs,군포시청,"물, 그늘, 휴식",,"[('폭염주의보 발효', 0.605)]"
2023/08/07 13:09:39,28,경기도 군포시,201577,"폭염경보 지속 발효 중. 물 충분히 마시기, 논밭작업자 및 옥외노동자 야외작업 자제, 폭염 안전수칙(물, 그늘, 휴식)지키기 등 건강에 유의바랍니다.",cbs,군포시청,"물, 그늘, 휴식",,"[('폭염경보 지속', 0.7117)]"
2023/08/06 17:18:41,28,경기도 군포시,201490,"호우주의보 발효. 많은 비가 예상되오니 하천변, 산책로, 계곡, 산사태위험지역, 상습침수지역 등 위험지역 접근을 자제하여 주시기 바랍니다.",cbs,군포시청,,,"[('위험지역 접근을 자제하여', 0.7313)]"
