create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2023/09/21 00:14:29,"225,228,230","충청남도 논산시,충청남도 부여군,충청남도 서천군",205598,"오늘 00:20 논산천 논산시(논산대교) 홍수주의보 발령, 방송 등을 통해 홍수상황을 확인하시고, 하천변 이용을 자제하시기 바랍니다.",cbs,금강홍수통제소,논산대교,,"[('홍수상황을 확인하시고', 0.6174)]"
2023/09/20 22:34:22,"114,115,116,117,118,223,248,6474","대전광역시 대덕구,대전광역시 동구,대전광역시 서구,대전광역시 유성구,대전광역시 중구,충청남도 공주시,충청북도 청주시,세종특별자치시",205578,"오늘 22:40 갑천 대전시(원촌교) 홍수주의보 발령, 방송 등을 통해 홍수상황을 확인하시고, 하천변 이용을 자제하시기 바랍니다.",cbs,금강홍수통제소,원촌교,,"[('원촌교 홍수주의보 발령', 0.5296)]"
2023/09/20 20:28:30,"114,115,116,117,118,223,248,6474","대전광역시 대덕구,대전광역시 동구,대전광역시 서구,대전광역시 유성구,대전광역시 중구,충청남도 공주시,충청북도 청주시,세종특별자치시",205534,"오늘 20:30 갑천 대전시(만년교) 홍수주의보 발령, 방송 등을 통해 홍수상황을 확인하시고, 하천변 이용을 자제하시기 바랍니다.",cbs,금강홍수통제소,만년교,,"[('확인하시고 하천변 이용을', 0.5525)]"
2023/09/20 20:15:22,"226,231,233","충청남도 당진시,충청남도 아산시,충청남도 예산군",205528,"오늘 20:20 무한천 예산군(예산대교) 홍수주의보 발령, 방송 등을 통해 홍수상황을 확인하시고, 하천변 이용을 자제하시기 바랍니다.",cbs,금강홍수통제소,예산대교,,"[('이용을 자제하시기', 0.5227)]"
2023/08/10 14:54:59,"225,228,230","충청남도 논산시,충청남도 부여군,충청남도 서천군",202877,"오늘 15:00 논산천 논산시(논산대교) 홍수주의보 발령, 방송 등을 통해 홍수상황을 확인하시고, 하천변 이용을 자제하시기 바랍니다.",cbs,금강홍수통제소,논산대교,,"[('확인하시고 하천변', 0.6346)]"
2023/08/10 14:45:06,"242,243","충청북도 영동군,충청북도 옥천군",202869,"오늘 14:50 금강 영동군(양강교) 홍수주의보 발령, 방송 등을 통해 홍수상황을 확인하시고, 하천변 이용을 자제하시기 바랍니다.",cbs,금강홍수통제소,양강교,,"[('양강교 홍수주의보 발령', 0.5188)]"
2023/08/10 14:15:30,"226,231","충청남도 당진시,충청남도 아산시",202840,"오늘 14:20 곡교천 아산시(충무교) 홍수주의보 발령, 방송 등을 통해 홍수상황을 확인하시고, 하천변 이용을 자제하시기 바랍니다.",cbs,금강홍수통제소,충무교,,"[('홍수상황을 확인하시고 하천변 이용을', 0.529)]"
2023/08/10 13:55:15,"114,115,116,117,118,223,248,6474","대전광역시 대덕구,대전광역시 동구,대전광역시 서구,대전광역시 유성구,대전광역시 중구,충청남도 공주시,충청북도 청주시,세종특별자치시",202819,"오늘 14:00 갑천 대전시(만년교) 홍수주의보 발령, 방송 등을 통해 홍수상황을 확인하시고, 하천변 이용을 자제하시기 바랍니다.",cbs,금강홍수통제소,만년교,,"[('홍수상황을 확인하시고 하천변', 0.5745)]"
2023/08/10 10:56:40,"207,224,242","전라북도 무주군,충청남도 금산군,충청북도 영동군",202641,"오늘 11:00 무주남대천 무주군(취수장) 홍수주의보 발령, 방송 등을 통해 홍수상황을 확인하시고, 하천변 이용을 자제하시기 바랍니다.",cbs,금강홍수통제소,취수장,,"[('확인하시고 하천변', 0.5531)]"
2023/07/15 06:54:45,"204,211,223,225,228,230,235,6474","전라북도 군산시,전라북도 익산시,충청남도 공주시,충청남도 논산시,충청남도 부여군,충청남도 서천군,충청남도 청양군,세종특별자치시",197725,"오늘 07:00 금강 세종시(햇무리교) 홍수경보 변경발령, 저지대 침수 및 하천범람 등의 우려가 있으니 피해에 대비 바랍니다.",cbs,금강홍수통제소,햇무리교,,"[('하천범람 등의', 0.6575)]"
2023/07/15 06:34:41,"226,231","충청남도 당진시,충청남도 아산시",197710,"오늘 06:40 곡교천 아산시(충무교) 홍수경보 변경발령, 저지대 침수 및 하천범람 등의 우려가 있으니 피해에 대비 바랍니다.",cbs,금강홍수통제소,충무교,,"[('피해에 대비 바랍니다', 0.6762)]"
