create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2023/11/24 07:43:36,121,부산광역시 금정구,206966,주말까지 낮은 기온이 계속될 것으로 예상되오니 외출 시 보온장구 착용 등 체온유지에 유의하시고 화재 등 안전에 주의하시기 바랍니다.,cbs,금정구,,,"[('유의하시고 화재', 0.6451)]"
2023/11/23 17:26:46,121,부산광역시 금정구,206929,"오늘 밤 9시부터 한파주의보가 발효될 예정이 오니, 외출을 삼가시고 보온에 각별히 신경 써 주시기 바랍니다.",cbs,금정구,,,"[('삼가시고 보온에', 0.6057)]"
2023/11/18 05:39:48,121,부산광역시 금정구,206814,"현재 금정구 전역에 눈이 내리고 있어 낮은 온도로 도로결빙과 추위가 예상되오니 안전운전, 보행 및 건강관리에 유의하시기 바랍니다.",cbs,금정구,,,"[('금정구 전역에 눈이', 0.7592)]"
2023/11/06 08:44:43,121,부산광역시 금정구,206519,"온천천의 수위 상승으로 산책로 전 구간(남산역~온천장역)을 통제하오니, 주민들께서는 출입을 금지하여 주시고, 기상예보를 수시로 확인하여 주시기 바랍니다",cbs,금정구,남산역~온천장역,,"[('수시로 확인하여', 0.6933)]"
2023/11/06 05:37:48,121,부산광역시 금정구,206493,"오늘 출근시간대 전후로 호우·강풍이 예상되오니 낙하물 주의, 하천변 산책로, 저지대 등 안전위험지역 출입을 자제 바랍니다.",cbs,금정구,,,"[('자제 바랍니다', 0.6967)]"
2023/09/21 20:13:58,121,부산광역시 금정구,205632,"현재 온천천,수영강 수위가 높아 산책로를 통제하고 있습니다. 산책로를 이용하시는 주민께서는 즉시 밖으로 이동해 주시고,산책로 이용을 자제하시기 바랍니다.",cbs,금정구,,,"[('높아 산책로를 통제하고', 0.7871)]"
2023/09/20 19:56:09,121,부산광역시 금정구,205520,"호우경보 발효에 따라 산사태 발생이 우려되므로 산림인접지, 등산로 출입을 자제하시고 긴급상황 시 가까운 동행정복지센터로 대피하시기 바랍니다.",cbs,금정구,,,"[('발생이 우려되므로 산림인접지 등산로', 0.8165)]"
2023/09/20 17:26:24,121,부산광역시 금정구,205450,"내일까지 많은 비가 예보되어 금일 17시 30분부터 온천천, 수영강 산책로 출입을 통제합니다.",cbs,금정구,,,"[('예보되어 금일 17시', 0.5607)]"
2023/09/20 17:19:36,121,부산광역시 금정구,205444,"부산지역 호우주의보 발효에 따라 산사태 우려지, 급경사지, 저지대 등 위험징후 발견 시 사전대피 및 온천천,수영강 산책로 출입을 금지하여 주시기 바랍니다",cbs,금정구,,,"[('부산지역 호우주의보 발효에 따라', 0.7506)]"
2023/09/20 15:04:52,121,부산광역시 금정구,205409,"오늘 밤부터 내일 오후까지 많은 비가 예상되오니 하천변 산책로, 저지대 등 안전사고 위험지역 출입 금지 등 안전에 유의하시기 바랍니다.",cbs,금정구,,,"[('오늘 밤부터 내일', 0.6769)]"
2023/09/17 13:15:24,121,부산광역시 금정구,205299,많은 비로 인한 산사태주의보 발령. 지반이 약해진 상태로 산사태 발생 위험이 높으므로 산림인접지역 및 등산로 출입을 자제하시기 바랍니다.,cbs,금정구,,,"[('산사태주의보 발령', 0.7889)]"
2023/09/17 07:20:43,121,부산광역시 금정구,205276,호우경보 발효 중. 저지대 및 침수 우려지역 인근 주민께서는 위험징후 발견 시 즉시 대피하시고 하천변 등 위험지역 출입을 금지하여 주시기 바랍니다.,cbs,금정구,,,"[('출입을 금지하여', 0.7809)]"
2023/09/17 07:00:14,121,부산광역시 금정구,205272,"집중호우로 인한 산사태 경보 발령. 산사태 취약지 등 산림인접지, 등산로 출입을 자제하시고 긴급상황 시 가까운 동 행정복지센터로 대피하시기 바랍니다.",cbs,금정구,,,"[('등산로 출입을 자제하시고', 0.7282)]"
2023/09/17 06:17:57,121,부산광역시 금정구,205267,"현재 호우경보 발효 중. 침수 등 위험징후 발견 즉시 대피하시고, 급경사지 등 위험지역과 하천 산책로(온천천,수영강)는 출입을 금지하여 주시기 바랍니다",cbs,금정구,"온천천,수영강",,"[('대피하시고 급경사지', 0.7081)]"
2023/09/16 19:22:01,121,부산광역시 금정구,205253,"오늘 밤부터 내일 새벽까지 많은 비가 예상되니 침수 등 위험징후 발견 즉시 대피하시고, 하천 산책로(온천천,수영강)는 출입을 금지하여 주시기 바랍니다.",cbs,금정구,"온천천,수영강",,"[('하천 산책로 온천천 수영강', 0.6649)]"
2023/09/16 16:07:22,121,부산광역시 금정구,205220,오늘 밤부터 내일 새벽까지 많은 비가 예상되오니 침수우려 등 위험징후 시 사전대피 등 안전에 유의하시기 바랍니다.,cbs,금정구,,,"[('밤부터 내일', 0.6257)]"
2023/09/16 11:54:16,121,부산광역시 금정구,205179,금일 11시10부 부산지역 호우경보 발효. 온천천·수영강 산책로와 금단마을·영락공원 지하차도 통제중이오니 안전에 유의하여 주시기 바랍니다.,cbs,금정구,,,"[('안전에 유의하여 주시기', 0.6985)]"
2023/09/01 19:19:11,121,부산광역시 금정구,204797,"오늘 19시부로 부산지역 호우경보 발령, 온천천 및 수영강 산책로 19시 30분부로 통제되며 호우에 피해가 발생하지 않도록 안전에 유의하시기 바랍니다",cbs,금정구,,,"[('호우경보 발령 온천천', 0.7006)]"
