create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2023/09/20 23:22:52,121,부산광역시 금정구,205592,가족이나 지인이 장전동역 온천장 지하철역 인근으로 가셨다가 연락이 안되시거나 이를 목격하신 분은 119로 신고해 주시면 감사하겠습니다.,cbs,금정구청,,,"[('분은 119로 신고해', 0.7392)]"
2023/09/20 23:20:36,121,부산광역시 금정구,205590,"오늘 17:48분경 금정구 온천장 지하철역 인근 온천천에서 상의 연분홍색 남방, 하의 곤색바지 착용으로 추정되는 여성 실종상태임",cbs,금정구청,,,"[('착용으로 추정되는 여성 실종상태임', 0.6925)]"
2023/01/27 17:13:34,121,부산광역시 금정구,192104,"이번 주말 부산지역에 한파가 예상되므로 수도 계량기 동파 사고, 온열기 화재, 도로 미끄럼사고 등 피해예방에 유의하시길 바랍니다.",cbs,금정구청,,,"[('사고 온열기', 0.7678)]"
2023/01/24 17:18:35,121,부산광역시 금정구,191690,"기온 급강하에 따른 도로결빙으로 보행자 낙상사고가 우려되오니, 야외활동 자제, 수도관을 보온조치하여 주시고, 온열기 화재발생 등에 주의 바랍니다.",cbs,금정구청,,,"[('보행자 낙상사고가 우려되오니 야외활동', 0.6932)]"
2023/01/23 17:09:31,121,부산광역시 금정구,191445,"기온 급강하에 따른 도로결빙으로 보행자 낙상사고가 우려되오니, 야외활동 자제, 수도관을 보온조치하여 주시고, 온열기 화재발생 등에 주의바랍니다.",cbs,금정구청,,,"[('등에 주의바랍니다', 0.6887)]"
2022/12/23 20:27:23,121,부산광역시 금정구,187078,"구서중앙로15번길 일원 수도관 파열에 따른 도로결빙으로 두실초등학교 방면 통제 중, 운전자께서는 교통정보 확인 및 우회도로를 이용바랍니다.",cbs,금정구청,,,"[('도로결빙으로 두실초등학교 방면', 0.667)]"
2022/12/23 17:19:17,121,부산광역시 금정구,187020,"기온 급강하에 따른 도로결빙으로 보행자 낙상사고가 우려되오니, 야외활동을 자제하여 주시고, 수도관 보온조치, 온열기 화재방지 등에 주의 바랍니다.",cbs,금정구청,,,"[('화재방지 등에 주의', 0.724)]"
2022/12/21 08:00:34,121,부산광역시 금정구,186251,도로결빙으로 인해 산성로 등 일부 고지대 지역은 마을버스 운행이 어려워 제설작업 중이니 우회도로를 이용하는 등 안전사고에 유의하시길 바랍니다.,cbs,금정구청,,,"[('이용하는 안전사고에', 0.6247)]"
2022/11/29 21:00:28,121,부산광역시 금정구,182981,"오늘 부산지역에 한파경보. 노약자 보온 유지, 동상, 낙상 방지 위해 야외활동 자제, 수도관 등 보온조치, 온열기 화재방지 등 주의 바랍니다.",cbs,금정구청,,,"[('낙상 방지 위해 야외활동', 0.6604)]"
2022/09/18 21:18:47,121,부산광역시 금정구,173532,"제14호 태풍 '난마돌'이 접근 중입니다. 산사태, 침수우려가 있을 경우 인근 행정복센터 등 안전한 곳으로 대피 바랍니다.",cbs,금정구청,,,"[('산사태 침수우려가', 0.6393)]"
