create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2023/08/22 17:51:28,144,서울특별시 금천구,204009,오늘 밤부터 내일까지 많은 비가 예상됨에 따라 피해 예방을 위하여 지하주택 배수시설 및 물막이판 등을 점검하여 대비에 철저를 기하여 주시기 바랍니다.,cbs,금천구청,,,"[('대비에 철저를 기하여', 0.6424)]"
2023/08/10 15:34:20,144,서울특별시 금천구,202904,"태풍이 북상 중으로 많은 비와 강풍이 예상되오니 외출을 자제하여 주시고 특히 하천출입 금지, 배수점검 등 안전에 유의하여 주시기 바랍니다.",cbs,금천구청,,,"[('유의하여 주시기', 0.6835)]"
2023/08/10 10:07:38,144,서울특별시 금천구,202578,태풍 북상으로 많은 비와 강풍이 예상됩니다. 안양천 수위상승으로 산책로 및 자전거도로를 통제하오니 진입을 삼가주시기 바랍니다.,cbs,금천구청,,,"[('태풍 북상으로 많은 비와', 0.7005)]"
2023/08/09 17:46:26,144,서울특별시 금천구,202132,"태풍 북상으로 강한 바람과 호우가 예상됩니다. 축대, 배수로 등을 사전 점검하시고 강풍에 대비하여 간판, 창문 등은 미리 고정해 주시기 바랍니다.",cbs,금천구청,,,"[('태풍 북상으로 강한', 0.6726)]"
2023/08/09 13:22:51,144,서울특별시 금천구,201960,"태풍이 북상 중으로 많은 비가 예보되어 있으니, 강풍에 대비한 시설물 및 배수시설 등을 점검하여 사전대비에 철저를 기하여 주시기 바랍니다.",cbs,금천구청,,,"[('태풍이 북상 중으로 많은', 0.7468)]"
2023/07/30 19:02:30,144,서울특별시 금천구,200386,호우주의보 발령으로 국지성 소나기가 내리고 있어 지하주택 등 침수 취약지역 배수시설 사전점검 바랍니다.,cbs,금천구청,,,"[('소나기가 내리고 있어', 0.6468)]"
2023/07/23 07:19:33,144,서울특별시 금천구,199420,7월 23일 06:00부로 호우주의보가 발효됨에 따라 피해 예방을 위하여 배수시설 점검 및 침수취약지역 주민들의 각별한 유의 바랍니다.,cbs,금천구청,,,"[('위하여 배수시설 점검 침수취약지역', 0.594)]"
2023/07/22 21:35:26,144,서울특별시 금천구,199399,"내일 새벽부터 많은 비가 예상되오니 절개지, 사면 등 산사태 위험지역, 지하주택에 대한 사전점검 등 안전에 유의하시기 바랍니다.",cbs,금천구청,,,"[('새벽부터 많은 비가 예상되오니', 0.7568)]"
2023/07/13 17:52:50,144,서울특별시 금천구,197114,오늘 밤부터 내일까지 많은 비가 예상됨에 따라 지하 주택 배수시설 및 물막이판 등을 점검하여 사전대비에 철저를 기하여 주시기 바랍니다.,cbs,금천구청,,,"[('사전대비에 철저를', 0.6617)]"
2023/07/13 14:44:22,144,서울특별시 금천구,197089,"지속적인 강우로 인해 지반이 약해진 상태입니다. 산사태, 절개지 및 축대 등 위험지역 인근 주민께서는 안전에 유의해 주시기 바랍니다.",cbs,금천구청,,,"[('축대 위험지역 인근', 0.6203)]"
2023/07/13 10:32:23,144,서울특별시 금천구,197018,"오늘 낮부터 강한 비가 예상되니 하천변 산책로, 반지하 주택 등 침수발생 시 즉시 안전한 곳으로 대피하여 주시기 바랍니다.",cbs,금천구청,,,"[('즉시 안전한', 0.7297)]"
2023/07/13 10:19:49,144,서울특별시 금천구,197014,"서울 지방에 호우주의보가 발효되어 많은 비가 예상되오니 절개지, 사면 등 산사태 위험지역, 지하주택에 대한 사전점검 등 안전에 유의하시기 바랍니다.",cbs,금천구청,,,"[('위험지역 지하주택에 대한', 0.754)]"
2023/07/11 14:56:54,144,서울특별시 금천구,196808,"서울 지방에 호우주의보가 발효되어 많은 비가 예상되오니 절개지, 사면 등 산사태 위험지역, 지하주택에 대한 사전점검 등 안전에 유의하시기 바랍니다.",cbs,금천구청,,,"[('위험지역 지하주택에 대한', 0.754)]"
2023/07/09 13:06:18,144,서울특별시 금천구,196665,서울지역에 호우주의보가 발효됨에 따라 피해 예방을 위하여 지하주택 등 취약지역에 대한 배수시설 점검 및 안전에 유의 바랍니다.,cbs,금천구청,,,"[('배수시설 점검 안전에', 0.7163)]"
2023/07/04 20:08:32,144,서울특별시 금천구,196470,"강한 비구름으로 집중호우가 예상되오니 자택 주변 배수시설, 축대 등 위험시설을 사전 점검해주시기 바랍니다.",cbs,금천구청,,,"[('주변 배수시설', 0.7258)]"
2023/07/04 17:01:03,144,서울특별시 금천구,196436,금일 18:00시 호우주의보가 발효됨에 따라 많은 비가 예상되므로 지하주택의 배수시설 및 물막이판 등 사전점검에 철저를 기하여 주시기 바랍니다.,cbs,금천구청,,,"[('비가 예상되므로 지하주택의', 0.6688)]"
2023/06/29 11:11:13,144,서울특별시 금천구,196115,"계속되는 강우로 인해 배수불량으로 인한 피해가 없도록 주의하여 주시고, 침수 위험지역 및 지하주택 주민들께서는 안전에 유의하시기 바랍니다.",cbs,금천구청,,,"[('계속되는 강우로 인해 배수불량으로', 0.752)]"
2023/06/29 09:01:27,144,서울특별시 금천구,196084,금일 많은 비가 예상됨에 따라 피해 예방을 위하여 지하 주택 배수시설 및 물막이판 등을 점검하여 사전대비에 철저를 기하여 주시기 바랍니다.,cbs,금천구청,,,"[('지하 주택 배수시설', 0.737)]"
2023/05/04 18:06:23,144,서울특별시 금천구,194844,"오늘 저녁부터 6일 오전까지 60~100mm의 비가 올 것으로 예상되오니, 배수시설 점검 등을 실시하여 침수피해가 발생치 않도록 유의하시기 바랍니다.",cbs,금천구청,,,"[('배수시설 점검 등을 실시하여', 0.5382)]"
2023/01/23 23:22:51,144,서울특별시 금천구,191522,"한파경보 발효. 기온 급강하에 대비하여 가정 내 보온유지, 수도계량기 동파예방, 난방기 화재 등 안전사고에 주의하시기 바랍니다.",cbs,금천구청,,,"[('가정 보온유지 수도계량기', 0.7201)]"
2023/01/17 09:35:13,144,서울특별시 금천구,190604,오늘 08:05 가산디지털1로 120 서울시립금천청소년 쉼터 앞 도로 지반 침하 발생. 1개 차선 통제중이오니 우회 및 안전에 유의바랍니다.,cbs,금천구청,,,"[('침하 발생', 0.5742)]"
2022/12/23 16:32:41,144,서울특별시 금천구,187004,"현재 한파주의보 지속중이며, 주말까지 강한 추위에 대비하여 가정내 보온유지, 난방기기 화재발생 유의, 미끄럼 사고 등 안전사고에 주의하시기 바랍니다.",cbs,금천구청,,,"[('지속중이며 주말까지 강한', 0.7282)]"
2022/12/21 21:09:02,144,서울특별시 금천구,186486,"오늘 21시 한파 주의보 발효. 야외활동 자제, 외출시 보온 유의, 도로 결빙 주의 및 수도계량기 동파방지 등에 주의하여 주시기 바랍니다.",cbs,금천구청,,,"[('결빙 주의 수도계량기', 0.5733)]"
2022/12/20 18:09:32,144,서울특별시 금천구,186188,"내일 새벽부터 3~8cm의 눈 예보가 있으므로, 가급적 대중교통을 이용해 주시기 바라며, 보행 시 낙상사고에 주의하여 주시기 바랍니다.",cbs,금천구청,,,"[('주시기 바라며 보행', 0.6451)]"
2022/12/15 17:14:36,144,서울특별시 금천구,185303,"오늘 강설 및 기온 하강에 따라 도로결빙이 우려되므로 가급적 대중교통을 이용해 주시기 바라며, 보행자는 보행 시 낙상사고에 주의하여 주시기 바랍니다.",cbs,금천구청,,,"[('주시기 바라며', 0.6375)]"
2022/12/15 09:00:09,144,서울특별시 금천구,185158,"오늘 3~8cm 눈 예보가 있으므로, 가급적 대중교통을 이용해 주시기 바라며, 보행자는 보행 시 낙상사고에 주의하여 주시기 바랍니다.",cbs,금천구청,,,"[('보행 낙상사고에 주의하여', 0.5805)]"
2022/12/13 14:50:41,144,서울특별시 금천구,184852,"금일 1~4cm의 강설이 예상되니, 가급적 대중교통을 이용해 주시고 운전 시 감속 운행 및 미끄럼 사고에 주의 바랍니다.",cbs,금천구청,,,"[('가급적 대중교통을', 0.6048)]"
2022/12/02 20:57:58,144,서울특별시 금천구,183418,"12.3.(토) 아침부터 강설이 예정되어 있으므로, 가급적 대중교통을 이용하여 주시기 바랍니다.",cbs,금천구청,토,,"[('강설이 예정되어', 0.4035)]"
2022/11/28 17:47:49,144,서울특별시 금천구,182765,"금일 야간부터 내일 새벽시간대 많은 강우가 예상되오니, 시민분들께서 배수불량으로 인한 피해가 없도록 각별히 주의해주시기 바랍니다.",cbs,금천구청,,,"[('배수불량으로 인한 피해가', 0.7537)]"
2022/11/28 11:51:58,144,서울특별시 금천구,182726,"오늘 10:02경 가산동 459-28번지 한국건설생활환경시험연구원 화재 발생으로 인근 도로 통제하오니, 인근지역 운행 차량은 우회하여주시기 바랍니다.",cbs,금천구청,,,"[('인근지역 운행 차량은 우회하여주시기', 0.6035)]"
2022/11/28 10:34:08,144,서울특별시 금천구,182713,오늘 10:02경 가산동 한국건설생활환경시험연구원 2층 실험실 화재 발생. 이 지역을 우회하여 주시고 인근 주민은 안전사고 발생에 유의 바랍니다.,cbs,금천구청,,,"[('주시고 인근 주민은 안전사고', 0.613)]"
2022/11/24 17:58:27,144,서울특별시 금천구,182225,금일 22:00 월드컵경기 시 다중이용시설 등 많은 인원이 밀집되는 장소 및 광화문 길거리 응원 등 안전사고 예방을 위해 각별히 주의해주시기 바랍니다.,cbs,금천구청,,,"[('다중이용시설 많은', 0.6904)]"
2022/11/12 22:37:05,144,서울특별시 금천구,180691,금일 집중호우로 인한 피해예방을 위하여 배수시설 점검 및 침수취약지역 주민들의 각별한 유의 바랍니다.,cbs,금천구청,,,"[('각별한 유의', 0.6606)]"
2022/10/30 12:05:36,144,서울특별시 금천구,178922,"이태원 압사 사고 관련하여, 실종자 접수처 안내드립니다. 02-2199-8660, 8664~8678 다산콜센터120",cbs,금천구청,,,"[('안내드립니다 02 2199 8660', 0.6296)]"
2022/09/27 17:39:34,144,서울특별시 금천구,174739,"서해안 고속도로 소하JC부근 화재. 상행선(성산대교 방향) 통행 재개, 하행선(목포방향) 정체",cbs,금천구청,성산대교 방향,,"[('통행 재개', 0.6357)]"
2022/09/27 17:14:36,144,서울특별시 금천구,174732,"오늘 16:40경 서해안 고속도로 차량화재 발생. 서해안 고속도로 금천IC 부근 양방향 전면 통제중임을 알려드리니, 우회하시기 바랍니다.",cbs,금천구청,,,"[('고속도로 금천ic', 0.4813)]"
2022/09/05 23:58:24,144,서울특별시 금천구,171484,"9월6일 00:00부로 강풍주의보가 발효됨에 따라 피해가 예상되는 간판, 입간판, 가판대, 가시설물, 천막, 화분등은 고정, 철거하여 주시기 바랍니다",cbs,금천구청,,,"[('강풍주의보가 발효됨에 따라', 0.6586)]"
2022/09/05 17:44:34,144,서울특별시 금천구,171270,"태풍 힌남노의 영향으로 오늘 밤부터 많은 비가 예상되오니 산사태 위험지역, 하천범람위험지역, 침수위험지역 인근거주민께서는 안전에 유의하시기 바랍니다.",cbs,금천구청,,,"[('영향으로 오늘', 0.636)]"
2022/09/05 11:36:55,144,서울특별시 금천구,171101,태풍 북상과 함께 호우주의보가 12:00부로 발효 예정이니 피해가 없도록 배수시설물등을 정비하여 주시고 안전에 유의하시기 바랍니다.,cbs,금천구청,,,"[('예정이니 피해가 없도록 배수시설물등을', 0.636)]"
2022/09/04 18:00:13,144,서울특별시 금천구,170933,"태풍 힌남노의 영향으로 5~6일 사이 호우와 강풍이 예상되오니 상습침수지역, 산사태위험지역, 하천인접지역은 태풍에 대비하여주시고 하천출입을 금지합니다.",cbs,금천구청,,,"[('예상되오니 상습침수지역 산사태위험지역', 0.6578)]"
2022/09/04 12:22:29,144,서울특별시 금천구,170823,"현재 태풍 힌남노의 영향으로 불규칙한 강풍이 발생하고 있으니 피해가 예상되는 간판,가시설물,가판대,천막,화분 등은 고정하거나 철거하시기 바랍니다.",cbs,금천구청,,,"[('고정하거나 철거하시기', 0.6903)]"
2022/09/03 17:28:26,144,서울특별시 금천구,170704,9월4일 밤부터 태풍의 영향으로 많은비가 예상되오니 피해가 없도록 사전대비하여 하천 및 침수(위험)지역 인근 주민분들께서는 각별한 주의 부탁드립니다.,cbs,금천구청,위험,,"[('주의 부탁드립니다', 0.5845)]"
2022/09/02 19:21:12,144,서울특별시 금천구,170546,"9.5. 태풍북상이 예상되오니 피해가 없도록 주말간 강풍 및 폭우에 대비하여 주시고, 수해피해 지역은 각별한 주의를 기울이시기 바랍니다.",cbs,금천구청,,,"[('폭우에 대비하여 주시고', 0.7169)]"
2022/08/19 18:06:47,144,서울특별시 금천구,168704,밤사이 많은 비가 예보되어 있고 지난 폭우로 지반이 약해진 상태입니다. 산사태 및 침수위험지역 인근 주민께서는 안전에 유의해주시기 바랍니다.,cbs,금천구청,,,"[('있고 지난 폭우로', 0.6098)]"
2022/08/15 19:48:14,144,서울특별시 금천구,168103,"금일 집중호우,강풍 예상, 지속적인 강우로 지반이 약해져 있어 산지,절개지,축대,간판,배수시설 점검 및 침수취약지역 주민들의 각별한 유의바랍니다.",cbs,금천구청,,,"[('간판 배수시설 점검', 0.7096)]"
2022/08/09 17:59:06,144,서울특별시 금천구,167136,"지속적인 강우로 인해 안양천 수위가 상승하여 침수가 예상되오니 안양천 출입을 금지하여 주시고, 안전사고에 유의하시기 바랍니다.",cbs,금천구청,,,"[('출입을 금지하여', 0.7776)]"
2022/07/13 17:08:45,144,서울특별시 금천구,163426,지속적인 강우로 인해 안양천 수위가 상승하여 침수가 예상되오니 안양천 출입을 금지하여 주시기 바랍니다.,cbs,금천구청,,,"[('강우로 인해 안양천', 0.7121)]"
2022/04/13 15:04:33,144,서울특별시 금천구,151831,오늘 14:30경 시흥대로64길 27 우림메르디앙 외장재 탈락 사고 발생. 인근 도로 전면 통제하오니 인근 지역 운행차량은 우회하여 주시기 바랍니다.,cbs,금천구청,,,"[('외장재 탈락 사고 발생', 0.559)]"
