create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2023/10/25 21:51:00,"113,202,222,238,6474","대전광역시 전체,전라북도 전체,충청남도 전체,충청북도 전체,세종특별자치시",206262,10월25일21:46 충남 공주시 남남서쪽 12km 지역 규모3.4 지진발생/추가 지진 발생상황에 유의 바람,cbs_kma,기상청,,,"[('규모3 지진발생 추가', 0.5212)]"
2023/09/16 20:34:40,8517,경기도 안산시 단원구,205260,"20:33 단원구 대부동 인근에 시간당 50mm 이상 강한 비로 침수 등 우려, 안전확보를 위한 국민행동요령 확인 바람 cbs.kma.go.kr",cbs,기상청,,,"[('단원구 대부동 인근에 시간당', 0.3705)]"
2023/07/29 19:08:11,"2,21,53,74,98,104,113,119,136,162,168,179,202,217,222,238,6474","강원특별자치도 전체,경기도 전체,경상남도 전체,경상북도 전체,광주광역시 전체,대구광역시 전체,대전광역시 전체,부산광역시 전체,서울특별시 전체,울산광역시 전체,인천광역시 전체,전라남도 전체,전라북도 전체,제주특별자치도 전체,충청남도 전체,충청북도 전체,세종특별자치시",200199,"07월29일19:07 전북 장수군 북쪽 18km 지역 규모4.1 지진발생/낙하물로부터 몸 보호, 진동 멈춘 후 야외 대피하며 여진주의",cbs_kma,기상청,,,"[('보호 진동 멈춘 야외', 0.6086)]"
2023/07/26 20:23:41,"6905,7004,7005,7006,7008,8590","서울특별시 광진구,서울특별시 중랑구,서울특별시 중랑구,서울특별시 중랑구,서울특별시 중랑구,경기도 구리시",199918,"20:16 중랑구 면목본동 인근에 시간당 50mm 이상 강한 비로 침수 등 우려, 안전확보를 위한 국민행동요령 확인 바람 cbs.kma.go.kr",cbs,기상청,,,"[('이상 강한 비로', 0.3819)]"
2023/07/11 16:00:55,"7136,7179,7180,7183,7184,7189,7190","서울특별시 구로구,서울특별시 영등포구,서울특별시 영등포구,서울특별시 동작구,서울특별시 동작구,서울특별시 동작구,서울특별시 동작구",196844,"15:48 동작구 신대방제1동 인근에 시간당 72mm 이상 강한 비로 침수 등 우려, 안전확보를 위한 국민행동요령 확인 바람 cbs.kma.go.kr",cbs,기상청,,,"[('이상 강한 비로', 0.3853)]"
2023/05/15 06:27:55,2,강원도 전체,195051,"05월15일06:27 강원 동해시 북동쪽 74km 해역 규모4.0 지진발생/낙하물로부터 몸 보호, 진동 멈춘 후 야외 대피하며 여진주의",cbs_kma,기상청,,,"[('27 강원 동해시', 0.5596)]"
2023/04/30 19:06:42,"74,104,113,202,222,238,6474","경상북도 전체,대구광역시 전체,대전광역시 전체,전라북도 전체,충청남도 전체,충청북도 전체,세종특별자치시",194754,04월30일19:03 충북 옥천군 동쪽 16km 지역 규모3.1 지진발생/추가 지진 발생상황에 유의 바람,cbs_kma,기상청,,,"[('지진 발생상황에 유의', 0.52)]"
2023/04/25 16:00:11,2,강원도 전체,194682,04월25일15:55 강원 동해시 북동쪽 50km 해역 규모3.5 지진발생/추가 지진 발생상황에 유의 바람,cbs_kma,기상청,,,"[('규모3 지진발생 추가', 0.5018)]"
2023/03/03 11:31:15,"53,98,119,162,179,202","경상남도 전체,광주광역시 전체,부산광역시 전체,울산광역시 전체,전라남도 전체,전라북도 전체",193263,03월03일11:26 경남 진주시 서북서쪽 16km 지역 규모3.0 지진발생/추가 지진 발생상황에 유의 바람,cbs_kma,기상청,,,"[('추가 지진 발생상황에 유의', 0.5548)]"
2023/01/09 01:28:30,"21,136,168","경기도 전체,서울특별시 전체,인천광역시 전체",189438,"01월09일01:28 인천 강화군 서쪽 26km 해역 규모4.0 지진발생/낙하물로부터 몸 보호, 진동 멈춘 후 야외 대피하며 여진주의",cbs_kma,기상청,,,"[('01월09일01 28 인천', 0.5368)]"
2022/12/01 15:21:13,"53,74,104,119,162,202,238","경상남도 전체,경상북도 전체,대구광역시 전체,부산광역시 전체,울산광역시 전체,전라북도 전체,충청북도 전체",183234,12월01일15:17 경북 김천시 동북동쪽 14km 지역 규모3.2 지진발생/추가 지진 발생상황에 유의 바람,cbs_kma,기상청,,,"[('추가 지진 발생상황에', 0.4922)]"
2022/10/29 08:28:18,"2,21,53,74,98,104,113,119,136,162,168,179,202,217,222,238,6474","강원도 전체,경기도 전체,경상남도 전체,경상북도 전체,광주광역시 전체,대구광역시 전체,대전광역시 전체,부산광역시 전체,서울특별시 전체,울산광역시 전체,인천광역시 전체,전라남도 전체,전라북도 전체,제주특별자치도 전체,충청남도 전체,충청북도 전체,세종특별자치시",178680,"10월29일08:27 충북 괴산군 북동쪽 12km 지역 규모4.3 지진발생/낙하물로부터 몸 보호, 진동 멈춘 후 야외 대피하며 여진주의",cbs_kma,기상청,,,"[('낙하물로부터 보호 진동', 0.5136)]"
2022/10/29 08:27:51,"2,21,74,104,113,136,168,222,238,6474","강원도 전체,경기도 전체,경상북도 전체,대구광역시 전체,대전광역시 전체,서울특별시 전체,인천광역시 전체,충청남도 전체,충청북도 전체,세종특별자치시",178679,"10월29일08:27 충북 괴산군 북동쪽 11km 지역 규모3.5 지진발생/낙하물로부터 몸 보호, 진동 멈춘 후 야외 대피하며 여진주의",cbs_kma,기상청,,,"[('진동 멈춘 야외 대피하며', 0.4994)]"
2021/12/14 17:19:32,"2,21,53,74,98,104,113,119,136,162,168,179,202,217,222,238,6474","강원도 전체,경기도 전체,경상남도 전체,경상북도 전체,광주광역시 전체,대구광역시 전체,대전광역시 전체,부산광역시 전체,서울특별시 전체,울산광역시 전체,인천광역시 전체,전라남도 전체,전라북도 전체,제주특별자치도 전체,충청남도 전체,충청북도 전체,세종특별자치시",133810,"12월14일17:19 제주 서귀포시 서남서쪽 32km 해역 규모5.3 지진발생/낙하물로부터 몸 보호, 진동 멈춘 후 야외 대피하며 여진주의",cbs_kma,기상청,,,"[('진동 멈춘 야외 대피하며', 0.4822)]"
2020/05/11 19:45:42,"2,21,136,168","강원도 전체,경기도 전체,서울특별시 전체,인천광역시 전체",35056,"05월11일19:45 북한 강원 평강 북북서쪽 37km 지역 규모4.0 지진발생/낙하물로부터 몸 보호, 진동 멈춘 후 야외 대피하며 여진주의",cbs_kma,기상청,,,"[('낙하물로부터 보호 진동', 0.5827)]"
2020/05/03 22:10:42,"98,179","광주광역시 전체,전라남도 전체",34429,"05월03일22:07 전남 해남군 서북서쪽 21km 지역 규모3.1 지진발생/낙하물로부터 몸 보호, 진동 멈춘 후 야외 대피하며 여진주의",cbs_kma,기상청,,,"[('규모3 지진발생', 0.6136)]"
2020/01/30 00:56:43,"74,104,238","경상북도 전체,대구광역시 전체,충청북도 전체",25075,"01월30일00:52 경북 상주시 북쪽 20km 지역 규모3.2 지진발생/낙하물로부터 몸 보호, 진동 멈춘 후 야외 대피하며 여진주의",cbs_kma,기상청,,,"[('낙하물로부터 보호 진동', 0.5431)]"
2019/12/30 00:32:26,"53,74,104,119,162","경상남도 전체,경상북도 전체,대구광역시 전체,부산광역시 전체,울산광역시 전체",24998,"12월30일00:32 경남 밀양시 동북동쪽 16km 지역 규모3.5 지진발생/낙하물로부터 몸 보호, 진동 멈춘 후 야외 대피하며 여진주의",cbs_kma,기상청,,,"[('진동 멈춘 야외 대피하며', 0.493)]"
2019/10/27 15:40:10,"53,74,104,119,162","경상남도 전체,경상북도 전체,대구광역시 전체,부산광역시 전체,울산광역시 전체",24912,"10월27일15:37 경남 창녕군 남쪽 15km 지역 규모3.4 지진발생/낙하물로부터 몸 보호, 진동 멈춘 후 야외 대피하며 여진주의",cbs_kma,기상청,,,"[('규모3 지진발생 낙하물로부터', 0.5753)]"
2019/07/21 11:05:07,"74,104,238","경상북도 전체,대구광역시 전체,충청북도 전체",24517,"07월21일11:04 경북 상주시 북북서쪽 11km 지역 규모3.9 지진발생/낙하물로부터 몸 보호, 진동 멈춘 후 야외 대피하며 여진주의",cbs_kma,기상청,,,"[('진동 멈춘 야외 대피하며', 0.5545)]"
2019/04/22 05:46:11,"74,104","경상북도 전체,대구광역시 전체",24409,"04월22일05:45 경북 울진군 동남동쪽 43km 해역 규모4.0 지진발생/낙하물로부터 몸 보호, 진동 멈춘 후 야외 대피하며 여진주의",cbs_kma,기상청,,,"[('낙하물로부터 보호 진동 멈춘', 0.5279)]"
2019/02/10 12:54:35,"74,104","경상북도 전체,대구광역시 전체",24172,"02월10일12:53 경북 포항시 북구 동북동쪽 58km 해역 규모4.0 지진발생/낙하물 유의,야외 대피하며 여진주의",cbs_kma,기상청,,,"[('02월10일12 53 경북', 0.578)]"
2018/02/11 05:10:31,"2,21,53,74,98,104,113,119,136,162,168,179,202,217,222,238,6474","강원도 전체,경기도 전체,경상남도 전체,경상북도 전체,광주광역시 전체,대구광역시 전체,대전광역시 전체,부산광역시 전체,서울특별시 전체,울산광역시 전체,인천광역시 전체,전라남도 전체,전라북도 전체,제주특별자치도 전체,충청남도 전체,충청북도 전체,세종특별자치시",3383,02.11 05:03 경북 포항시 북구 북서쪽 5km 지역 규모4.6 지진발생/여진 등 안전에 주의바랍니다.,cbs,기상청,,,"[('경북 포항시', 0.5242)]"
2017/12/25 16:20:24,"74,104,162","경상북도 전체,대구광역시 전체,울산광역시 전체",3204,12-25 16:19 경북 포항시 북구 북동쪽 6km 지역 규모3.7 지진발생/여진 등 안전에 주의바랍니다.,cbs,기상청,,,"[('경북 포항시', 0.4759)]"
2017/11/20 06:06:17,"74,104,162","경상북도 전체,대구광역시 전체,울산광역시 전체",3115,11-20 06:05 경북 포항시 북구 북쪽 11km 지역 규모3.8 지진발생/여진 등 안전에 주의바랍니다.,cbs,기상청,,,"[('경북 포항시', 0.4245)]"
2017/11/19 23:46:49,"74,104,162","경상북도 전체,대구광역시 전체,울산광역시 전체",3114,11-19 23:45 경북 포항시 북구 북쪽 9km 지역 규모3.7 지진발생/여진 등 안전에 주의바랍니다.,cbs,기상청,,,"[('45 경북', 0.3971)]"
2017/11/16 09:03:44,"74,104,162","경상북도 전체,대구광역시 전체,울산광역시 전체",3107,11-16 09:02 경북 포항시 북구 북쪽 8Km 지역 규모3.8 지진발생/여진 등 안전에 주의바랍니다.,cbs,기상청,,,"[('지진발생 여진 안전에', 0.498)]"
2017/11/15 16:50:36,"2,21,53,74,98,104,113,119,136,162,168,179,202,217,222,238,6474","강원도 전체,경기도 전체,경상남도 전체,경상북도 전체,광주광역시 전체,대구광역시 전체,대전광역시 전체,부산광역시 전체,서울특별시 전체,울산광역시 전체,인천광역시 전체,전라남도 전체,전라북도 전체,제주특별자치도 전체,충청남도 전체,충청북도 전체,세종특별자치시",3103,11-15 16:49 경북 포항시 북구 북쪽 8Km 지역 규모4.6 지진발생/여진 등 안전에 주의바랍니다.,cbs,기상청,,,"[('지진발생 여진 안전에', 0.4661)]"
