create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2020/10/11 14:00:29,122,부산광역시 기장군,61069,3.각종모임 및 행사참석 자제(10인 이상) 4.다중이용시설 방문 자제,cbs,기장군 3단계 준하는 사회적 거리두기 4원칙 안내,10인 이상,,"[('방문 자제', 0.4145)]"
2020/10/11 14:00:15,122,부산광역시 기장군,61068,1.외출시 마스크 착용 필수 2.필수적 사회경제 활동 외 모든 활동 자제,cbs,기장군 3단계 준하는 사회적 거리두기 4원칙 안내,,,"[('필수 필수적', 0.605)]"
2020/10/10 14:00:25,122,부산광역시 기장군,60982,3.각종모임 및 행사참석 자제(10인 이상) 4.다중이용시설 방문 자제,cbs,기장군 3단계 준하는 사회적 거리두기 4원칙 안내,10인 이상,,"[('방문 자제', 0.4145)]"
2020/10/10 14:00:14,122,부산광역시 기장군,60981,1.외출시 마스크 착용 필수 2.필수적 사회경제 활동 외 모든 활동 자제,cbs,기장군 3단계 준하는 사회적 거리두기 4원칙 안내,,,"[('필수 필수적', 0.605)]"
2020/10/09 14:00:49,122,부산광역시 기장군,60890,3.각종모임 및 행사참석 자제(10인 이상) 4.다중이용시설 방문 자제,cbs,기장군 3단계 준하는 사회적 거리두기 4원칙 안내,10인 이상,,"[('방문 자제', 0.4145)]"
2020/10/09 14:00:34,122,부산광역시 기장군,60889,1.외출시 마스크 착용 필수 2.필수적 사회경제 활동 외 모든 활동 자제,cbs,기장군 3단계 준하는 사회적 거리두기 4원칙 안내,,,"[('필수 필수적', 0.605)]"
2020/10/08 14:00:34,122,부산광역시 기장군,60729,3.각종모임 및 행사참석 자제(10인 이상) 4.다중이용시설 방문 자제,cbs,기장군 3단계 준하는 사회적 거리두기 4원칙 안내,10인 이상,,"[('방문 자제', 0.4145)]"
2020/10/08 14:00:17,122,부산광역시 기장군,60728,1.외출시 마스크 착용 필수 2.필수적 사회경제 활동 외 모든 활동 자제,cbs,기장군 3단계 준하는 사회적 거리두기 4원칙 안내,,,"[('필수 필수적', 0.605)]"
2020/10/07 14:01:16,122,부산광역시 기장군,60614,3.각종모임 및 행사참석 자제(10인 이상) 4.다중이용시설 방문 자제,cbs,기장군 3단계 준하는 사회적 거리두기 4원칙 안내,10인 이상,,"[('방문 자제', 0.4145)]"
2020/10/07 14:00:56,122,부산광역시 기장군,60613,1.외출시 마스크 착용 필수 2.필수적 사회경제 활동 외 모든 활동 자제,cbs,기장군 3단계 준하는 사회적 거리두기 4원칙 안내,,,"[('필수 필수적', 0.605)]"
2020/10/06 14:00:20,122,부산광역시 기장군,60489,3.각종모임 및 행사참석 자제(10인 이상) 4.다중이용시설 방문 자제,cbs,기장군 3단계 준하는 사회적 거리두기 4원칙 안내,10인 이상,,"[('방문 자제', 0.4145)]"
2020/10/06 14:00:10,122,부산광역시 기장군,60488,1.외출시 마스크 착용 필수 2.필수적 사회경제 활동 외 모든 활동 자제,cbs,기장군 3단계 준하는 사회적 거리두기 4원칙 안내,,,"[('필수 필수적', 0.605)]"
2020/10/05 14:00:16,122,부산광역시 기장군,60376,3.각종모임 및 행사참석 자제(10인 이상) 4.다중이용시설 방문 자제,cbs,기장군 3단계 준하는 사회적 거리두기 4원칙 안내,10인 이상,,"[('방문 자제', 0.4145)]"
