create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2020/11/02 14:00:24,122,부산광역시 기장군,63119,"1.마스크 착용 필수 2.각종 시설 방문시 방역수칙 준수 철저 3.불필요한 행사,모임 참석 및 다중이용시설 방문 자제",cbs,기장군 사회적 거리두기 1단계 3원칙,,,"[('철저 불필요한 행사 모임', 0.7523)]"
2020/11/01 14:00:02,122,부산광역시 기장군,63053,"1.마스크 착용 필수 2.각종 시설 방문시 방역수칙 준수 철저 3.불필요한 행사,모임 참석 및 다중이용시설 방문 자제",cbs,기장군 사회적 거리두기 1단계 3원칙,,,"[('철저 불필요한 행사 모임', 0.7523)]"
2020/10/31 13:40:29,122,부산광역시 기장군,62954,"1.마스크 착용 필수 2.각종 시설 방문시 방역수칙 준수 철저 3.불필요한 행사,모임 참석 및 다중이용시설 방문 자제",cbs,기장군 사회적 거리두기 1단계 3원칙,,,"[('철저 불필요한 행사 모임', 0.7523)]"
2020/10/30 14:00:04,122,부산광역시 기장군,62846,"1.마스크 착용 필수 2.각종 시설 방문시 방역수칙 준수 철저 3.불필요한 행사,모임 참석 및 다중이용시설 방문 자제",cbs,기장군 사회적 거리두기 1단계 3원칙,,,"[('철저 불필요한 행사 모임', 0.7523)]"
2020/10/29 14:00:07,122,부산광역시 기장군,62729,"1.마스크 착용 필수 2.각종 시설 방문시 방역수칙 준수 철저 3.불필요한 행사,모임 참석 및 다중이용시설 방문 자제",cbs,기장군 사회적 거리두기 1단계 3원칙,,,"[('철저 불필요한 행사 모임', 0.7523)]"
2020/10/28 14:00:10,122,부산광역시 기장군,62608,"1.마스크 착용 필수 2.각종 시설 방문시 방역수칙 준수 철저 3.불필요한 행사,모임 참석 및 다중이용시설 방문 자제",cbs,기장군 사회적 거리두기 1단계 3원칙,,,"[('철저 불필요한 행사 모임', 0.7523)]"
2020/10/27 13:58:33,122,부산광역시 기장군,62493,"1.마스크 착용 필수 2.각종 시설 방문시 방역수칙 준수 철저 3.불필요한 행사,모임 참석 및 다중이용시설 방문 자제",cbs,기장군 사회적 거리두기 1단계 3원칙,,,"[('철저 불필요한 행사 모임', 0.7523)]"
2020/10/26 14:00:42,122,부산광역시 기장군,62390,"1.마스크 착용 필수 2.각종 시설 방문시 방역수칙 준수 철저 3.불필요한 행사,모임 참석 및 다중이용시설 방문 자제",cbs,기장군 사회적 거리두기 1단계 3원칙,,,"[('철저 불필요한 행사 모임', 0.7523)]"
2020/10/25 14:00:40,122,부산광역시 기장군,62310,"1.마스크 착용 필수 2.각종 시설 방문시 방역수칙 준수 철저 3.불필요한 행사,모임 참석 및 다중이용시설 방문 자제",cbs,기장군 사회적 거리두기 1단계 3원칙,,,"[('철저 불필요한 행사 모임', 0.7523)]"
2020/10/24 14:00:07,122,부산광역시 기장군,62236,"1.마스크 착용 필수 2.각종 시설 방문시 방역수칙 준수 철저 3.불필요한 행사,모임 참석 및 다중이용시설 방문 자제",cbs,기장군 사회적 거리두기 1단계 3원칙,,,"[('철저 불필요한 행사 모임', 0.7523)]"
