create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2023/11/18 11:22:40,122,부산광역시 기장군,206855,"금일 10:30부터 관내 마을버스, 기장군버스가 정상운행하오니 이용에 참고하여 주시기 바랍니다.",cbs,기장군,,,"[('정상운행하오니 이용에 참고하여', 0.5611)]"
2023/11/18 07:26:28,122,부산광역시 기장군,206836,"금일 눈,비 등으로 도로결빙에 따라 마을버스, 기장군버스 일부 구간 운행이 제한되오니 이용에 참고하여 주시기 바랍니다.",cbs,기장군,,,"[('운행이 제한되오니 이용에 참고하여', 0.7262)]"
2023/11/18 07:01:07,122,부산광역시 기장군,206828,"밤사이 내린 눈으로 도로결빙이 예상되오니, 터널, 교량, 경사로길 등 안전운전하시기 바라며, 특히 미끄럼사고에 유의하시기 바랍니다.",cbs,기장군,,,"[('경사로길 안전운전하시기 바라며', 0.7026)]"
2023/09/21 02:22:20,7909,부산광역시 기장군,205600,"정관읍 지역 산사태 주의보 발령. 산사태 등 안전사고 발생에 유의하시고, 산림주변 야외활동 자제를 당부드립니다.",cbs,기장군,,,"[('발생에 유의하시고 산림주변', 0.7532)]"
2023/09/20 17:53:14,122,부산광역시 기장군,205464,"호우주의보 발효에 따라 하천산책로가 통제중이므로 하천주변 접근금지. 산사태, 비탈면 붕괴, 침수우려 시 미리 안전한 곳으로 사전대피해 주시기 바랍니다.",cbs,기장군,,,"[('접근금지 산사태 비탈면', 0.7211)]"
2023/09/17 07:10:26,122,부산광역시 기장군,205274,"금일 집중호우로 인해 산사태 경보발령. 산에 있을 경우 신속히 하산하시고, 산림지 주변 야외활동을 자제하여 주시기 바랍니다.",cbs,기장군,,,"[('산사태 경보발령', 0.7866)]"
2023/09/17 06:05:36,122,부산광역시 기장군,205265,"호우경보 발효중. 하천산책로, 해안가, 급경사지 등 위험지역 접근금지 및 노약자 외출자제 등 안전에 유의하여 주시기 바랍니다.",cbs,기장군,,,"[('접근금지 노약자 외출자제 안전에', 0.7593)]"
2023/09/16 11:45:55,122,부산광역시 기장군,205175,"금일 집중호우로 인해 좌광천 산책로를 통제중이오니, 하천변 출입 삼가 및 안전에 유의하여 주시기 바랍니다.",cbs,기장군,,,"[('집중호우로 인해 좌광천', 0.6468)]"
2023/08/24 16:03:54,122,부산광역시 기장군,204371,"현재 많은 비와 낙뢰가 예상되오니 저지대, 침수위험지역 접근금지 및 외출자제 등 안전에 유의하시기 바랍니다.",cbs,기장군,,,"[('예상되오니 저지대', 0.638)]"
2023/08/23 10:37:04,122,부산광역시 기장군,204119,"2023년 을지연습과 연계하여 금일 14시~17시 기장군 일대에서 드론(소형무인기) 대응 훈련을 실시하오니, 실제상황으로 오인하지 마시기 바랍니다.",cbs,기장군,소형무인기,,"[('대응 훈련을 실시하오니 실제상황으로', 0.5543)]"
