create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2023/02/01 10:01:34,205,전라북도 김제시,192470,"1.30일부터 실내마스크 착용 완화되었지만 의료기관,약국,대중교통,입소형감염취약시설에서는 마스크를 착용해 주시기 바랍니다.",cbs,김제시청,,,"[('완화되었지만 의료기관 약국', 0.6174)]"
2023/01/24 15:19:11,205,전라북도 김제시,191664,"대설·한파주의보 발효중, 도로 결빙과 미끄럼 안전사고에 주의하시고, 수도관 동파방지 등 시설물관리에 유의바랍니다.",cbs,김제시청,,,"[('발효중 도로 결빙과 미끄럼', 0.7483)]"
2023/01/21 09:17:55,205,전라북도 김제시,191120,"1.21.(토) 0시기준 확진자 52명 발생▶백신접종 참여와 실내 마스크 착용,손씻기 생활화,주기적 환기 등 생활 방역수칙 준수바랍니다.",cbs,김제시청,토,,"[('착용 손씻기 생활화 주기적', 0.5379)]"
2023/01/20 08:33:59,205,전라북도 김제시,190953,"1.20.(금) 0시기준 확진자 34명 발생▶백신접종 참여와 실내 마스크 착용,손씻기 생활화,주기적 환기 등 생활 방역수칙 준수바랍니다.",cbs,김제시청,금,,"[('주기적 환기 생활', 0.4898)]"
2023/01/19 08:40:04,205,전라북도 김제시,190827,"1.19.(목) 0시기준 확진자 30명 발생▶백신접종 참여와 실내 마스크 착용,손씻기 생활화,주기적 환기 등 생활 방역수칙 준수바랍니다.",cbs,김제시청,목,,"[('실내 마스크 착용', 0.5855)]"
2023/01/18 08:34:18,205,전라북도 김제시,190701,"1.18.(수) 0시기준 확진자 73명 발생▶백신접종 참여와 실내 마스크 착용,손씻기 생활화,주기적 환기 등 생활 방역수칙 준수바랍니다.",cbs,김제시청,수,,"[('0시기준 확진자 73명 발생', 0.5124)]"
2023/01/17 08:30:57,205,전라북도 김제시,190573,"1.17.(화) 0시기준 확진자 45명 발생▶백신접종 참여와 실내 마스크 착용, 손씻기 생활화,주기적 환기 등 생활 방역수칙 준수바랍니다.",cbs,김제시청,화,,"[('0시기준 확진자 45명 발생', 0.6336)]"
2023/01/16 08:50:22,205,전라북도 김제시,190445,"1.16.(월) 0시기준 확진자 22명 발생▶백신접종 참여와 실내 마스크 착용, 손씻기 생활화,주기적 환기 등 생활 방역수칙 준수바랍니다.",cbs,김제시청,월,,"[('생활화 주기적 환기 생활', 0.5394)]"
2023/01/15 08:56:03,205,전라북도 김제시,190287,"1.15.(일) 0시기준 확진자 71명 발생▶백신접종 참여와 실내 마스크 착용, 손씻기 생활화,주기적 환기 등 생활 방역수칙 준수바랍니다.",cbs,김제시청,일,,"[('손씻기 생활화 주기적', 0.5271)]"
2023/01/14 09:29:39,205,전라북도 김제시,190157,"1.14.(토) 0시기준 확진자 46명 발생▶백신접종 참여와 실내 마스크 착용, 손씻기 생활화,주기적 환기 등 생활 방역수칙 준수바랍니다.",cbs,김제시청,토,,"[('확진자 46명 발생', 0.6202)]"
2023/01/13 09:05:10,205,전라북도 김제시,189998,"1.13.(금) 0시기준 확진자 59명 발생▶백신접종 참여와 실내 마스크 착용,손씻기 생활화,주기적 환기 등 생활 방역수칙 준수바랍니다.",cbs,김제시청,금,,"[('환기 생활 방역수칙', 0.4882)]"
2023/01/12 08:53:45,205,전라북도 김제시,189842,"1. 12.(목) 0시기준 확진자 74명 발생▶백신접종 참여와 실내 마스크 착용,손씻기 생활화,주기적 환기 등 생활 방역수칙 준수바랍니다.",cbs,김제시청,목,,"[('참여와 실내 마스크 착용', 0.5129)]"
2023/01/11 08:34:46,205,전라북도 김제시,189706,"1. 11.(수) 0시기준 확진자 79명 발생▶백신접종 참여와 실내 마스크 착용,손씻기 생활화,주기적 환기 등 생활 방역수칙 준수바랍니다.",cbs,김제시청,수,,"[('발생 백신접종 참여와', 0.3983)]"
2023/01/10 08:50:22,205,전라북도 김제시,189584,"1. 10.(화) 0시기준 확진자 57명 발생▶백신접종 참여와 실내 마스크 착용,손씻기 생활화,주기적 환기 등 생활 방역수칙 준수바랍니다.",cbs,김제시청,화,,"[('확진자 57명 발생', 0.6264)]"
2023/01/09 08:49:09,205,전라북도 김제시,189447,"1. 9.(월) 0시기준 확진자 30명 발생▶백신접종 참여와 실내 마스크 착용,손씻기 생활화,주기적 환기 등 생활 방역수칙 준수바랍니다.",cbs,김제시청,월,,"[('생활화 주기적 환기', 0.4711)]"
2023/01/08 08:46:58,205,전라북도 김제시,189303,"1. 8.(일) 0시기준 확진자 122명 발생▶백신접종 참여와 실내 마스크 착용,손씻기 생활화,주기적 환기 등 생활 방역수칙 준수바랍니다.",cbs,김제시청,일,,"[('방역수칙 준수바랍니다', 0.4888)]"
2023/01/07 08:38:52,205,전라북도 김제시,189154,"1. 7.(토) 0시기준 확진자 61명 발생▶백신접종 참여와 실내 마스크 착용,손씻기 생활화,주기적 환기 등 생활 방역수칙 준수바랍니다.",cbs,김제시청,토,,"[('생활화 주기적', 0.5137)]"
2023/01/06 08:07:37,205,전라북도 김제시,188974,"1. 6.(금) 0시기준 확진자 65명 발생▶백신접종 참여와 실내 마스크 착용,손씻기 생활화,주기적 환기 등 생활 방역수칙 준수바랍니다.",cbs,김제시청,금,,"[('생활화 주기적', 0.5259)]"
2023/01/05 08:55:25,205,전라북도 김제시,188844,"1. 5.(목) 0시기준 확진자 64명 발생▶백신접종 참여와 실내 마스크 착용,손씻기 생활화,주기적 환기 등 생활 방역수칙 준수바랍니다.",cbs,김제시청,목,,"[('확진자 64명 발생 백신접종', 0.4974)]"
